Hour,DayFrame,WeekDay,WeekEnd,Clear,Cloudy,Rain,Foggy,Snow,RainBefore,Grid_Block,Grid_Col,Grid_Row,Highway,Land_Use_Mode,Road_Count,time,precipIntensity,Prediction,Probability,DayFrameAlt
4,1,1,0,0,1,0,0,0,0,31,19,25,0,7,18,1555056000,0.0,0,0.001482337713242,3
8,2,1,0,0,0,1,0,0,1,31,19,25,0,7,18,1555070400,0.102,1,0.999976992607117,1
12,3,1,0,0,1,0,0,0,0,31,19,25,0,7,18,1555084800,0.0,0,0.0014824867248539998,1
16,4,1,0,0,1,0,0,0,0,31,19,25,0,7,18,1555099200,0.0,0,0.0014826953411099999,2
20,1,1,0,0,1,0,0,0,0,31,19,25,0,7,18,1555113600,0.0,0,0.0014823973178860002,3
23,1,1,0,0,1,0,0,0,0,31,19,25,0,7,18,1555124400,0.0,0,0.0014823973178860002,3
0,1,1,0,0,1,0,0,0,0,32,20,25,0,7,17,1555041600,0.0,0,0.001482307910919,3
4,1,1,0,0,1,0,0,0,0,32,20,25,0,7,17,1555056000,0.0,0,0.001482307910919,3
8,2,1,0,0,0,1,0,0,1,32,20,25,0,7,17,1555070400,0.106,1,0.999976992607117,1
12,3,1,0,0,1,0,0,0,0,32,20,25,0,7,17,1555084800,0.0,0,0.001482337713242,1
16,4,1,0,0,1,0,0,0,0,32,20,25,0,7,17,1555099200,0.0,0,0.0014824271202089998,2
20,1,1,0,0,1,0,0,0,0,32,20,25,0,7,17,1555113600,0.0,0,0.001482337713242,3
23,1,1,0,0,1,0,0,0,0,32,20,25,0,7,17,1555124400,0.0,0,0.0014823675155639998,3
0,1,1,0,0,1,0,0,0,0,33,21,25,0,7,18,1555041600,0.0,0,0.001482307910919,3
4,1,1,0,0,1,0,0,0,0,33,21,25,0,7,18,1555056000,0.0,0,0.001482307910919,3
8,2,1,0,0,0,1,0,0,1,33,21,25,0,7,18,1555070400,0.11,1,0.999976992607117,1
12,3,1,0,0,1,0,0,0,0,33,21,25,0,7,18,1555084800,0.0,0,0.0014822781085970002,1
16,4,1,0,0,1,0,0,0,0,33,21,25,0,7,18,1555099200,0.0,0,0.0014823973178860002,2
20,1,1,0,0,1,0,0,0,0,33,21,25,0,7,18,1555113600,0.0,0,0.0014822781085970002,3
23,1,1,0,0,1,0,0,0,0,33,21,25,0,7,18,1555124400,0.0,0,0.0014822781085970002,3
0,1,1,0,0,1,0,0,0,0,34,22,25,0,7,14,1555041600,0.0,0,0.001482307910919,3
4,1,1,0,0,1,0,0,0,0,34,22,25,0,7,14,1555056000,0.0,0,0.001482307910919,3
8,2,1,0,0,0,1,0,0,1,34,22,25,0,7,14,1555070400,0.114,1,0.999977052211762,1
12,3,1,0,0,1,0,0,0,0,34,22,25,0,7,14,1555084800,0.0,0,0.001482307910919,1
16,4,1,0,0,1,0,0,0,0,34,22,25,0,7,14,1555099200,0.0,0,0.001482248306274,2
20,1,1,0,0,1,0,0,0,0,34,22,25,0,7,14,1555113600,0.0,0,0.001482248306274,3
23,1,1,0,0,1,0,0,0,0,34,22,25,0,7,14,1555124400,0.0,0,0.001482248306274,3
0,1,1,0,0,1,0,0,0,0,35,23,25,0,7,19,1555041600,0.0,0,0.001482248306274,3
4,1,1,0,0,1,0,0,0,0,35,23,25,0,7,19,1555056000,0.0,0,0.001482248306274,3
8,2,1,0,0,0,1,0,0,1,35,23,25,0,7,19,1555070400,0.11800000000000001,1,0.999976992607117,1
12,3,1,0,0,1,0,0,0,0,35,23,25,0,7,19,1555084800,0.0,0,0.001482248306274,1
16,4,1,0,0,1,0,0,0,0,35,23,25,0,7,19,1555099200,0.0,0,0.0014822781085970002,2
20,1,1,0,0,1,0,0,0,0,35,23,25,0,7,19,1555113600,0.0,0,0.001482307910919,3
23,1,1,0,0,1,0,0,0,0,35,23,25,0,7,19,1555124400,0.0,0,0.001482307910919,3
0,1,1,0,0,1,0,0,0,0,36,24,25,0,7,20,1555041600,0.0,0,0.001482248306274,3
4,1,1,0,0,1,0,0,0,0,36,24,25,0,7,20,1555056000,0.0,0,0.001482307910919,3
8,2,1,0,0,0,1,0,0,1,36,24,25,0,7,20,1555070400,0.12,1,0.9999771118164059,1
12,3,1,0,0,1,0,0,0,0,36,24,25,0,7,20,1555084800,0.0,0,0.001482248306274,1
16,4,1,0,0,1,0,0,0,0,36,24,25,0,7,20,1555099200,0.0,0,0.001482248306274,2
20,1,1,0,0,1,0,0,0,0,36,24,25,0,7,20,1555113600,0.0,0,0.001482307910919,3
23,1,1,0,0,1,0,0,0,0,36,24,25,0,7,20,1555124400,0.0,0,0.0014821887016300001,3
0,1,1,0,0,1,0,0,0,0,37,25,25,0,7,17,1555041600,0.0,0,0.001482248306274,3
4,1,1,0,0,1,0,0,0,0,37,25,25,0,7,17,1555056000,0.0,0,0.001482248306274,3
