Index,Route,Longitude,Latitude,Sum_Accidents,Date,Time,Hour,Temperature,Temp_Max,Temp_Min,Dewpoint,Humidity,Month,Weekday,Visibility,Cloud_Coverage,Precipitation_Type,Precipitation_Intensity,Precip_Intensity_Max,Precip_Intensity_Time,EventBefore,Event,ConditionBefore,Conditions,Clear,Cloudy,Rain,Fog,Snow,RainBefore,Terrain,Land_Use,Access_Control,Operation,Thru_Lanes,Num_Lanes,Ad_Sys,Gov_Cont,Func_Class,Pavement_Width,Pavement_Type,Prediction,Probability,Log_Mile
2056,330E062001,-85.293894,35.015629,43,2/25/19,8:00,8,36.34,55.37,35.81,19.87,0.51,2,0,2.41,0.21,rain,0.0004,0.0018,1551132000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,2,0,0,2,2,2,12,4,19,30,15,,,0.034
1753,3305395001,-85.26321,35.081783,69,2/25/19,7:00,7,35.98,55.36,35.98,18.98,0.5,2,0,4.15,0.22,rain,0.0004,0.0018,1551132000,partly-cloudy-night,clear-night,Mostly Cloudy,Clear,1,0,0,0,0,0,2,5,0,2,4,4,16,4,14,24,15,,,6.326
4812,33I0024002,-85.227148,35.005132,33,2/25/19,19:00,19,48.76,55.13,34.69,31.3,0.51,2,0,10,0.21,rain,0.0004,0.0018,1551132000,partly-cloudy-night,partly-cloudy-night,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,2,2,2,6,6,2,1,11,36,18,,,13.632
2029,3303601001,-85.200161,35.055348,49,2/25/19,8:00,8,36.28,55.07,35.77,19.97,0.51,2,0,3.4,0.22,rain,0.0004,0.0018,1551132000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,2,2,18,4,16,30,15,,,0.002
5401,33SR008001,-85.331318,35.094368,114,2/25/19,22:00,22,44.76,55.46,35.03,29.45,0.55,2,0,10,0.22,rain,0.0004,0.0018,1551132000,partly-cloudy-night,partly-cloudy-night,Mostly Cloudy,Mostly Cloudy,0,1,0,0,0,0,2,2,0,2,6,6,13,1,14,36,15,,,13.147
3718,33SR320001,-85.173781,35.017884,67,2/25/19,15:00,15,53.77,54.99,34.74,27.38,0.36,2,0,10,0.22,rain,0.0004,0.0018,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,2,0,2,4,5,21,1,14,24,15,,,1.978
3576,33SR002001,-85.062889,35.084885,34,2/25/19,14:00,14,51.21,54.48,34.58,26.55,0.38,2,0,10,0.22,rain,0.0004,0.0018,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,2,0,2,4,4,21,1,16,24,15,,,20.855
2180,33I0024002,-85.289703,35.018623,27,2/25/19,8:00,8,36.34,55.36,35.82,19.85,0.51,2,0,2.41,0.21,rain,0.0004,0.0018,1551132000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,2,2,6,7,2,1,11,36,15,,,9.528
4033,33SR153001,-85.214113,35.087611,38,2/25/19,16:00,16,54.93,54.93,34.31,28.09,0.35,2,0,10,0.22,rain,0.0004,0.0018,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,4,2,2,6,8,13,1,12,36,15,,,5.272
4398,330A639001,-85.30835,35.031887,26,2/25/19,17:00,17,55,55.38,35.9,29.16,0.37,2,0,10,0.21,rain,0.0004,0.0018,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,4,0,2,2,2,12,4,19,28,15,,,0.288
