BLM,ELM,ID_NUMBER,ROW ,No. Lns.,Spd_Limit,Terrain,Land_Use,Illum,Operation,AccCtrl,Sch Spd Limit,Truck Spd Limit
0,0.559,330D532001,36,1,-10,2,0,-10,2,0,-10,-10
0,0.266,330D537001,32,1,25,3,0,-10,2,0,-10,-10
0,0.575,330D546001,36,1,-10,2,0,-10,2,0,-10,-10
0,0.134,330D548001,36,1,-10,2,7,-10,2,0,-10,-10
0,0.086,330D564001,34,1,-10,2,7,-10,2,0,-10,-10
0,0.247,330D567001,28,1,-10,2,7,-10,2,0,-10,-10
0,0.067,330D571001,32,1,-10,2,7,-10,2,0,-10,-10
0,0.124,330D576001,32,1,-10,2,7,-10,2,0,-10,-10
0,0.107,330D578001,32,1,-10,2,7,-10,2,0,-10,-10
0,0.124,330D579001,32,1,-10,2,7,-10,2,0,-10,-10
0,0.164,330D583001,32,1,-10,2,7,-10,2,0,-10,-10
0,0.075,330D584001,36,1,-10,2,7,-10,2,0,-10,-10
0,0.188,330D596001,32,1,20,2,7,-10,2,0,-10,-10
0,0.166,330D601001,32,1,20,2,7,-10,2,0,-10,-10
0,0.156,330D605001,32,1,-10,2,7,-10,2,0,-10,-10
0,0.136,330D632001,30,1,-10,2,7,-10,2,0,-10,-10
0,0.072,330D635001,32,1,-10,2,7,-10,2,0,-10,-10
0,0.241,330D644001,36,1,-10,2,7,-10,2,0,-10,-10
0,0.304,330D648001,36,1,-10,3,0,-10,2,0,-10,-10
0,0.34,330D657001,36,1,25,2,7,1,2,0,-10,-10
0,0.111,330D664001,38,1,-10,2,7,-10,1,0,-10,-10
0,0.159,330D665001,32,1,-10,2,7,-10,2,0,-10,-10
0,0.085,330D667001,28,1,-10,2,0,-10,2,0,-10,-10
0,0.114,330D688001,28,1,-10,2,0,-10,2,0,-10,-10
0,0.121,330D689001,40,1,-10,2,0,-10,2,0,-10,-10
0,0.251,330D705001,32,1,-10,2,7,-10,2,0,-10,-10
0,0.084,330D707001,80,1,-10,2,0,-10,2,0,-10,-10
0,0.14,330D714001,36,1,-10,2,7,1,2,0,-10,-10
0,0.145,330D728001,24,1,-10,2,7,-10,2,0,-10,-10
