,Index,Route,Longitude,Latitude,Sum_Accidents,Date,Time,Hour,Temperature,Temp_Max,Temp_Min,Dewpoint,Humidity,Month,Weekday,Visibility,Cloud_Coverage,Precipitation_Type,Precipitation_Intensity,Precip_Intensity_Max,Precip_Intensity_Time,EventBefore,Event,ConditionBefore,Conditions,Clear,Cloudy,Rain,Fog,Snow,RainBefore,Terrain,Land_Use,Access_Control,Operation,Thru_Lanes,Num_Lanes,Ad_Sys,Gov_Cont,Func_Class,Pavement_Width,Pavement_Type,Prediction,Probability,Log_Mile,Predictions
361,5795,330C858001,-85.242192,35.127346,33,2/25/19,23:00,23,42.3,55.45,33.94,26.11,0.52,2,0,10.0,0.09,rain,0.0002,0.0015,1551078000,partly-cloudy-night,partly-cloudy-night,Partly Cloudy,Partly Cloudy,0,1,0,0,0,0,3,4,0,2,2,2,12,4,19,18,15,,0.21072058,0.09,0.0
506,104,3304987001,-85.158512,35.023734999999995,42,2/25/19,0:00,0,54.05,60.53,42.77,50.37,0.87,2,0,7.13,0.35,rain,0.0123,0.1181,1550995200,clear-night,rain,Clear,Rain,0,0,1,0,0,0,2,7,0,2,4,4,18,4,14,24,15,,0.5408347,0.6509999999999999,1.0
2510,1576,3303552001,-85.279898,35.043794,41,2/25/19,6:00,6,34.8,55.52,34.23,22.04,0.59,2,0,10.0,0.09,rain,0.0001,0.0015,1551078000,partly-cloudy-night,clear-night,Partly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,4,4,18,4,16,24,15,,0.03871738,1.819,0.0
5054,5687,33I0075001,-85.136675,35.055684,58,2/25/19,23:00,23,42.35,54.76,34.46,26.17,0.52,2,0,10.0,0.08,rain,0.0002,0.0015,1551078000,partly-cloudy-night,partly-cloudy-night,Partly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,4,2,2,8,8,2,1,11,48,15,,0.2659194,7.063,0.0
3494,1528,330F894001,-85.154814,35.04156,55,2/25/19,6:00,6,35.07,54.94,34.52,22.56,0.6,2,0,10.0,0.08,rain,0.0001,0.0015,1551078000,partly-cloudy-night,clear-night,Partly Cloudy,Clear,1,0,0,0,0,0,2,0,0,2,2,2,12,4,19,24,15,,0.023158,0.09,0.0
1887,5342,330B854001,-85.207332,34.988878,28,2/25/19,21:00,21,45.05,55.29,34.66,26.84,0.49,2,0,10.0,0.08,rain,0.0002,0.0015,1551078000,partly-cloudy-night,partly-cloudy-night,Partly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,0,0,2,2,2,12,4,19,24,15,,0.101562165,0.051,0.0
5448,1451,33I0075001,-85.210479,35.004212,26,2/25/19,5:00,5,36.56,55.18,34.38,23.51,0.59,2,0,10.0,0.08,rain,0.0001,0.0015,1551078000,partly-cloudy-night,clear-night,Partly Cloudy,Clear,1,0,0,0,0,0,1,0,2,2,4,4,2,1,11,24,15,,0.033260506,1.391,0.0
29,3489,330C359001,-85.21546,35.009932,54,2/25/19,14:00,14,51.4,55.2,34.35,21.86,0.31,2,0,10.0,0.08,rain,0.0003,0.0019,1551078000,partly-cloudy-night,clear-day,Partly Cloudy,Clear,1,0,0,0,0,0,1,2,0,2,3,3,12,4,19,34,15,,0.10378346,0.083,0.0
4019,2345,33SR153001,-85.22510600000001,35.094661,35,2/25/19,9:00,9,36.75,55.27,34.17,18.23,0.47,2,0,10.0,0.09,rain,0.0001,0.0015,1551078000,partly-cloudy-night,clear-day,Partly Cloudy,Clear,1,0,0,0,0,0,2,4,2,2,4,4,13,1,12,24,15,,0.13440348,6.062,0.0
5111,2433,3301122001,-85.151563,35.040925,26,2/25/19,9:00,9,36.64,54.89,34.53,19.23,0.49,2,0,10.0,0.08,rain,0.0001,0.0015,1551078000,partly-cloudy-night,clear-day,Partly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,4,4,18,4,14,24,15,,0.18581222,0.271,0.0
2642,4028,330D462001,-85.21983,35.089088000000004,40,2/25/19,16:00,16,55.16,55.16,34.17,24.67,0.3,2,0,10.0,0.09,rain,0.0003,0.0019,1551078000,partly-cloudy-night,clear-day,Partly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,2,2,12,4,19,24,15,,0.043166157,0.008,0.0
3749,4988,33SR153001,-85.22901800000001,35.104278,45,2/25/19,20:00,20,46.59,55.28,34.11,26.99,0.46,2,0,10.0,0.09,rain,0.0002,0.0015,1551078000,partly-cloudy-night,partly-cloudy-night,Partly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,0,2,2,4,4,13,1,12,24,18,,0.120616205,6.775,0.0
