,Train_Acc,Train_Loss,Test_Acc,Test_Loss,,Training Accuracy Average:,78.1498474187
81,78.2809861162,0.1467650283,76.2100725064,0.1579770656,,,
82,76.548537629,0.1467029915,75.0734861846,0.1578964927,,,
83,78.2096056198,0.1467858735,76.7979619831,0.1579516346,,,
84,78.5480334249,0.1467217922,76.5040172448,0.1579887648,,,
85,78.6378889205,0.1468045372,76.6607877719,0.1579227766,,,
86,78.5178018609,0.1467502647,76.5236135607,0.1579968929,,,
87,78.0198173392,0.1467942867,76.464824613,0.1581241716,,,
88,78.2541134792,0.1468488322,76.4452282971,0.1580539475,,,
89,78.3448086996,0.1466441683,76.5432098765,0.1580159037,,,
90,78.5345970583,0.14668573,76.641191456,0.1580242601,,,
91,78.1214294956,0.1466813238,76.4060356653,0.1580117091,,,
92,78.4296257367,0.1466653427,76.9351361944,0.1581369232,,,
93,78.5446740895,0.1467074847,76.7587693514,0.1581617628,,,
94,78.4061122069,0.1466996079,76.6019988242,0.1580871235,,,
95,78.3750406079,0.1466856206,76.641191456,0.1581105408,,,
96,78.4413824716,0.1467043391,76.2296688223,0.1579940955,,,
97,77.8207915138,0.1466583598,76.0141093474,0.1581112604,,,
98,78.1180706047,0.1468301026,76.5628061924,0.1581918121,,,
99,78.4119904742,0.1468530762,76.641191456,0.1581713044,,,
