,Route,Longitude,Latitude,Sum_Accidents,Date,Time,Hour,Temperature,Temp_Max,Temp_Min,Dewpoint,Humidity,Month,Weekday,Visibility,Cloud_Coverage,Precipitation_Type,Precipitation_Intensity,Precip_Intensity_Max,Precip_Intensity_Time,EventBefore,Event,ConditionBefore,Conditions,Clear,Cloudy,Rain,Fog,Snow,RainBefore,Terrain,Land_Use,Access_Control,Operation,Thru_Lanes,Num_Lanes,Ad_Sys,Gov_Cont,Func_Class,Pavement_Width,Pavement_Type,Prediction,Probability,Log_Mile
5430,33I0075001,-85.174239,35.02432,67,2/25/19,22:00,22,44.47,55.35,34.4,29.99,0.56,2,0,10,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-night,Mostly Cloudy,Mostly Cloudy,0,1,0,0,0,0,2,7,2,2,6,7,2,1,11,48,18,,,4.019
1717,33I0075001,-85.200274,35.008246,171,2/25/19,7:00,7,35.59,55.32,34.31,21.5,0.56,2,0,2.67,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-night,Mostly Cloudy,Clear,1,0,0,0,0,0,2,4,2,2,8,8,2,1,11,48,18,,,2.029
4803,3303577001,-85.247288,35.023823,34,2/25/19,19:00,19,48.69,55.09,34.08,31.22,0.51,2,0,10,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-night,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,4,0,2,2,2,18,4,16,10,15,,,1.611
3369,33SR321001,-85.0667,35.059606,30,2/25/19,13:00,13,50.59,54.68,34.67,16.49,0.25,2,0,4.5,0.27,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,2,0,2,2,2,21,1,16,12,15,,,5.415
3768,3303588001,-85.256848,35.114504,43,2/25/19,15:00,15,55.19,55.55,33.44,23.46,0.29,2,0,10,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Partly Cloudy,Mostly Cloudy,0,1,0,0,0,0,2,2,0,2,4,4,16,4,14,24,15,,,2.836
5121,33SR002001,-85.149942,35.05224,27,2/25/19,20:00,20,46.64,55.18,34.28,30.72,0.54,2,0,10,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-night,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,4,0,2,2,2,13,1,14,12,15,,,19.276
2149,33I0024002,-85.399125,34.994874,29,2/25/19,8:00,8,35.19,55.44,35.19,19.04,0.51,2,0,3.35,0.3,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,2,0,2,2,4,4,2,1,11,24,15,,,0.996
916,33SR002001,-85.365756,35.020313,31,2/25/19,3:00,3,39.53,55.87,35.19,22.26,0.5,2,0,1.9,0.3,rain,0.0003,0.0019,1551132000,partly-cloudy-night,fog,Mostly Cloudy,Foggy,0,0,0,1,0,0,2,2,0,2,4,4,21,1,16,24,15,,,3.191
4131,33SR153001,-85.239439,35.12384,28,2/25/19,16:00,16,55.56,55.56,33.79,28.01,0.35,2,0,10,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Partly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,2,0,2,6,6,13,1,14,36,15,,,8.305
4582,33I0024002,-85.322207,35.029902,31,2/25/19,18:00,18,53.01,55.75,36.04,30.55,0.42,2,0,10,0.3,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,2,2,2,4,4,2,1,11,24,15,,,7.343
5857,33I0124001,-85.318867,35.035208,27,2/25/19,23:00,23,44.67,56.16,35.94,29.71,0.55,2,0,10,0.3,rain,0.0003,0.0015,1551128400,partly-cloudy-night,partly-cloudy-night,Mostly Cloudy,Mostly Cloudy,0,1,0,0,0,0,2,5,2,2,6,8,2,1,11,36,15,,,0.445
5638,33I0075001,-85.210866,35.001294,162,2/25/19,23:00,23,44.07,55.41,34.32,30.18,0.58,2,0,10,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-night,Mostly Cloudy,Mostly Cloudy,0,1,0,0,0,0,1,0,2,2,4,4,2,1,11,24,15,,,1.202
2334,33I0024002,-85.31139,35.029438,36,2/25/19,9:00,9,40.73,55.71,35.95,18.25,0.4,2,0,1.96,0.3,rain,0.0003,0.0019,1551132000,partly-cloudy-night,fog,Mostly Cloudy,Foggy,0,0,0,1,0,0,2,2,2,2,6,8,2,1,11,36,18,,,8.032
2086,33I0075001,-85.095544,35.078288,36,2/25/19,8:00,8,34.3,54.35,34.3,20.39,0.56,2,0,6.89,0.27,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,2,0,2,2,8,8,2,1,11,48,18,,,9.928
3269,33I0075001,-85.112125,35.073843,45,2/25/19,13:00,13,50.18,54.21,34.58,16.2,0.26,2,0,4.17,0.27,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,0,2,2,8,10,2,1,11,48,18,,,8.945
1238,3303603001,-85.181912,35.016889,113,2/25/19,5:00,5,38.16,55.22,34.44,24.19,0.57,2,0,3.37,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-night,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,2,2,18,4,16,12,15,,,0.002
2486,3304988001,-85.155628,35.024501,70,2/25/19,10:00,10,42.51,55.17,34.44,19.03,0.39,2,0,3.67,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,2,2,18,4,16,26,15,,,2.853
4863,3304996001,-85.187659,35.029911,28,2/25/19,19:00,19,48.75,55.14,34.11,31.18,0.5,2,0,10,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-night,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,2,0,2,2,2,18,4,17,28,15,,,0.019
5840,330B707001,-85.251282,35.015328,28,2/25/19,23:00,23,44.18,55.08,34.11,30.16,0.58,2,0,10,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-night,Mostly Cloudy,Mostly Cloudy,0,1,0,0,0,0,2,0,0,2,2,2,12,4,19,16,15,,,0.001
4259,33SR153001,-85.229114,35.104437,43,2/25/19,17:00,17,54.88,55.41,34.09,28.97,0.37,2,0,10,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,0,2,2,4,4,13,1,12,24,18,,,6.786
2450,3304986001,-85.158706,35.034528,268,2/25/19,10:00,10,42.52,55.22,34.37,18.9,0.38,2,0,3.66,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,3,3,18,4,17,24,15,,,1.464
1750,33I0024002,-85.221655,35.004334,70,2/25/19,7:00,7,35.6,55.43,34.26,21.51,0.56,2,0,2.39,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-night,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,2,2,6,6,2,1,11,36,18,,,13.951
5730,3304987001,-85.157359,35.026889,43,2/25/19,23:00,23,43.94,55.18,34.42,29.86,0.57,2,0,10,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-night,Mostly Cloudy,Mostly Cloudy,0,1,0,0,0,0,2,7,0,2,4,4,18,4,14,24,15,,,0.878
1809,33SR153001,-85.229114,35.104437,43,2/25/19,7:00,7,36.06,55.4,34.09,18.68,0.49,2,0,10,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-night,Mostly Cloudy,Clear,1,0,0,0,0,0,2,0,2,2,4,4,13,1,12,24,18,,,6.786
2924,33SR002001,-85.211314,35.013269,26,2/25/19,11:00,11,45.93,55.42,34.24,16.34,0.3,2,0,10,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,6,6,13,1,14,36,15,,,14.867
2979,33SR002001,-85.246468,35.024158,69,2/25/19,12:00,12,48.4,55.08,34.08,13.94,0.25,2,0,2.96,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,2,0,2,4,4,13,1,14,24,15,,,12.466
5138,33SR027001,-85.308826,35.031481,26,2/25/19,20:00,20,47.6,55.72,35.92,30.74,0.52,2,0,10,0.3,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-night,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,2,0,2,4,4,21,1,16,24,15,,,5.014
1398,3305770001,-85.243683,35.011387,31,2/25/19,5:00,5,38.37,55.27,34.16,24.74,0.58,2,0,2.8,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-night,Mostly Cloudy,Clear,1,0,0,0,0,0,2,7,0,1,3,3,18,4,16,40,15,,,1.511
1386,33I0075001,-85.177674,35.019094,32,2/25/19,5:00,5,38.11,55.27,34.43,24.13,0.57,2,0,3.45,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-night,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,2,2,7,8,2,1,11,48,18,,,3.604
5258,33SR153001,-85.214113,35.087611,38,2/25/19,21:00,21,45.53,55.18,34.26,30.01,0.54,2,0,10,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-night,Mostly Cloudy,Mostly Cloudy,0,1,0,0,0,0,2,4,2,2,6,8,13,1,12,36,15,,,5.272
5210,33I0075001,-85.111622,35.073807,51,2/25/19,21:00,21,44.3,54.2,34.58,30.11,0.57,2,0,10,0.27,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-night,Mostly Cloudy,Mostly Cloudy,0,1,0,0,0,0,2,0,2,2,8,10,2,1,11,48,18,,,8.969
2648,3303580001,-85.157294,35.042997,28,2/25/19,10:00,10,42.51,55.22,34.32,18.82,0.38,2,0,3.64,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,4,4,18,4,14,24,15,,,2.095
424,3303542001,-85.231013,35.109143,31,2/25/19,1:00,1,43.15,55.13,33.86,21.72,0.42,2,0,10,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-night,Partly Cloudy,Clear,1,0,0,0,0,0,2,5,0,2,4,4,18,4,16,24,15,,,1.705
3026,33I0024002,-85.366708,35.027029,45,2/25/19,12:00,12,49.5,55.88,35.18,12.34,0.22,2,0,1.7,0.3,rain,0.0003,0.0019,1551132000,partly-cloudy-night,fog,Mostly Cloudy,Foggy,0,0,0,1,0,0,2,0,2,2,4,5,2,1,11,24,15,,,4.085
1017,3305788001,-85.138005,35.05514,69,2/25/19,4:00,4,37.54,55.01,34.29,25.05,0.6,2,0,6.6,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-night,Mostly Cloudy,Clear,1,0,0,0,0,0,2,4,0,2,2,2,18,4,17,18,15,,,0.196
4281,330A702001,-85.26761,35.034727,38,2/25/19,17:00,17,55.26,55.56,34.39,29.08,0.36,2,0,10,0.29,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,7,0,2,2,2,12,4,19,30,15,,,0.092
2150,33SR002001,-85.254881,35.027655,29,2/25/19,8:00,8,34.03,54.85,34.03,21.12,0.59,2,0,3.05,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,4,4,13,1,14,22,15,,,11.917
4653,33I0024002,-85.252069,35.014338,26,2/25/19,18:00,18,52.06,55.05,34.12,30.88,0.44,2,0,10,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,0,2,2,6,6,2,1,11,36,18,,,12.072
3757,3303580001,-85.164109,35.044762,46,2/25/19,15:00,15,54.67,55.32,34.29,24.48,0.31,2,0,10,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Mostly Cloudy,0,1,0,0,0,0,2,2,0,2,4,4,18,4,14,24,15,,,1.695
225,33SR002001,-85.328307,35.013733,27,2/25/19,0:00,0,54.86,62.38,46.14,50.79,0.86,2,0,1.95,0.35,rain,0.0144,0.1503,1550995200,fog,rain,Foggy,Light Rain,0,0,1,0,0,0,3,0,0,2,3,3,21,1,16,24,15,,,5.743
794,330C359001,-85.21546,35.009932,54,2/25/19,3:00,3,39.43,55.42,34.25,23.36,0.52,2,0,5.43,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-night,Mostly Cloudy,Clear,1,0,0,0,0,0,1,2,0,2,3,3,12,4,19,34,15,,,0.083
2789,33SR153001,-85.229114,35.104437,43,2/25/19,11:00,11,45.75,55.41,34.09,15.41,0.29,2,0,10,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,2,0,2,2,4,4,13,1,12,24,18,,,6.786
3622,3303556001,-85.237299,35.047083,29,2/25/19,14:00,14,53.61,55.16,33.96,17.16,0.23,2,0,3.59,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,4,0,2,2,2,18,4,16,12,15,,,2.418
1012,33I0075001,-85.200822,35.007894,71,2/25/19,4:00,4,37.6,55.32,34.31,25.67,0.62,2,0,5.48,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-night,Mostly Cloudy,Clear,1,0,0,0,0,0,2,4,2,2,8,8,2,1,11,48,18,,,1.991
2246,33I0024002,-85.310838,35.02908,67,2/25/19,9:00,9,40.73,55.71,35.95,18.26,0.4,2,0,1.95,0.3,rain,0.0003,0.0019,1551132000,partly-cloudy-night,fog,Mostly Cloudy,Foggy,0,0,0,1,0,0,2,2,2,2,6,8,2,1,11,36,18,,,8.071
156,3304459001,-85.312411,35.045297,33,2/25/19,0:00,0,54.52,62.07,46.05,50.56,0.86,2,0,1.87,0.35,rain,0.0149,0.1543,1550995200,fog,rain,Foggy,Rain,0,0,1,0,0,0,2,2,0,2,2,2,18,4,17,10,15,,,0.046
3996,33I0075001,-85.163223,35.035572,47,2/25/19,16:00,16,55.22,55.22,34.36,28.67,0.36,2,0,10,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,4,2,2,6,8,2,1,11,36,18,,,5.016
5063,330E643001,-85.184651,35.030289,32,2/25/19,20:00,20,46.64,55.04,34.12,30.84,0.54,2,0,10,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-night,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,2,0,2,2,2,12,4,19,26,15,,,0.037
3914,3304983001,-85.27164,35.009454,26,2/25/19,15:00,15,54.34,54.87,34.08,24.01,0.31,2,0,10,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Mostly Cloudy,0,1,0,0,0,0,2,7,0,2,2,2,18,4,17,30,15,,,0.395
4217,33I0075001,-85.136675,35.055684,58,2/25/19,17:00,17,54.53,54.98,34.29,29.42,0.38,2,0,10,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,4,2,2,8,8,2,1,11,48,15,,,7.063
1781,33I0075001,-85.078216,35.082937,51,2/25/19,7:00,7,35.44,54.66,34.34,19.96,0.53,2,0,5.54,0.27,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-night,Mostly Cloudy,Clear,1,0,0,0,0,0,2,0,2,2,8,8,2,1,11,48,18,,,10.956
4357,3303556001,-85.237299,35.047083,29,2/25/19,17:00,17,54.82,55.16,33.96,29.13,0.37,2,0,10,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,4,0,2,2,2,18,4,16,12,15,,,2.418
1593,3303604001,-85.128355,35.044349,37,2/25/19,6:00,6,36.47,54.68,34.37,23.47,0.59,2,0,4.24,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-night,Mostly Cloudy,Clear,1,0,0,0,0,0,2,7,0,2,2,2,18,4,16,12,15,,,3.707
4030,33I0024002,-85.350032,35.028387,39,2/25/19,16:00,16,55.85,55.85,35.52,27.91,0.34,2,0,10,0.3,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,0,2,2,4,4,2,1,11,24,15,,,5.06
98,330B207001,-85.238312,35.018858,43,2/25/19,0:00,0,53.28,60.7,45.52,49.94,0.88,2,0,5.83,0.35,rain,0.0143,0.1457,1550995200,clear-night,rain,Clear,Rain,0,0,1,0,0,0,2,7,0,2,2,2,12,4,19,24,15,,,0.147
