OBJECTID,ORIG_FID,POINT_X,POINT_Y
304,60,-85.2647727274793,34.9963999997602
305,60,-85.2727272723457,34.9963999997602
306,61,-85.2647727274793,34.9963999997602
307,61,-85.2647727274793,35.0027999999201
308,61,-85.2568181817137,35.0027999999201
309,61,-85.2568181817137,34.9963999997602
310,61,-85.2647727274793,34.9963999997602
311,62,-85.2568181817137,34.9963999997602
312,62,-85.2568181817137,35.0027999999201
313,62,-85.248863635948,35.0027999999201
314,62,-85.248863635948,34.9963999997602
315,62,-85.2568181817137,34.9963999997602
316,63,-85.248863635948,34.9963999997602
317,63,-85.248863635948,35.0027999999201
318,63,-85.2409090910817,35.0027999999201
319,63,-85.2409090910817,34.9963999997602
320,63,-85.248863635948,34.9963999997602
321,64,-85.2409090910817,34.9963999997602
322,64,-85.2409090910817,35.0027999999201
323,64,-85.232954545316,35.0027999999201
324,64,-85.232954545316,34.9963999997602
325,64,-85.2409090910817,34.9963999997602
326,65,-85.232954545316,34.9963999997602
327,65,-85.232954545316,35.0027999999201
328,65,-85.2250000004496,35.0027999999201
329,65,-85.2250000004496,34.9963999997602
330,65,-85.232954545316,34.9963999997602
331,66,-85.2249999995503,34.9963999997602
332,66,-85.2249999995503,35.0027999999201
333,66,-85.217045454684,35.0027999999201
334,66,-85.217045454684,34.9963999997602
335,66,-85.2249999995503,34.9963999997602
336,67,-85.217045454684,34.9963999997602
337,67,-85.217045454684,35.0027999999201
338,67,-85.2090909089183,35.0027999999201
339,67,-85.2090909089183,34.9963999997602
340,67,-85.217045454684,34.9963999997602
341,68,-85.2090909089183,34.9963999997602
342,68,-85.2090909089183,35.0027999999201
343,68,-85.2011363640519,35.0027999999201
344,68,-85.2011363640519,34.9963999997602
345,68,-85.2090909089183,34.9963999997602
346,69,-85.2011363640519,34.9963999997602
347,69,-85.2011363640519,35.0027999999201
348,69,-85.1931818182862,35.0027999999201
349,69,-85.1931818182862,34.9963999997602
350,69,-85.2011363640519,34.9963999997602
351,70,-85.1931818182862,34.9963999997602
352,70,-85.1931818182862,35.0027999999201
353,70,-85.1852272725206,35.0027999999201
354,70,-85.1852272725206,34.9963999997602
355,70,-85.1931818182862,34.9963999997602
356,71,-85.1852272725206,34.9963999997602
357,71,-85.1852272725206,35.0027999999201
358,71,-85.1772727276542,35.0027999999201
359,71,-85.1772727276542,34.9963999997602
360,71,-85.1852272725206,34.9963999997602
361,72,-85.1772727276542,34.9963999997602
362,72,-85.1772727276542,35.0027999999201
363,72,-85.1693181818886,35.0027999999201
364,72,-85.1693181818886,34.9963999997602
365,72,-85.1772727276542,34.9963999997602
366,73,-85.1693181818886,34.9963999997602
367,73,-85.1693181818886,35.0027999999201
368,73,-85.1613636361229,35.0027999999201
369,73,-85.1613636361229,34.9963999997602
370,73,-85.1693181818886,34.9963999997602
371,74,-85.1613636361229,34.9963999997602
372,74,-85.1613636361229,35.0027999999201
373,74,-85.1534090912565,35.0027999999201
374,74,-85.1534090912565,34.9963999997602
375,74,-85.1613636361229,34.9963999997602
376,75,-85.1534090912565,34.9963999997602
377,75,-85.1534090912565,35.0027999999201
378,75,-85.1454545454908,35.0027999999201
379,75,-85.1454545454908,34.9963999997602
