,Index,Route,Longitude,Latitude,Sum_Accidents,Date,Time,Hour,Temperature,Temp_Max,Temp_Min,Dewpoint,Humidity,Month,Weekday,Visibility,Cloud_Coverage,Precipitation_Type,Precipitation_Intensity,Precip_Intensity_Max,Precip_Intensity_Time,EventBefore,Event,ConditionBefore,Conditions,Clear,Cloudy,Rain,Fog,Snow,RainBefore,Terrain,Land_Use,Access_Control,Operation,Thru_Lanes,Num_Lanes,Ad_Sys,Gov_Cont,Func_Class,Pavement_Width,Pavement_Type,Prediction,Probability,Log_Mile,Predictions
681,4030,33I0024002,-85.350032,35.028387,39,2/25/19,16:00,16,55.66,55.66,33.94,24.32,0.29,2,0,10,0.09,rain,0.0003,0.0019,1551078000,partly-cloudy-night,clear-day,Partly Cloudy,Clear,1,0,0,0,0,0,2,0,2,2,4,4,2,1,11,24,15,,0.5032485,5.06,1
3565,226,33I0075001,-85.210479,35.004212,26,2/25/19,0:00,0,53.78,60.77,42.95,50.01,0.87,2,0,6.59,0.35,rain,0.0136,0.1339,1550995200,clear-night,rain,Clear,Rain,0,0,1,0,0,0,1,0,2,2,4,4,2,1,11,24,15,,0.5914815,1.391,1
2591,188,3304987001,-85.155546,35.030221,29,2/25/19,0:00,0,54.04,60.52,42.75,50.37,0.87,2,0,7.08,0.35,rain,0.0123,0.1189,1550995200,clear-night,rain,Clear,Rain,0,0,1,0,0,0,2,7,0,2,4,4,18,4,14,24,15,,0.54212356,1.127,1
4249,63,33I0075001,-85.205913,34.993245,52,2/25/19,0:00,0,53.95,60.89,43.08,50.01,0.86,2,0,6.81,0.35,rain,0.0135,0.1328,1550995200,clear-night,rain,Clear,Rain,0,0,1,0,0,0,1,2,2,2,6,7,2,1,11,36,15,,0.67989445,0.576,1
2279,3785,33I0024002,-85.350032,35.028387,39,2/25/19,15:00,15,54.44,55.66,33.94,22.9,0.29,2,0,10,0.09,rain,0.0003,0.0019,1551078000,partly-cloudy-night,clear-day,Partly Cloudy,Clear,1,0,0,0,0,0,2,0,2,2,4,4,2,1,11,24,15,,0.5029316,5.06,1
4648,159,33I0075001,-85.196993,35.009159,33,2/25/19,0:00,0,53.85,60.65,42.85,50.37,0.88,2,0,6.72,0.35,rain,0.0132,0.1303,1550995200,clear-night,rain,Clear,Rain,0,0,1,0,0,0,2,4,2,2,8,8,2,1,11,48,18,,0.53082734,2.228,1
4626,117,33SR153001,-85.177195,35.028893,38,2/25/19,0:00,0,54.03,60.68,42.85,50.36,0.87,2,0,6.71,0.35,rain,0.0131,0.1299,1550995200,clear-night,rain,Clear,Rain,0,0,1,0,0,0,2,4,2,2,6,8,13,1,12,36,15,,0.7534577,0.563,1
3745,100,33I0075001,-85.203262,35.007414,43,2/25/19,0:00,0,53.79,60.71,42.9,50.02,0.87,2,0,6.65,0.35,rain,0.0136,0.134,1550995200,clear-night,rain,Clear,Rain,0,0,1,0,0,0,2,2,2,2,8,8,2,1,11,48,15,,0.57490116,1.847,1
1117,95,3304987001,-85.157359,35.026889,43,2/25/19,0:00,0,54.05,60.52,42.76,50.37,0.87,2,0,7.1,0.35,rain,0.0123,0.1185,1550995200,clear-night,rain,Clear,Rain,0,0,1,0,0,0,2,7,0,2,4,4,18,4,14,24,15,,0.54248726,0.878,1
715,1,33I0075001,-85.206737,34.996081,255,2/25/19,0:00,0,53.96,60.91,43.09,50.01,0.86,2,0,6.77,0.35,rain,0.0135,0.133,1550995200,clear-night,rain,Clear,Rain,0,0,1,0,0,0,1,2,2,2,6,8,2,1,11,36,15,,0.76312643,0.771,1
5317,3,33I0075001,-85.210866,35.001294,162,2/25/19,0:00,0,53.78,60.77,42.96,50.01,0.87,2,0,6.64,0.35,rain,0.0136,0.1334,1550995200,clear-night,rain,Clear,Rain,0,0,1,0,0,0,1,0,2,2,4,4,2,1,11,24,15,,0.6070471,1.202,1
5465,76,33I0075001,-85.163223,35.035572,47,2/25/19,0:00,0,54.03,60.56,42.77,50.37,0.87,2,0,6.85,0.35,rain,0.013,0.1296,1550995200,clear-night,rain,Clear,Rain,0,0,1,0,0,0,2,4,2,2,6,8,2,1,11,36,18,,0.78605217,5.016,1
