"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"136",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,2,1,0,0,0,0,0
"137",0,1,0,0,0,0,1,1,0,0,7,0,1,2,4,2,5,3,4,0,0,0,1,0
"138",0,0,0,0,0,0,1,0,0,1,2,1,2,3,6,5,4,2,3,3,0,1,0,0
"139",0,0,0,0,0,0,0,2,1,2,10,0,12,11,4,5,1,0,2,2,4,0,0,0
"140",0,2,1,1,1,0,5,7,15,2,1,9,6,9,10,12,5,8,4,0,0,0,0,2
"141",0,0,1,0,1,0,2,6,5,7,1,2,1,4,1,4,2,1,0,2,0,0,0,0
"142",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"143",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"148",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"153",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"154",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"155",0,0,0,0,0,1,1,6,2,0,2,0,0,3,0,1,1,0,1,0,0,1,0,0
"156",0,1,0,1,0,0,2,4,3,7,2,14,9,9,8,17,10,16,5,2,0,2,0,0
"157",1,0,0,0,0,0,0,6,4,4,11,5,10,11,4,5,10,19,6,1,1,1,0,0
"158",0,0,0,0,0,0,0,1,11,8,4,4,6,2,4,3,2,3,0,4,0,1,0,1
"159",0,0,0,0,0,2,0,5,1,4,2,2,12,6,1,3,4,5,0,0,0,0,0,0
"160",0,0,0,0,0,0,0,7,1,5,0,3,3,2,2,2,2,1,0,0,0,0,0,0
"161",0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0,1,0,2,0,0,0,0,2
"162",1,0,0,0,0,0,0,0,3,1,0,2,2,7,6,5,7,5,0,0,2,0,0,0
"163",0,0,0,0,0,0,0,2,4,1,0,0,0,1,0,9,9,3,1,6,0,0,0,0
"164",0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
"165",0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,0,0,0,0,0,0
"166",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"167",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0
"168",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,1,0,0,0,0
"170",0,0,0,0,1,0,0,2,2,2,4,2,1,5,4,3,2,1,3,0,0,0,0,0
"171",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"172",0,0,0,1,0,0,1,0,6,1,0,1,2,0,3,2,1,4,1,0,0,0,1,0
"173",0,0,0,0,0,0,0,4,5,0,0,1,2,0,4,1,3,1,0,0,0,0,0,0
"175",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"177",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"178",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
"179",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,2,0,0,0,0,0
"187",0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0
"188",0,1,0,0,0,0,2,1,2,2,0,1,0,2,0,4,2,0,0,0,0,0,0,0
"189",0,0,0,0,0,0,0,0,3,0,0,2,1,2,0,0,0,1,0,1,0,0,0,0
"190",0,0,0,0,0,0,1,0,1,0,1,0,0,0,2,0,2,2,0,1,0,0,0,0
"191",0,0,0,0,0,0,0,0,1,0,1,0,4,0,2,2,2,0,0,1,0,0,0,0
"192",2,0,0,0,0,1,1,2,0,1,0,1,2,2,3,3,3,2,0,1,0,0,0,1
"193",0,0,0,0,0,0,0,6,0,5,0,0,1,0,1,0,1,0,0,0,0,0,0,0
"194",0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,3,0,0,0,0,0,0,0
"195",0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,7,1,1,1,0,0,0,0,0
"196",0,0,0,0,0,0,0,3,2,4,3,4,0,2,4,2,4,1,0,0,0,0,0,0
"198",0,0,0,0,0,2,4,2,0,0,1,1,0,1,0,0,2,0,1,0,0,0,0,0
"199",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"201",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"202",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"203",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"204",0,0,0,0,0,0,1,0,0,1,1,0,1,2,2,5,1,1,1,1,1,0,0,0
"205",0,0,0,0,0,0,1,0,2,1,0,0,0,0,3,3,5,1,0,2,0,0,0,0
"206",0,2,0,0,0,1,1,8,5,0,0,0,1,3,2,1,2,6,1,1,0,0,0,2
"208",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
"210",0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,2,0,0,0,1,0,0
"211",0,0,0,0,0,0,0,1,2,2,0,1,5,2,2,8,5,1,3,3,2,1,0,0
"212",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"213",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"214",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"220",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"221",0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"222",0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,2,0,0,0,1,0,0,0
"223",0,1,0,0,0,0,0,1,0,1,2,0,0,0,1,2,0,1,5,0,1,1,0,0
"224",0,0,0,0,0,0,0,1,3,1,0,3,5,6,5,4,8,6,1,3,0,1,0,0
"225",0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,1,0,4,1,0,0,0,0,0
"226",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"227",0,0,0,1,1,0,0,1,0,1,0,1,2,0,2,2,2,2,1,0,0,0,0,0
"228",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"229",0,0,0,1,0,0,0,0,1,1,0,0,0,3,2,2,0,0,1,1,0,0,1,0
"230",0,3,0,1,0,1,0,0,0,0,3,0,2,0,1,4,9,4,0,0,0,0,0,0
"231",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"232",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"233",0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,3,0,0,0,0,0,0
"234",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"235",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"236",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0
"238",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"239",1,0,0,0,0,0,2,0,1,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0
"240",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
"241",1,1,0,0,0,0,1,0,5,3,2,1,5,0,6,6,3,6,1,0,0,0,1,1
"242",0,0,0,0,0,1,0,3,1,0,3,0,2,1,3,5,6,6,9,2,1,0,0,0
"243",0,0,1,0,0,0,1,0,5,0,1,0,3,0,1,3,0,3,2,0,0,0,0,0
"244",0,3,0,0,0,0,0,4,3,1,5,0,1,2,0,0,3,1,2,1,1,1,0,0
"245",0,1,0,0,0,0,0,1,3,0,2,0,3,3,1,2,2,5,0,0,1,0,0,0
"246",0,0,0,0,0,0,0,0,1,0,0,0,3,2,0,1,1,1,0,0,0,0,0,0
"247",0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"248",0,0,0,0,0,1,0,0,0,0,0,1,2,1,1,1,2,0,3,1,0,1,0,1
"249",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"253",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"258",0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"259",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"260",0,0,0,0,2,0,0,1,0,1,0,0,0,0,2,3,0,0,0,0,2,0,1,0
"261",0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,2,0,0,0,0,0
"262",0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,3,0,0,1,1,0,0
"263",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"264",0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0
"265",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0,0,0,1,0,0
"267",0,0,0,1,0,0,2,4,1,0,1,2,1,2,0,2,2,2,0,0,0,0,0,0
"268",0,0,0,1,0,0,2,0,1,0,1,0,0,1,0,0,3,1,0,0,0,0,0,0
"269",0,0,0,0,1,0,1,0,0,1,5,0,1,4,3,5,5,0,2,0,0,0,0,1
"270",0,0,0,0,0,0,1,1,0,0,0,0,1,2,1,2,3,1,0,1,0,0,0,0
"271",0,0,0,0,0,1,1,0,0,1,0,3,0,1,0,0,2,2,0,0,0,0,1,0
"272",0,0,0,0,1,0,0,1,0,0,0,1,2,2,3,3,3,6,0,0,0,0,0,0
"274",0,1,0,0,0,0,0,0,4,1,0,1,1,1,3,2,4,8,1,0,0,0,0,0
"275",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0
"278",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"279",0,0,0,0,0,0,0,1,2,4,2,9,9,2,4,8,7,3,2,2,0,0,0,1
"280",0,0,0,0,0,0,0,1,1,0,3,0,0,1,0,2,0,2,0,0,0,0,0,0
"281",0,0,0,0,0,1,0,4,5,0,4,0,2,0,2,1,1,2,0,1,0,0,0,0
"282",0,0,0,0,0,0,0,0,1,3,2,0,1,2,4,2,1,1,0,1,1,0,0,0
"283",0,0,0,0,0,0,0,1,0,0,1,0,3,3,4,0,2,0,0,0,0,0,0,0
"284",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"285",0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0
"286",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"288",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"289",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
"290",0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0
"291",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"303",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"304",0,0,0,0,1,0,1,6,2,1,1,2,2,2,3,1,0,1,2,2,0,0,0,0
"305",0,1,0,0,0,0,0,8,1,0,0,2,1,1,2,2,7,1,4,0,1,1,0,0
"308",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"309",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,1
"310",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"312",0,0,0,0,0,0,0,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0
"314",0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,3,0,0,0,2,1,0,0,0
"316",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"317",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"318",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
