GRID_ID,Join_Count,Grid_Num,NBR_LANES,TY_TERRAIN,FUNC_CLASS,Center_Lat,Center_Long
AH-23,34,186,2,2,19,35.02980219,-85.22545566
AI-23,57,187,2,2,19,35.02555766,-85.21810391
AJ-23,0,188,2,2,19,35.02980219,-85.21075217
AK-23,3,189,2,2,19,35.02555766,-85.20340042
AL-23,24,190,2,2,19,35.02980219,-85.19604868
AM-23,146,191,2,2,19,35.02555766,-85.18869693
AN-23,535,192,5,2,14,35.02980219,-85.18134519
AO-23,336,193,2,2,11,35.02555766,-85.17399344
AP-23,250,194,2,2,19,35.02980219,-85.1666417
AQ-23,659,195,2,2,19,35.02555766,-85.15928996
AR-23,648,196,2,2,17,35.02980219,-85.15193821
AS-23,37,197,2,2,16,35.02555766,-85.14458647
AT-23,27,198,2,2,19,35.02980219,-85.13723472
AU-23,6,199,2,2,19,35.02555766,-85.12988298
AV-23,54,200,2,2,19,35.02980219,-85.12253123
AW-23,3,201,2,2,19,35.02555766,-85.11517949
I-22,8,202,1,2,9,35.03404672,-85.40924928
J-22,1,203,1,2,9,35.03829126,-85.40189753
K-22,0,204,2,3,9,35.03404672,-85.39454579
N-22,8,205,2,2,19,35.03829126,-85.37249055
O-22,29,206,2,2,19,35.03404672,-85.36513881
P-22,17,207,2,2,19,35.03829126,-85.35778706
S-22,1,208,2,2,18,35.03404672,-85.33573183
T-22,1,209,2,2,19,35.03829126,-85.32838008
U-22,295,210,4,2,11,35.03404672,-85.32102834
V-22,331,211,2,2,19,35.03829126,-85.31367659
W-22,561,212,2,2,19,35.03404672,-85.30632485
X-22,161,213,2,2,19,35.03829126,-85.29897311
Y-22,58,214,2,2,19,35.03404672,-85.29162136
Z-22,241,215,2,2,19,35.03829126,-85.28426962
AA-22,229,216,2,2,19,35.03404672,-85.27691787
AB-22,373,217,2,2,19,35.03829126,-85.26956613
AC-22,395,218,2,2,19,35.03404672,-85.26221438
AD-22,73,219,2,2,19,35.03829126,-85.25486264
AE-22,63,220,2,2,19,35.03404672,-85.24751089
AF-22,137,221,2,2,19,35.03829126,-85.24015915
AG-22,59,222,2,2,19,35.03404672,-85.2328074
AH-22,60,223,2,2,19,35.03829126,-85.22545566
AI-22,45,224,2,2,19,35.03404672,-85.21810391
AJ-22,0,225,2,2,19,35.03829126,-85.21075217
