OBJECTID,ORIG_FID,X,Y,Center_Lat,Center_Long,Ghost_Lat,Ghost_Long
52,10,-85.32045455,34.9964,,,34.998,-85.32244319
53,10,-85.3125,34.9964,,,34.998,-85.31051136
54,10,-85.3125,34.99,,,34.9884,-85.31051136
55,10,-85.32045455,34.99,,,34.9884,-85.32244319
56,11,-85.3125,34.99,34.9932,-85.30852273,34.9884,-85.31448864
57,11,-85.3125,34.9964,,,34.998,-85.31448864
58,11,-85.30454545,34.9964,,,34.998,-85.30255681
59,11,-85.30454545,34.99,,,34.9884,-85.30255681
60,11,-85.3125,34.99,,,34.9884,-85.31448864
61,12,-85.30454545,34.99,34.9932,-85.30056818,34.9884,-85.30653409
62,12,-85.30454545,34.9964,,,34.998,-85.30653409
63,12,-85.29659091,34.9964,,,34.998,-85.29460228
64,12,-85.29659091,34.99,,,34.9884,-85.29460228
65,12,-85.30454545,34.99,,,34.9884,-85.30653409
66,13,-85.29659091,34.99,34.9932,-85.29261364,34.9884,-85.29857955
67,13,-85.29659091,34.9964,,,34.998,-85.29857955
68,13,-85.28863636,34.9964,,,34.998,-85.28664772
69,13,-85.28863636,34.99,,,34.9884,-85.28664772
70,13,-85.29659091,34.99,,,34.9884,-85.29857955
71,14,-85.28863636,34.99,34.9932,-85.28465909,34.9884,-85.290625
72,14,-85.28863636,34.9964,,,34.998,-85.290625
73,14,-85.28068182,34.9964,,,34.998,-85.27869319
74,14,-85.28068182,34.99,,,34.9884,-85.27869319
75,14,-85.28863636,34.99,,,34.9884,-85.290625
76,15,-85.28068182,34.99,34.9932,-85.27670455,34.9884,-85.28267046
77,15,-85.28068182,34.9964,,,34.998,-85.28267046
78,15,-85.27272727,34.9964,,,34.998,-85.27073863
79,15,-85.27272727,34.99,,,34.9884,-85.27073863
80,15,-85.28068182,34.99,,,34.9884,-85.28267046
81,16,-85.27272727,34.99,34.9932,-85.26875,34.9884,-85.27471591
82,16,-85.27272727,34.9964,,,34.998,-85.27471591
83,16,-85.26477273,34.9964,,,34.998,-85.2627841
84,16,-85.26477273,34.99,,,34.9884,-85.2627841
85,16,-85.27272727,34.99,,,34.9884,-85.27471591
86,17,-85.26477273,34.99,34.9932,-85.26079545,34.9884,-85.26676137
87,17,-85.26477273,34.9964,,,34.998,-85.26676137
88,17,-85.25681818,34.9964,,,34.998,-85.25482954
89,17,-85.25681818,34.99,,,34.9884,-85.25482954
90,17,-85.26477273,34.99,,,34.9884,-85.26676137
91,18,-85.25681818,34.99,34.9932,-85.25284091,34.9884,-85.25880681
92,18,-85.25681818,34.9964,,,34.998,-85.25880681
93,18,-85.24886364,34.9964,,,34.998,-85.246875
94,18,-85.24886364,34.99,,,34.9884,-85.246875
95,18,-85.25681818,34.99,,,34.9884,-85.25880681
96,19,-85.24886364,34.99,34.9932,-85.24488636,34.9884,-85.25085228
97,19,-85.24886364,34.9964,,,34.998,-85.25085228
98,19,-85.24090909,34.9964,,,34.998,-85.23892045
99,19,-85.24090909,34.99,,,34.9884,-85.23892045
100,19,-85.24886364,34.99,,,34.9884,-85.25085228
101,20,-85.24090909,34.99,34.9932,-85.23693182,34.9884,-85.24289773
102,20,-85.24090909,34.9964,,,34.998,-85.24289773
103,20,-85.23295455,34.9964,,,34.998,-85.23096592
104,20,-85.23295455,34.99,,,34.9884,-85.23096592
105,20,-85.24090909,34.99,,,34.9884,-85.24289773
106,21,-85.23295455,34.99,34.9932,-85.22897727,34.9884,-85.23494319
107,21,-85.23295455,34.9964,,,34.998,-85.23494319
108,21,-85.225,34.9964,,,34.998,-85.22301136
109,21,-85.225,34.99,,,34.9884,-85.22301136
110,21,-85.23295455,34.99,,,34.9884,-85.23494319
111,22,-85.225,34.99,34.9932,-85.22102273,34.9884,-85.22698864
112,22,-85.225,34.9964,,,34.998,-85.22698864
113,22,-85.21704545,34.9964,,,34.998,-85.21505681
114,22,-85.21704545,34.99,,,34.9884,-85.21505681
115,22,-85.225,34.99,,,34.9884,-85.22698864
116,23,-85.21704545,34.99,34.9932,-85.21306818,34.9884,-85.21903409
117,23,-85.21704545,34.9964,,,34.998,-85.21903409
118,23,-85.20909091,34.9964,,,34.998,-85.20710228
119,23,-85.20909091,34.99,,,34.9884,-85.20710228
120,23,-85.21704545,34.99,,,34.9884,-85.21903409
121,24,-85.20909091,34.99,34.9932,-85.20511364,34.9884,-85.21107955
122,24,-85.20909091,34.9964,,,34.998,-85.21107955
123,24,-85.20113636,34.9964,,,34.998,-85.19914772
124,24,-85.20113636,34.99,,,34.9884,-85.19914772
125,24,-85.20909091,34.99,,,34.9884,-85.21107955
