GRID_ID,Join_Count,Grid_Num,NBR_LANES,TY_TERRAIN,FUNC_CLASS
AO-17,77,410,2,2,19
AP-17,11,411,2,2,19
AQ-17,16,412,2,2,14
AR-17,58,413,2,2,17
AS-17,3,414,2,2,17
AT-17,1,415,NA,NA,NA
AU-17,195,416,4,2,17
AV-17,1,417,NA,NA,NA
AW-17,79,418,4,2,17
AX-17,1,419,NA,NA,NA
AY-17,28,420,9,2,11
AZ-17,74,421,2,2,19
BA-17,35,422,2,2,19
BB-17,322,423,2,2,19
BC-17,8,424,2,2,19
BD-17,509,425,2,2,16
P-16,0,426,1,2,19
Q-16,0,427,1,2,19
S-16,32,428,2,2,19
T-16,189,429,2,2,19
U-16,350,430,2,2,12
W-16,8,431,2,2,19
X-16,38,432,2,2,16
Y-16,111,433,2,2,19
Z-16,31,434,2,2,19
AA-16,1,435,NA,NA,NA
AB-16,1,436,2,2,19
AC-16,249,437,4,2,14
AD-16,76,438,4,2,14
AE-16,3,439,2,2,19
AF-16,3,440,2,2,19
AG-16,23,441,2,2,19
AH-16,48,442,4,2,14
AI-16,122,443,2,2,19
AJ-16,98,444,2,2,19
AK-16,287,445,2,2,19
AL-16,68,446,2,2,19
AM-16,260,447,2,2,19
AN-16,172,448,2,2,19
AO-16,28,449,2,2,19
AP-16,1,450,2,2,19
AQ-16,17,451,2,2,17
AT-16,22,452,NA,NA,NA
AV-16,1,453,NA,NA,NA
AW-16,2,454,NA,NA,NA
AY-16,1,455,NA,NA,NA
AZ-16,2,456,2,2,19
BA-16,20,457,2,2,19
BB-16,76,458,2,2,19
BC-16,447,459,2,2,16
BD-16,289,460,2,2,16
BE-16,304,461,2,2,16
P-15,0,462,1,2,19
Q-15,0,463,1,2,19
R-15,17,464,2,2,16
S-15,0,465,2,2,19
T-15,372,466,2,2,19
U-15,30,467,2,2,12
Y-15,5,468,2,2,19
Z-15,39,469,2,2,19
AA-15,2,470,2,2,19
AB-15,8,471,2,2,19
AC-15,6,472,2,2,19
AD-15,72,473,6,2,12
AE-15,84,474,4,2,14
AF-15,184,475,4,2,14
AG-15,19,476,2,2,19
AH-15,103,477,4,2,12
AI-15,180,478,2,2,12
AJ-15,2,479,2,2,18
AK-15,8,480,2,2,19
AL-15,10,481,2,2,19
AM-15,81,482,2,2,19
AN-15,55,483,2,2,19
AO-15,72,484,2,2,19
AP-15,39,485,5,2,14
AQ-15,8,486,2,2,17
AT-15,0,487,2,2,19
AU-15,11,488,2,2,19
AZ-15,2,489,2,2,19
BA-15,4,490,2,2,19
BC-15,2,491,NA,NA,NA
BD-15,52,492,2,2,19
BE-15,64,493,2,2,11
O-14,1,494,1,2,19
P-14,9,495,2,2,16
Q-14,48,496,3,2,16
R-14,21,497,2,2,19
S-14,112,498,2,2,16
T-14,115,499,2,2,16
U-14,44,500,6,3,12
V-14,11,501,2,2,19
Y-14,22,502,2,2,19
Z-14,32,503,2,2,19
