Longitude,Latitude,Hour,Date
-85.254705,35.06347,13,4/17/2020
-85.127355,35.040659,13,4/17/2020
-85.249995,35.141079,14,4/17/2020
-85.24562,35.152975,14,4/17/2020
-85.248276,35.142401,14,4/17/2020
-85.248735,35.14182,15,4/17/2020
-85.248735,35.14182,15,4/17/2020
-85.214852,35.003307,15,4/17/2020
-85.217844,35.004051,15,4/17/2020
-85.214852,35.003307,15,4/17/2020
-85.214852,35.003307,15,4/17/2020
-85.214852,35.003307,15,4/17/2020
-85.283647,35.019108,15,4/17/2020
-85.228396,35.039427,15,4/17/2020
-85.225854,35.040819,15,4/17/2020
-85.225854,35.040819,15,4/17/2020
0,0,15,4/17/2020
-85.283072,35.011024,15,4/17/2020
-85.149637,35.02802,16,4/17/2020
-85.155546,35.030221,16,4/17/2020
-85.257486,35.062245,16,4/17/2020
-85.293651,35.002488,16,4/17/2020
-85.29334,35.00314,16,4/17/2020
-85.295337,35.019365,16,4/17/2020
-85.293651,35.002488,16,4/17/2020
-85.293651,35.002488,16,4/17/2020
-85.220476,35.010327,17,4/17/2020
-85.324327,35.014985,17,4/17/2020
-85.331318,35.094368,17,4/17/2020
-85.190003,35.086531,17,4/17/2020
-85.066781,35.085507,18,4/17/2020
-85.147194,35.356077,18,4/17/2020
-85.146267,35.355926,18,4/17/2020
-85.146267,35.355926,18,4/17/2020
-85.193546,35.23153,18,4/17/2020
-85.146267,35.355926,19,4/17/2020
-85.283854,34.994335,19,4/17/2020
-85.19886,34.9899,20,4/17/2020
-85.19886,34.9899,20,4/17/2020
-85.19886,34.9899,20,4/17/2020
-85.19906,34.98992,20,4/17/2020
-85.309232,34.988466,23,4/17/2020
-85.213566,35.254711,2,4/18/2020
-85.167018,35.046061,10,4/18/2020
-85.244481,34.997172,10,4/18/2020
-85.107257,35.037255,11,4/18/2020
-85.070716,35.087929,12,4/18/2020
-85.272995,35.023223,12,4/18/2020
-85.296505,35.08046,12,4/18/2020
