Accident,Latitude,Longitude,Street,AltStreet,Intersection,DateTime,Date,Hour,Unix,WeekDay,WeekEnd,DayFrame,AccidentType,CollisionType,HaR,FatalInjury,MedicalTransport,InvolvedPlacardedTruck,PostedSpeed,TotalVehiclesInvolved,PedestrianInvolved,BicycleInvolved,DriverOneSafetyEquipment,DriverOneZip,DriverTwoSafetyEquipment,DriverTwoZip,Drug,Alcohol,LightCondition,Weather,Grid_Block,Grid_Col,Grid_Row,Highway,Land_Use_Mode,Road_Count,HourBefore,humidity,windSpeed,windBearing,uvIndex,precipIntensity,apparentTemperature,windGust,cloudCover,temperature,dewPoint,visibility,precipType,Event,Conditions,Rain,Cloudy,Foggy,Snow,Clear,RainBefore
,35.005132,-85.227148,18460 Interstate 24 Westbound,,Moore Rd,7/23/2018 13:00,2018-07-23,13,1532365200,,,,Property Damage,Front to Rear,No,No,No,No,55,2,No,No,Shoulder and Lap Belt Used,37323,Shoulder and Lap Belt Used,37341,No,No,Daylight,Clear,111,28,22,1,7,8,1532361600,0.63,2.96,51,6,0,82.93,8.5,0.65,80.57,66.91,5.483,,partly-cloudy-day,mostly cloudy,0,1,0,0,0,0
,35.004334,-85.221655,18500 Interstate 24 Eb Interstate,,I-75,9/4/2018 9:00,2018-09-04,9,1536066000,,,,Possible Injury,Front to Rear,No,No,Yes,No,55,2,No,No,Shoulder and Lap Belt Used,37404,Shoulder and Lap Belt Used,36091,No,No,Daylight,Clear,111,28,22,1,7,8,1536062400,0.86,2.66,24,1,0,76.04,3.85,0.19,74.82,70.31,3.768,,partly-cloudy-day,partly cloudy,0,1,0,0,0,0
,35.005132,-85.227148,185 I24 Wb Interstate,,I75,9/20/2018 0:00,2018-09-20,0,1537416000,,,,Property Damage,Not Collision with Motor Vehicle in Transport,Yes,No,No,No,55,1,No,No,Unknown,Unknown,,,,,Dark - Not Lighted,Clear,111,28,22,1,7,8,1537412400,0.86,1.27,357,0,0,74.98,5.92,0,73.86,69.37,5.307,,clear-night,clear,0,0,0,0,1,0
,35.004875,-85.223485,5300 N Terrace,,Mcbrien Rd,10/15/2018 5:00,2018-10-15,5,1539594000,,,,Fatal,Not Collision with Motor Vehicle in Transport,No,Yes,No,No,40,1,No,No,Shoulder and Lap Belt Used,37412,,,Yes,No,Dark - Lighted,Clear,111,28,22,1,7,8,1539590400,0.83,1.65,241,0,0,64.15,8.78,0,64.13,58.87,6.103,,clear-night,clear,0,0,0,0,1,0
,35.004334,-85.221655,18500 Interstate 24 Eastbound,I-24,Interstate 75,11/10/2018 9:00,2018-11-10,9,1541858400,,,,Possible Injury,Front to Rear,No,No,Yes,No,55,2,No,No,Shoulder and Lap Belt Used,37421,Shoulder and Lap Belt Used,37411,No,No,Daylight,Clear,111,28,22,1,7,8,1541854800,0.62,10.26,353,1,0,27.93,18.93,0,35.5,23.7,5.634,,clear-day,clear,0,0,0,0,1,0
,35.004944,-85.228489,4900 S Terrace,,Spring Creek Rd,11/28/2018 8:00,2018-11-28,8,1543410000,,,,Property Damage,Front to Rear,Yes,No,No,No,45,2,No,No,Unknown,Unknown,Shoulder and Lap Belt Used,37412,No,No,Daylight,Clear,111,28,22,1,7,8,1543406400,0.73,2.84,15,0,0,24.13,7.21,0,24.13,16.81,6.195,,clear-day,clear,0,0,0,0,1,0
,35.005132,-85.227148,18455 I 24 Wb Interstate,,N Moore,12/30/2018 17:00,2018-12-30,17,1546207200,,,,Possible Injury,Unknown,Yes,No,No,No,55,2,No,No,Unknown,Unknown,Unknown,37416,No,No,Daylight,Clear,111,28,22,1,7,8,1546203600,0.8,1.16,225,0,0,53.56,4.23,0.75,53.56,47.47,7.246,,partly-cloudy-day,mostly cloudy,0,1,0,0,0,0
,35.005447,-85.226637,5000 N Terrace,,McBrien Rd,1/12/2019 0:00,2019-01-12,0,1547269200,,,,Property Damage,Not Collision with Motor Vehicle in Transport,Yes,No,No,No,45,1,No,No,Unknown,Unknown,,,,,Unknown,Unknown,111,28,22,1,7,8,1547265600,0.5,2.76,16,0,0,42.91,2.84,1,42.91,25.65,1.676,,fog,foggy,0,0,1,0,0,0
,35.005132,-85.227148,184.6 I-24 West,I-24,,3/13/2019 21:00,2019-03-13,21,1552525200,,,,Property Damage,Angle,No,No,No,No,55,2,No,No,Shoulder and Lap Belt Used,38483,Shoulder and Lap Belt Used,35570,No,No,Dark - Lighted,Clear,111,28,22,1,7,8,1552521600,0.38,8.15,142,0,0,63.51,20.7,0,63.51,37.68,5.906,,clear-night,clear,0,0,0,0,1,0
,35.004577,-85.227473,400 Mcbrien Rd,,South Terrace,4/18/2019 10:00,2019-04-18,10,1555596000,,,,Property Damage,Front to Rear,No,No,No,No,35,2,No,No,Shoulder and Lap Belt Used,30741,Shoulder and Lap Belt Used,30707,No,No,Daylight,Clear,111,28,22,1,7,8,1555592400,0.67,7.48,202,3,0,69.03,15.29,0.87,69.03,57.8,6.19,,partly-cloudy-day,mostly cloudy,0,1,0,0,0,0
,35.0043545,-85.222191,2000 E 23rd St,,Central Ave,5/22/2019 17:00,2019-05-22,17,1558558800,,,,Possible Injury,Angle,No,No,Yes,No,35,2,No,No,Shoulder and Lap Belt Used,37421,Shoulder and Lap Belt Used,37407,No,No,Daylight,Clear,111,28,22,1,7,8,1558555200,0.36,8.79,201,5,0,90.84,15.21,0.19,90.84,60.21,10,,partly-cloudy-day,partly cloudy,0,1,0,0,0,0
,35.137282,-85.23682,5200 Hixson Pike,,Austin Dr,1/1/2018 0:00,2018-01-01,0,1514782800,,,,Property Damage Under,Front to Rear,No,No,No,No,40,2,No,No,Shoulder and Lap Belt Used,37343,Shoulder and Lap Belt Used,32210,No,No,Unknown,Clear,801,18,4,0,2,8,1514779200,0.51,2.99,4,0,0,18.92,7.77,0.44,18.92,3.72,6.825,,partly-cloudy-night,partly cloudy,0,1,0,0,0,0
,35.138026,-85.242337,1948 Northpoint Blvd,,Northpoint Blvd.,1/5/2018 15:00,2018-01-05,15,1515182400,,,,Property Damage,Angle,No,No,No,No,,2,No,No,Shoulder and Lap Belt Used,37343,Shoulder and Lap Belt Used,37405,No,No,Daylight,Clear,801,18,4,0,2,8,1515178800,0.36,3.06,303,1,0,29.67,7.07,0.19,32.38,8.4,8.509,,partly-cloudy-day,partly cloudy,0,1,0,0,0,0
,35.137282,-85.23682,5200 Hwy 153,US-153,Hwy 153,1/10/2018 13:00,2018-01-10,13,1515607200,,,,Property Damage Under,Angle,No,No,No,No,45,2,No,No,Shoulder and Lap Belt Used,37377,Shoulder and Lap Belt Used,37322,No,No,Daylight,Cloudy,801,18,4,0,2,8,1515603600,0.76,2.6,151,2,0,59.42,7.76,0.75,59.42,51.93,6.999,,partly-cloudy-day,mostly cloudy,0,1,0,0,0,0
,35.142281,-85.236189,5301 Old Hixson Pike,,Gadd Rd,2/10/2018 19:00,2018-02-10,19,1518307200,,,,Property Damage,Front to Rear,No,No,No,No,35,2,No,No,Shoulder and Lap Belt Used,37343,Shoulder and Lap Belt Used,37343,No,No,Dark - Not Lighted,Rain,801,18,4,0,2,8,1518303600,0.91,0.89,167,0,0.231,58.15,3.32,1,58.15,55.68,1.893,rain,rain,rain,1,0,0,0,0,1
,35.141497,-85.235455,5260 Old Hixson Pike,,Gadd Rd,7/24/2018 17:00,2018-07-24,17,1532466000,,,,Property Damage Under,Front to Rear,No,No,No,No,30,2,No,No,Shoulder and Lap Belt Used,37343,Shoulder and Lap Belt Used,37379,No,No,Daylight,Cloudy,801,18,4,0,2,8,1532462400,0.77,7.71,349,4,0,79.42,8.2,0.75,78.27,70.44,6.574,,partly-cloudy-day,mostly cloudy,0,1,0,0,0,0
,35.141497,-85.235455,5260 Old Hixson Pike,,Gadd Rd,7/24/2018 17:00,2018-07-24,17,1532466000,,,,Property Damage Under,Front to Rear,No,No,No,No,30,2,No,No,Shoulder and Lap Belt Used,37343,Shoulder and Lap Belt Used,37379,No,No,Daylight,Cloudy,801,18,4,0,2,8,1532462400,0.77,7.71,349,4,0,79.42,8.2,0.75,78.27,70.44,6.574,,partly-cloudy-day,mostly cloudy,0,1,0,0,0,0
,35.141497,-85.235455,5260 Old Hixson Pike,,Gadd Rd,7/24/2018 17:00,2018-07-24,17,1532466000,,,,Property Damage Under,Front to Rear,No,No,No,No,30,2,No,No,Shoulder and Lap Belt Used,37343,Shoulder and Lap Belt Used,37379,No,No,Daylight,Cloudy,801,18,4,0,2,8,1532462400,0.74,7.93,354,4,0,82.82,8.27,0.75,79.67,70.48,7.774,,partly-cloudy-day,mostly cloudy,0,1,0,0,0,0
,35.141497,-85.235455,5260 Old Hixson Pike,,Gadd Rd,7/24/2018 17:00,2018-07-24,17,1532466000,,,,Property Damage Under,Front to Rear,No,No,No,No,30,2,No,No,Shoulder and Lap Belt Used,37343,Shoulder and Lap Belt Used,37379,No,No,Daylight,Cloudy,801,18,4,0,2,8,1532462400,0.74,7.93,354,4,0,82.82,8.27,0.75,79.67,70.48,7.774,,partly-cloudy-day,mostly cloudy,0,1,0,0,0,0
,35.137282,-85.23682,5200 Hixson Pike,,Austin Rd,7/26/2018 16:00,2018-07-26,16,1532635200,,,,Possible Injury,Angle,No,No,No,No,40,2,No,No,,37343,Shoulder and Lap Belt Used,37377,No,No,Daylight,Cloudy,801,18,4,0,2,8,1532631600,0.48,2.69,193,5,0,90.32,5.6,0.64,87.89,66.04,7.007,,partly-cloudy-day,mostly cloudy,0,1,0,0,0,0
,35.137282,-85.23682,5200 Hixson Pike,US-5200,Wilbanks Drive,9/23/2018 13:00,2018-09-23,13,1537722000,,,,Suspected Minor Injury,Front to Rear,No,No,Yes,No,40,2,No,No,,37343,Shoulder and Lap Belt Used,37379,No,No,Daylight,Clear,801,18,4,0,2,8,1537718400,0.55,5.3,171,5,0,88.78,9.85,0.61,85.71,67.45,7.007,,partly-cloudy-day,mostly cloudy,0,1,0,0,0,0
,35.136402,-85.238756,5123 Hixson Pike,,1900 North Point Blvd.,4/11/2019 7:00,2019-04-11,7,1554980400,,,,Property Damage,Front to Rear,No,No,No,No,45,2,No,No,Shoulder and Lap Belt Used,37343,Shoulder and Lap Belt Used,37421,No,No,Dawn,Clear,801,18,4,0,2,8,1554976800,0.85,4.26,150,0,0,55.88,6.16,0.61,55.88,51.48,8.326,,partly-cloudy-night,mostly cloudy,0,1,0,0,0,0
,35.13809,-85.242409,1900 - 1949 Northpoint Blvd,,Highway 153,6/7/2019 17:00,2019-06-07,17,1559941200,,,,Property Damage,Head On,No,No,No,No,30,2,No,No,Shoulder and Lap Belt Used,37404,Shoulder and Lap Belt Used,37343,No,No,Daylight,Clear,801,18,4,0,2,8,1559937600,0.59,5.51,257,4,0,91.01,12.24,0.44,86.05,70.3,7.408,,partly-cloudy-day,partly cloudy,0,1,0,0,0,0
,35.138452,-85.242909,1941 Northpoint Blvd,,Northpoint Blvd,6/13/2019 14:00,2019-06-13,14,1560448800,,,,Possible Injury,Angle,No,No,Yes,No,30,2,No,No,Shoulder and Lap Belt Used,37411,Shoulder and Lap Belt Used,37042,No,No,Daylight,Clear,801,18,4,0,2,8,1560445200,0.43,9.13,300,5,0,76.14,16.14,0.75,76.14,51.8,7.874,,partly-cloudy-day,mostly cloudy,0,1,0,0,0,0
,35.139713,-85.237053,5225 Old Hixson Pike,US-5225,Austin Road,6/17/2019 0:00,2019-06-17,0,1560744000,,,,Property Damage,Unknown,Yes,No,No,No,,2,No,No,Unknown,Unknown,,37343,,,Unknown,Clear,801,18,4,0,2,8,1560740400,0.72,4.49,206,0,0,82.89,7.76,0.61,79.85,69.84,8.46,,partly-cloudy-night,mostly cloudy,0,1,0,0,0,0
,35.048719,-85.290431,Hampton Street,SR-200,E 3rd St,1/1/2018 0:00,2018-01-01,0,1514782800,,,,Property Damage Under,Not Collision with Motor Vehicle in Transport,No,No,No,No,25,1,No,No,,37416,Shoulder and Lap Belt Used,37405,,,Unknown,Clear,193,18,19,0,7,7,1514779200,0.5,3.08,5,0,0,14.5,8.41,0,19.02,3.61,5.596,,clear-night,clear,0,0,0,0,1,0
,35.048719,-85.290431,E 3rd St,SR-975,Central Ave,1/3/2018 15:00,2018-01-03,15,1515009600,,,,Property Damage,Rear to Rear,No,No,No,No,,2,No,No,,37338,Shoulder and Lap Belt Used,37343,No,No,Daylight,Clear,193,18,19,0,7,7,1515006000,0.26,2.52,294,1,0,36.99,6.23,0,36.99,5.54,5.596,,clear-day,clear,0,0,0,0,1,0
,35.048719,-85.290431,975 E 3rd St,,Central Ave,1/20/2018 18:00,2018-01-20,18,1516489200,,,,Property Damage,Unknown,Yes,No,No,No,,2,No,No,Unknown,Unknown,,37343,,,Dark - Lighted,Clear,193,18,19,0,7,7,1516485600,0.47,0.14,221,0,0,56.68,1.05,0.44,56.68,36.73,9.188,,partly-cloudy-night,partly cloudy,0,1,0,0,0,0
,35.048719,-85.290431,E 3rd St,US-975,Blackford St,1/22/2018 0:00,2018-01-22,0,1516597200,,,,Property Damage,Angle,Yes,No,No,No,,2,No,No,,30161,Unknown,Unknown,,,Unknown,Rain,193,18,19,0,7,7,1516593600,0.74,0.1,180,0,0,49.24,1.05,0,49.24,41.37,7.611,,clear-night,clear,0,0,0,0,1,0
,35.048631,-85.287244,Central Ave,,Blackford St,2/8/2018 12:00,2018-02-08,12,1518109200,,,,Property Damage,Angle,No,No,No,No,30,2,No,No,Shoulder and Lap Belt Used,37403,Shoulder and Lap Belt Used,27502,No,No,Daylight,Clear,193,18,19,0,7,7,1518105600,0.58,3.23,19,4,0,39.79,7.89,0,41.48,27.9,6.28,,clear-day,clear,0,0,0,0,1,0
,35.048719,-85.290431,975 E 3rd St,,200 Central Aave,2/15/2018 0:00,2018-02-15,0,1518670800,,,,Property Damage,Unknown,Yes,No,No,No,15,2,No,No,,37919,Unknown,Unknown,,,Unknown,Clear,193,18,19,0,7,7,1518667200,0.93,3.05,198,0,0.034,59.06,4.91,1,59.06,56.99,1.87,rain,rain,light rain,1,0,0,0,0,1
,35.048719,-85.290431,Cherokee Blvd,SR-1,North Market St,4/17/2018 0:00,2018-04-17,0,1523937600,,,,Property Damage Under,Front to Rear,Yes,No,No,No,30,2,No,No,Shoulder and Lap Belt Used,37415,Unknown,Unknown,No,No,Daylight,Clear,193,18,19,0,7,7,1523934000,0.71,0.71,357,0,0,36.68,1.62,0,36.68,28.11,6.28,,clear-night,clear,0,0,0,0,1,0
,35.048719,-85.290431,975 E 3rd St,,300 Central Ave,5/15/2018 12:00,2018-05-15,12,1526400000,,,,Property Damage,Unknown,Yes,No,No,No,35,2,No,No,Unknown,Unknown,,37415,,,Daylight,Clear,193,18,19,0,7,7,1526396400,0.69,0.77,218,9,0,79.59,2.74,0,78.76,67.81,7.171,,clear-day,clear,0,0,0,0,1,0
,35.0495917,-85.29122,Mccallie Ave,,Mccallie Ave,5/26/2018 15:00,2018-05-26,15,1527361200,,,,Property Damage,Not Collision with Motor Vehicle in Transport,No,No,No,No,30,1,No,No,,37404,Shoulder and Lap Belt Used,37408,No,No,Daylight,Unknown,193,18,19,0,7,7,1527357600,0.64,4.73,197,6,0,85.26,8.84,0.69,82.02,68.73,6.277,,partly-cloudy-day,mostly cloudy,0,1,0,0,0,0
,35.053399,-85.286656,1400 Riverside Dr,,Wilcox Blvd,6/7/2018 3:00,2018-06-07,3,1528354800,,,,Property Damage Under,Not Collision with Motor Vehicle in Transport,No,No,No,No,45,1,No,No,Shoulder and Lap Belt Used,37406,,,No,No,Dark - Lighted,Clear,193,18,19,0,7,7,1528351200,0.79,1.53,318,0,0,68.56,4.09,0.1,68.32,61.55,6.277,,clear-night,clear,0,0,0,0,1,0
,35.048719,-85.290431,975 E 3rd St,,Non intersection,6/13/2018 11:00,2018-06-13,11,1528902000,,,,Property Damage,Front to Rear,No,No,No,No,15,2,No,No,Shoulder and Lap Belt Used,37322,Shoulder and Lap Belt Used,37379,No,No,Daylight,Clear,193,18,19,0,7,7,1528898400,0.84,4.34,196,4,0.002,77.35,7.54,1,76.1,70.87,5.96,rain,cloudy,overcast,0,1,0,0,0,0
,35.049527,-85.291114,500 Manufacturers Rd,SR-1,Chrokee Blvd,6/13/2018 13:00,2018-06-13,13,1528909200,,,,Property Damage,Front to Rear,No,No,No,No,30,3,No,No,Unknown,37412,Unknown,37363,No,No,Daylight,Clear,193,18,19,0,7,7,1528905600,0.8,6.57,192,6,0.013,77.11,9.16,0.75,76.05,69.39,6.277,rain,rain,possible drizzle,1,0,0,0,0,1
,35.049518,-85.289863,910 Blackford St,,910 Blackford St,7/19/2018 16:00,2018-07-19,16,1532030400,,,,Property Damage,Not Collision with Motor Vehicle in Transport,No,No,No,No,15,1,No,No,Shoulder and Lap Belt Used,30741,,,No,No,Daylight,Clear,193,18,19,0,7,7,1532026800,0.48,3.47,165,5,0,94.71,7.06,0.75,90.5,68.25,4.926,,partly-cloudy-day,mostly cloudy,0,1,0,0,0,0
,35.04989,-85.290769,3600 N Hawthrone st,,N hawthrone,7/20/2018 6:00,2018-07-20,6,1532080800,,,,Property Damage Under,Angle,Yes,No,No,No,,2,No,No,,30738,Unknown,Unknown,,,Daylight,Clear,193,18,19,0,7,7,1532077200,0.87,1.89,195,0,0,75,4.12,0.19,73.81,69.79,1.396,,fog,foggy,0,0,1,0,0,0
,35.048719,-85.290431,E 3rd St,SR-975,Hampton St,8/20/2018 16:00,2018-08-20,16,1534795200,,,,Property Damage,Angle,Yes,No,No,No,,2,No,No,Unknown,Unknown,,37379,,,Daylight,Cloudy,193,18,19,0,7,7,1534791600,0.68,7.11,186,5,0,89.41,10.86,0.75,83.8,72.08,3.245,,partly-cloudy-day,humid and mostly cloudy,0,1,0,0,0,0
,35.048719,-85.290431,E 3rd St,,Blackford St,9/6/2018 17:00,2018-09-06,17,1536267600,,,,Property Damage,Unknown,Yes,No,No,No,15,2,No,No,,37421,Unknown,Unknown,,,Daylight,Clear,193,18,19,0,7,7,1536264000,0.75,5.13,67,3,0.022,82.23,14.54,0.75,79.27,70.52,5.342,rain,rain,light rain,1,0,0,0,0,1
,35.048719,-85.290431,E 3rd St,,Wiehl St,10/24/2018 15:00,2018-10-24,15,1540407600,,,,Property Damage,Angle,No,No,No,No,15,2,No,No,,38501,Shoulder and Lap Belt Used,37379,No,No,Daylight,Clear,193,18,19,0,7,7,1540404000,0.35,6.68,31,3,0,67.07,11.52,0.67,67.07,38.61,7.295,,partly-cloudy-day,mostly cloudy,0,1,0,0,0,0
,35.048649,-85.287235,800 E 3rd St,,Mable St,11/1/2018 13:00,2018-11-01,13,1541091600,,,,Possible Injury,Angle,Yes,No,No,No,30,2,No,No,Unknown,37402,Shoulder and Lap Belt Used,37915,No,No,Daylight,Rain,193,18,19,0,7,7,1541088000,0.93,7.83,133,3,0.04,64.07,11.53,1,63.65,61.47,1.598,rain,rain,light rain,1,0,0,0,0,1
,35.048719,-85.290431,975 E 3rd St,,Private Lot,11/9/2018 0:00,2018-11-09,0,1541739600,,,,Property Damage,Angle,Yes,No,No,No,15,2,No,No,Unknown,Unknown,,37363,,,Daylight,Clear,193,18,19,0,7,7,1541736000,0.97,1.27,189,0,0,51.52,3.18,1,51.52,50.83,3.389,,cloudy,overcast,0,1,0,0,0,0
,35.048719,-85.290431,975 E 3rd St,,Parking lot,11/30/2018 10:00,2018-11-30,10,1543590000,,,,Property Damage,Angle,No,No,No,No,15,2,No,No,Shoulder and Lap Belt Used,37311,Shoulder and Lap Belt Used,37367,No,No,Daylight,Rain,193,18,19,0,7,7,1543586400,0.92,5.8,192,1,0.008,55.37,11.38,1,55.37,52.94,2.778,rain,rain,drizzle,1,0,0,0,0,1
,35.04953,-85.29113,Lee hwy,SR-5813,Airport Rd,12/18/2018 15:00,2018-12-18,15,1545163200,,,,Property Damage,Angle,Yes,No,No,No,35,2,No,No,Unknown,Unknown,Shoulder and Lap Belt Used,37379,No,No,Daylight,Clear,193,18,19,0,7,7,1545159600,0.36,4.51,308,1,0,55.03,9.46,0,55.03,28.36,5.061,,clear-day,clear,0,0,0,0,1,0
,35.04694,-85.285396,Garfield St,,Scruggs St,12/29/2018 13:00,2018-12-29,13,1546106400,,,,Property Damage,Angle,No,No,No,No,25,2,No,No,Shoulder and Lap Belt Used,37403,,37406,No,No,Daylight,Clear,193,18,19,0,7,7,1546102800,0.66,2.64,32,3,0,50.45,5.8,0.72,50.45,39.59,6.088,,partly-cloudy-day,mostly cloudy,0,1,0,0,0,0
,35.04944,-85.29039,3100 Wilcox Blvd,,North Chamberlain ave,1/4/2019 15:00,2019-01-04,15,1546632000,,,,Property Damage Under,"Sideswipe, Opposite Direction",Yes,No,No,No,35,2,No,No,Unknown,Unknown,Shoulder and Lap Belt Used,37404,No,No,Daylight,Rain,193,18,19,0,7,7,1546628400,0.83,7.25,185,1,0.008,58.04,17.19,0.97,58.04,53.06,2.943,rain,rain,possible drizzle,1,0,0,0,0,1
,35.048719,-85.290431,E 3rd St,,Hampton St,1/10/2019 0:00,2019-01-10,0,1547096400,,,,Property Damage,Unknown,Yes,No,No,No,25,2,No,No,Unknown,Unknown,,30741,,,Unknown,Clear,193,18,19,0,7,7,1547092800,0.48,9.85,338,0,0,27.63,18.46,0,35.09,17.48,5.112,,clear-night,clear,0,0,0,0,1,0
,35.048719,-85.290431,E 3rd St,SR-975,Central Ave,1/22/2019 0:00,2019-01-22,0,1548133200,,,,Property Damage,Not Collision with Motor Vehicle in Transport,No,No,No,No,,1,No,No,Shoulder and Lap Belt Used,37377,,,No,No,Daylight,Cloudy,193,18,19,0,7,7,1548129600,0.5,3.2,36,0,0,20.72,7.72,0.17,24.68,8.57,6.968,,partly-cloudy-night,partly cloudy,0,1,0,0,0,0
,35.048719,-85.290431,975 E 3rd St,,702 Central Ave,3/18/2019 7:00,2019-03-18,7,1552906800,,,,Property Damage,Front to Rear,No,No,No,No,15,2,No,No,Shoulder and Lap Belt Used,37409,Shoulder and Lap Belt Used,37412,No,No,Dawn,Clear,193,18,19,0,7,7,1552903200,0.63,4.56,337,0,0,35.72,5.62,0,39.05,27.46,6.658,,clear-night,clear,0,0,0,0,1,0
,35.048719,-85.290431,975 E 3rd St,,Blackford,3/18/2019 18:00,2019-03-18,18,1552946400,,,,Property Damage,Unknown,Yes,No,No,No,,2,No,No,,,,37341,,,Unknown,Clear,193,18,19,0,7,7,1552942800,0.17,10.41,352,1,0,55.28,18.27,0,55.28,10.72,1.637,,fog,foggy,0,0,1,0,0,0
,35.0471688,-85.285657,Central Ave,,Blackford St,3/20/2019 17:00,2019-03-20,17,1553115600,,,,Possible Injury,Not Collision with Motor Vehicle in Transport,No,No,No,No,15,1,No,No,Shoulder and Lap Belt Used,37408,,,No,No,Daylight,Clear,193,18,19,0,7,7,1553112000,0.21,2.51,206,3,0,63.99,10.81,0,63.99,22.82,2.962,,clear-day,clear,0,0,0,0,1,0
