Accident,Center_Lat,Center_Long,Date,Time,Hour,DayFrame,WeekDay,WeekEnd,Precipitation_Intensity,Clear,Cloudy,Rain,Fog,Snow,RainBefore,Grid_Block,Weekday,Grid_Col,Grid_Row,Highway,Land_Use_Mode,Road_Count
0,-85.22837213,-85.22837213,2/3/18,20:00:00,20,1,0,1,0,0,1,0,0,0,0,496,5,22,12,0,7,11
0,-85.22837213,-85.22837213,12/2/18,13:00:00,13,4,0,1,0,0,1,0,0,0,0,496,6,22,12,0,7,11
0,-85.23475409,-85.23475409,9/16/18,8:00:00,8,2,0,1,0,0,1,0,0,0,0,406,6,22,14,0,7,10
0,-85.23475409,-85.23475409,3/4/18,1:00:00,1,1,0,1,0,1,0,0,0,0,0,406,6,22,14,0,7,10
0,-85.23475409,-85.23475409,1/27/18,3:00:00,3,1,0,1,0,0,1,0,0,0,0,406,5,22,14,0,7,10
0,-85.25573903,-85.25573903,7/28/18,11:00:00,11,3,0,1,0,0,1,0,0,0,0,700,5,16,7,0,7,16
0,-85.21476944,-85.21476944,11/4/18,8:00:00,8,2,0,1,0,0,0,0,1,0,0,587,6,23,10,1,7,9
0,-85.21476944,-85.21476944,9/15/18,6:00:00,6,2,0,1,0,0,1,0,0,0,0,587,5,23,10,1,7,9
0,-85.14252308,-85.14252308,4/1/18,12:00:00,12,3,0,1,0,1,0,0,0,0,0,212,6,37,19,0,7,15
0,-85.14252308,-85.14252308,10/21/18,13:00:00,13,4,0,1,0,1,0,0,0,0,0,212,6,37,19,0,7,15
0,-85.13531506,-85.13531506,1/27/18,11:00:00,11,3,0,1,0,0,1,0,0,0,0,213,5,38,19,0,7,14
0,-85.27656651,-85.27656651,12/1/18,5:00:00,5,2,0,1,0,0,1,0,0,0,0,620,5,14,9,0,7,17
0,-85.07531039,-85.07531039,7/1/18,5:00:00,5,2,0,1,0,0,1,0,0,0,0,725,6,41,7,0,7,10
0,-85.14416334,-85.14416334,12/2/18,5:00:00,5,2,0,1,0.007,0,0,1,0,0,1,374,6,35,15,0,7,4
0,-85.07369439,-85.07369439,3/29/18,17:00:00,17,4,1,0,0.014,0,0,1,0,0,0,562,3,43,11,0,7,2
0,-85.07369439,-85.07369439,9/5/18,10:00:00,10,3,1,0,0,0,1,0,0,0,0,562,2,43,11,0,7,2
0,-85.07369439,-85.07369439,6/24/18,6:00:00,6,2,0,1,0,0,1,0,0,0,0,562,6,43,11,0,7,2
0,-85.07369439,-85.07369439,3/10/18,13:00:00,13,4,0,1,0.014,0,0,1,0,0,1,562,5,43,11,0,7,2
0,-85.27403545,-85.27403545,3/3/18,0:00:00,0,1,0,1,,,,,,,,356,5,17,15,0,5,1
0,-85.17146664,-85.17146664,9/1/18,22:00:00,22,1,0,1,0,1,0,0,0,0,0,593,5,29,10,0,7,13
0,-85.16827116,-85.16827116,3/31/18,13:00:00,13,4,0,1,0,1,0,0,0,0,0,635,5,29,9,0,7,9
0,-85.16827116,-85.16827116,10/28/18,5:00:00,5,2,0,1,0,0,1,0,0,0,0,635,6,29,9,0,7,9
0,-85.16342733,-85.16342733,6/4/18,20:00:00,20,1,1,0,0,1,0,0,0,0,0,505,0,31,12,0,7,4
0,-85.16342733,-85.16342733,5/22/18,23:00:00,23,1,1,0,0.001,0,1,0,0,0,0,505,1,31,12,0,7,4
0,-85.16342733,-85.16342733,5/18/18,19:00:00,19,1,1,0,0.003,0,1,0,0,0,0,505,4,31,12,0,7,4
0,-85.16342733,-85.16342733,3/11/18,17:00:00,17,4,0,1,0,0,1,0,0,0,0,505,6,31,12,0,7,4
0,-85.25405882,-85.25405882,8/4/18,8:00:00,8,2,0,1,0,0,0,0,1,0,0,537,5,18,11,0,5,4
0,-85.25405882,-85.25405882,2/25/18,5:00:00,5,2,0,1,0.093,0,0,1,0,0,1,537,6,18,11,0,5,4
0,-85.18672688,-85.18672688,3/11/18,7:00:00,7,2,0,1,0,0,0,0,1,0,0,672,6,26,8,0,7,13
0,-85.13867073,-85.13867073,7/22/18,12:00:00,12,3,0,1,0,0,1,0,0,0,0,867,6,30,2,0,7,10
0,-85.2355906,-85.2355906,8/25/18,12:00:00,12,3,0,1,0,0,1,0,0,0,0,495,5,21,12,0,7,7
0,-85.2355906,-85.2355906,10/28/18,0:00:00,0,1,0,1,,,,,,,,495,6,21,12,0,7,7
0,-85.2355906,-85.2355906,8/12/18,3:00:00,3,1,0,1,0,1,0,0,0,0,0,495,6,21,12,0,7,7
0,-85.09689714,-85.09689714,4/29/18,7:00:00,7,2,0,1,0,1,0,0,0,0,0,336,6,42,16,0,7,7
0,-85.09689714,-85.09689714,5/20/18,2:00:00,2,1,0,1,0,1,0,0,0,0,0,336,6,42,16,0,7,7
0,-85.09689714,-85.09689714,3/3/18,22:00:00,22,1,0,1,0,1,0,0,0,0,0,336,5,42,16,0,7,7
0,-85.09689714,-85.09689714,10/27/18,12:00:00,12,3,0,1,0,0,1,0,0,0,0,336,5,42,16,0,7,7
0,-85.24986156,-85.24986156,7/22/18,8:00:00,8,2,0,1,0,0,1,0,0,0,0,134,6,23,21,0,7,23
0,-85.24986156,-85.24986156,9/1/18,7:00:00,7,2,0,1,0,0,1,0,0,0,0,134,5,23,21,0,7,23
0,-85.27084721,-85.27084721,11/3/18,9:00:00,9,2,0,1,0,0,1,0,0,0,0,401,5,17,14,0,5,3
0,-85.27084721,-85.27084721,12/9/18,6:00:00,6,2,0,1,0.084,0,0,1,0,0,1,401,6,17,14,0,5,3
0,-85.27403545,-85.27403545,4/8/18,22:00:00,22,1,0,1,0,0,1,0,0,0,0,356,6,17,15,0,5,1
0,-85.27403545,-85.27403545,1/6/18,5:00:00,5,2,0,1,0,1,0,0,0,0,0,356,5,17,15,0,5,1
0,-85.35347781,-85.35347781,6/4/18,10:00:00,10,3,1,0,0,1,0,0,0,0,0,345,0,6,15,0,0,2
0,-85.35347781,-85.35347781,8/15/18,12:00:00,12,3,1,0,0,0,0,0,1,0,0,345,2,6,15,0,0,2
0,-85.38642528,-85.38642528,5/25/18,0:00:00,0,1,1,0,,,,,,,,385,4,1,14,0,0,2
0,-85.38642528,-85.38642528,4/30/18,5:00:00,5,2,1,0,0,1,0,0,0,0,0,385,0,1,14,0,0,2
0,-85.38642528,-85.38642528,9/19/18,6:00:00,6,2,1,0,0,0,1,0,0,0,0,385,2,1,14,0,0,2
0,-85.38642528,-85.38642528,4/28/18,8:00:00,8,2,0,1,0,0,0,0,1,0,0,385,5,1,14,0,0,2
0,-85.38642528,-85.38642528,2/19/18,3:00:00,3,1,1,0,0,0,0,0,1,0,0,385,0,1,14,0,0,2
0,-85.08252179,-85.08252179,3/17/18,5:00:00,5,2,0,1,0.001,0,1,0,0,0,0,724,5,40,7,0,0,3
0,-85.28379002,-85.28379002,7/7/18,7:00:00,7,2,0,1,0,0,1,0,0,0,0,619,5,13,9,0,7,18
0,-85.31969426,-85.31969426,5/26/18,7:00:00,7,2,0,1,0,0,1,0,0,0,0,222,5,12,18,1,7,16
0,-85.13859114,-85.13859114,10/21/18,12:00:00,12,3,0,1,0,1,0,0,0,0,0,553,6,34,11,1,7,11
0,-85.25405882,-85.25405882,5/6/18,6:00:00,6,2,0,1,0,0,1,0,0,0,0,537,6,18,11,0,5,4
0,-85.25405882,-85.25405882,8/26/18,8:00:00,8,2,0,1,0,0,1,0,0,0,0,537,6,18,11,0,5,4
0,-85.128925,-85.128925,10/13/18,8:00:00,8,2,0,1,0,0,1,0,0,0,0,287,5,38,17,0,7,9
0,-85.1754875,-85.1754875,9/7/18,1:00:00,1,1,1,0,0,0,1,0,0,0,0,634,4,28,9,0,7,14
0,-85.1754875,-85.1754875,6/7/18,18:00:00,18,1,1,0,0,1,0,0,0,0,0,634,3,28,9,0,7,14
0,-85.1754875,-85.1754875,2/14/18,2:00:00,2,1,1,0,0,0,1,0,0,0,0,634,2,28,9,0,7,14
0,-85.1754875,-85.1754875,12/1/18,9:00:00,9,2,0,1,0.197,0,0,1,0,0,1,634,5,28,9,0,7,14
0,-85.26916188,-85.26916188,10/27/18,7:00:00,7,2,0,1,0.001,0,1,0,0,0,0,229,5,19,18,0,7,18
0,-85.25472834,-85.25472834,7/29/18,10:00:00,10,3,0,1,0,0,1,0,0,0,0,231,6,21,18,0,7,8
0,-85.25472834,-85.25472834,3/11/18,13:00:00,13,4,0,1,0,0,1,0,0,0,0,231,6,21,18,0,7,8
0,-85.25472834,-85.25472834,10/22/18,12:00:00,12,3,1,0,0,0,1,0,0,0,0,231,0,21,18,0,7,8
0,-85.25086827,-85.25086827,6/30/18,22:00:00,22,1,0,1,0,0,1,0,0,0,0,582,5,18,10,0,0,1
0,-85.25086827,-85.25086827,5/20/18,4:00:00,4,1,0,1,0,1,0,0,0,0,0,582,6,18,10,0,0,1
0,-85.33646537,-85.33646537,6/27/18,20:00:00,20,1,1,0,0.105,0,0,1,0,0,0,122,2,11,21,0,2,1
0,-85.33646537,-85.33646537,10/16/18,23:00:00,23,1,1,0,0.019,0,0,1,0,0,1,122,1,11,21,0,2,1
0,-85.33646537,-85.33646537,9/19/18,19:00:00,19,1,1,0,0,0,1,0,0,0,0,122,2,11,21,0,2,1
0,-85.33646537,-85.33646537,9/5/18,3:00:00,3,1,1,0,0,1,0,0,0,0,0,122,2,11,21,0,2,1
0,-85.33646537,-85.33646537,1/12/18,1:00:00,1,1,1,0,0,0,0,0,1,0,0,122,4,11,21,0,2,1
0,-85.33265979,-85.33265979,2/11/18,10:00:00,10,3,0,1,0,0,1,0,0,0,1,437,6,8,13,0,7,5
0,-85.08012942,-85.08012942,12/7/18,7:00:00,7,2,1,0,0,0,1,0,0,0,0,822,4,39,4,1,0,11
0,-85.08012942,-85.08012942,8/12/18,8:00:00,8,2,0,1,0,0,1,0,0,0,0,822,6,39,4,1,0,11
0,-85.08012942,-85.08012942,10/9/18,5:00:00,5,2,1,0,0,0,1,0,0,0,0,822,1,39,4,1,0,11
0,-85.08012942,-85.08012942,3/17/18,9:00:00,9,2,0,1,0.013,0,0,1,0,0,0,822,5,39,4,1,0,11
0,-85.08012942,-85.08012942,5/25/18,11:00:00,11,3,1,0,0,0,1,0,0,0,0,822,4,39,4,1,0,11
0,-85.29952425,-85.29952425,1/6/18,17:00:00,17,4,0,1,0,1,0,0,0,0,0,74,5,17,23,1,2,17
0,-85.33817456,-85.33817456,9/11/18,11:00:00,11,3,1,0,0,0,1,0,0,0,0,258,1,9,17,0,7,1
0,-85.33817456,-85.33817456,8/11/18,23:00:00,23,1,0,1,0,1,0,0,0,0,0,258,5,9,17,0,7,1
0,-85.33817456,-85.33817456,12/15/18,5:00:00,5,2,0,1,0.003,0,0,0,1,0,0,258,5,9,17,0,7,1
0,-85.33817456,-85.33817456,9/25/18,10:00:00,10,3,1,0,0.006,0,0,1,0,0,1,258,1,9,17,0,7,1
0,-85.1721851,-85.1721851,4/8/18,10:00:00,10,3,0,1,0,0,1,0,0,0,0,281,6,32,17,1,7,18
0,-85.1721851,-85.1721851,8/12/18,11:00:00,11,3,0,1,0,0,1,0,0,0,0,281,6,32,17,1,7,18
0,-85.1721851,-85.1721851,10/20/18,10:00:00,10,3,0,1,0.011,0,0,1,0,0,1,281,5,32,17,1,7,18
0,-85.1721851,-85.1721851,2/18/18,20:00:00,20,1,0,1,0,0,1,0,0,0,0,281,6,32,17,1,7,18
0,-85.1721851,-85.1721851,4/1/18,10:00:00,10,3,0,1,0,1,0,0,0,0,0,281,6,32,17,1,7,18
0,-85.1721851,-85.1721851,6/2/18,0:00:00,0,1,0,1,,,,,,,,281,5,32,17,1,7,18
0,-85.13867073,-85.13867073,9/15/18,5:00:00,5,2,0,1,0,1,0,0,0,0,0,867,5,30,2,0,7,10
0,-85.33351379,-85.33351379,12/17/18,10:00:00,10,3,1,0,0,0,0,0,1,0,0,526,0,7,11,0,7,10
0,-85.33351379,-85.33351379,12/2/18,5:00:00,5,2,0,1,0.002,0,1,0,0,0,0,526,6,7,11,0,7,10
0,-85.33351379,-85.33351379,5/12/18,8:00:00,8,2,0,1,0,1,0,0,0,0,0,526,5,7,11,0,7,10
0,-85.33351379,-85.33351379,6/23/18,9:00:00,9,2,0,1,0,0,1,0,0,0,0,526,5,7,11,0,7,10
0,-85.33351379,-85.33351379,10/27/18,16:00:00,16,4,0,1,0,0,1,0,0,0,0,526,5,7,11,0,7,10
0,-85.23239931,-85.23239931,2/4/18,16:00:00,16,4,0,1,0,0,1,0,0,0,0,540,6,21,11,0,7,4
0,-85.23239931,-85.23239931,3/6/18,10:00:00,10,3,1,0,0,0,1,0,0,0,1,540,1,21,11,0,7,4
0,-85.23239931,-85.23239931,3/4/18,23:00:00,23,1,0,1,0,0,0,0,1,0,0,540,6,21,11,0,7,4
0,-85.23239931,-85.23239931,2/3/18,11:00:00,11,3,0,1,0,1,0,0,0,0,0,540,5,21,11,0,7,4
0,-85.23239931,-85.23239931,11/18/18,0:00:00,0,1,0,1,,,,,,,,540,6,21,11,0,7,4
0,-85.35433548,-85.35433548,12/30/18,13:00:00,13,4,0,1,0,0,1,0,0,0,0,434,6,5,13,0,7,12
0,-85.35433548,-85.35433548,12/9/18,5:00:00,5,2,0,1,0.038,0,0,1,0,0,1,434,6,5,13,0,7,12
0,-85.35433548,-85.35433548,2/16/18,15:00:00,15,4,1,0,0.004,0,0,1,0,0,1,434,4,5,13,0,7,12
0,-85.35433548,-85.35433548,1/6/18,12:00:00,12,3,0,1,0,1,0,0,0,0,0,434,5,5,13,0,7,12
0,-85.35433548,-85.35433548,4/15/18,8:00:00,8,2,0,1,0.025,0,0,1,0,0,1,434,6,5,13,0,7,12
0,-85.24029671,-85.24029671,6/24/18,11:00:00,11,3,0,1,0,0,1,0,0,0,0,233,6,23,18,0,7,26
0,-85.34073983,-85.34073983,8/18/18,17:00:00,17,4,0,1,0,0,0,0,1,0,0,525,5,6,11,0,7,11
0,-85.34073983,-85.34073983,3/3/18,17:00:00,17,4,0,1,0,1,0,0,0,0,0,525,5,6,11,0,7,11
0,-85.11450879,-85.11450879,10/6/18,20:00:00,20,1,0,1,0,0,1,0,0,0,0,289,5,40,17,0,7,9
0,-85.11450879,-85.11450879,3/25/18,6:00:00,6,2,0,1,0,0,1,0,0,0,1,289,6,40,17,0,7,9
0,-85.24986156,-85.24986156,1/21/18,8:00:00,8,2,0,1,0,0,1,0,0,0,0,134,6,23,21,0,7,23
0,-85.0576865,-85.0576865,10/13/18,9:00:00,9,2,0,1,0,0,1,0,0,0,0,762,5,43,6,0,0,3
0,-85.0576865,-85.0576865,4/22/18,15:00:00,15,4,0,1,0.105,0,0,1,0,0,1,762,6,43,6,0,0,3
