ORIG_FID,Center_Lat,Center_Long
131,35.006,-85.05397727
132,35.0124,-85.39602273
133,35.0124,-85.38806818
134,35.0124,-85.38011364
135,35.0124,-85.37215909
136,35.0124,-85.36420455
137,35.0124,-85.35625
138,35.0124,-85.34829545
139,35.0124,-85.34034091
140,35.0124,-85.33238636
141,35.0124,-85.32443182
142,35.0124,-85.31647727
143,35.0124,-85.30852273
144,35.0124,-85.30056818
145,35.0124,-85.29261364
146,35.0124,-85.28465909
147,35.0124,-85.27670455
148,35.0124,-85.26875
149,35.0124,-85.26079545
150,35.0124,-85.25284091
151,35.0124,-85.24488636
152,35.0124,-85.23693182
153,35.0124,-85.22897727
154,35.0124,-85.22102273
155,35.0124,-85.21306818
156,35.0124,-85.20511364
157,35.0124,-85.19715909
158,35.0124,-85.18920455
159,35.0124,-85.18125
160,35.0124,-85.17329545
161,35.0124,-85.16534091
162,35.0124,-85.15738636
163,35.0124,-85.14943182
164,35.0124,-85.14147727
165,35.0124,-85.13352273
166,35.0124,-85.12556818
167,35.0124,-85.11761364
168,35.0124,-85.10965909
169,35.0124,-85.10170455
170,35.0124,-85.09375
171,35.0124,-85.08579545
172,35.0124,-85.07784091
173,35.0124,-85.06988636
174,35.0124,-85.06193182
175,35.0124,-85.05397727
176,35.0188,-85.39602273
177,35.0188,-85.38806818
178,35.0188,-85.38011364
179,35.0188,-85.37215909
180,35.0188,-85.36420455
181,35.0188,-85.35625
182,35.0188,-85.34829545
183,35.0188,-85.34034091
184,35.0188,-85.33238636
185,35.0188,-85.32443182
186,35.0188,-85.31647727
187,35.0188,-85.30852273
188,35.0188,-85.30056818
189,35.0188,-85.29261364
190,35.0188,-85.28465909
191,35.0188,-85.27670455
192,35.0188,-85.26875
193,35.0188,-85.26079545
194,35.0188,-85.25284091
195,35.0188,-85.24488636
196,35.0188,-85.23693182
197,35.0188,-85.22897727
198,35.0188,-85.22102273
199,35.0188,-85.21306818
200,35.0188,-85.20511364
201,35.0188,-85.19715909
202,35.0188,-85.18920455
203,35.0188,-85.18125
204,35.0188,-85.17329545
205,35.0188,-85.16534091
206,35.0188,-85.15738636
207,35.0188,-85.14943182
208,35.0188,-85.14147727
209,35.0188,-85.13352273
210,35.0188,-85.12556818
211,35.0188,-85.11761364
212,35.0188,-85.10965909
213,35.0188,-85.10170455
214,35.0188,-85.09375
215,35.0188,-85.08579545
216,35.0188,-85.07784091
217,35.0188,-85.06988636
218,35.0188,-85.06193182
219,35.0188,-85.05397727
220,35.0252,-85.39602273
221,35.0252,-85.38806818
222,35.0252,-85.38011364
223,35.0252,-85.37215909
224,35.0252,-85.36420455
225,35.0252,-85.35625
226,35.0252,-85.34829545
227,35.0252,-85.34034091
228,35.0252,-85.33238636
229,35.0252,-85.32443182
230,35.0252,-85.31647727
