,Unnamed: 0,Route,Longitude,Latitude,Sum_Accidents,Date,Time,Hour,Temperature,Temp_Max,Temp_Min,Dewpoint,Humidity,Month,Weekday,Visibility,Cloud_Coverage,Precipitation_Type,Precipitation_Intensity,Precip_Intensity_Max,Precip_Intensity_Time,EventBefore,Event,ConditionBefore,Conditions,Clear,Cloudy,Rain,Fog,Snow,RainBefore,Terrain,Land_Use,Access_Control,Operation,Thru_Lanes,Num_Lanes,Ad_Sys,Gov_Cont,Func_Class,Pavement_Width,Pavement_Type,Prediction,Probability,Log_Mile,Predictions
4072,1,33I0075001,-85.206737,34.996081,255,2/25/19,0:00,0,53.96,60.91,46.11,50.01,0.86,2,0,6.77,0.35,rain,0.0132,0.133,1550995200,clear-night,rain,Clear,Rain,0,0,1,0,0,0,1,2,2,2,6,8,2,1,11,36,15,,0.7204466,0.771,1
2228,3954,33I0024002,-85.323459,35.027231,70,2/25/19,16:00,16,55.77,55.77,35.75,28.03,0.34,2,0,10,0.3,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,5,2,2,4,7,2,1,11,24,15,,0.50859386,7.148,1
2741,4006,33I0024002,-85.366708,35.027029,45,2/25/19,16:00,16,55.88,55.88,35.18,27.85,0.34,2,0,10,0.3,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,0,2,2,4,5,2,1,11,24,15,,0.532746,4.085,1
2697,4179,33I0024002,-85.281292,35.016831,112,2/25/19,17:00,17,55.35,55.63,33.96,29.1,0.36,2,0,10,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,2,2,2,6,6,2,1,11,36,15,,0.5006768,10.02,1
2919,2223,3305747001,-85.132664,35.080045,107,2/25/19,9:00,9,39.28,54.77,34.27,19.23,0.44,2,0,6.76,0.27,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,4,4,18,4,17,22,15,,0.59419143,1.222,1
1345,45,33I0075001,-85.163861,35.035266,65,2/25/19,0:00,0,54.04,60.56,45.61,50.37,0.87,2,0,6.85,0.35,rain,0.0126,0.1297,1550995200,clear-night,rain,Clear,Rain,0,0,1,0,0,0,2,4,2,2,6,8,2,1,11,36,18,,0.7737342,4.977,1
5740,3761,33I0024002,-85.366708,35.027029,45,2/25/19,15:00,15,55.66,55.88,35.18,23.18,0.28,2,0,10,0.3,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Mostly Cloudy,0,1,0,0,0,0,2,0,2,2,4,5,2,1,11,24,15,,0.5574256,4.085,1
2772,63,33I0075001,-85.205913,34.993245,52,2/25/19,0:00,0,53.95,60.89,46.11,50.01,0.86,2,0,6.81,0.35,rain,0.0132,0.1328,1550995200,clear-night,rain,Clear,Rain,0,0,1,0,0,0,1,2,2,2,6,7,2,1,11,36,15,,0.6185227,0.576,1
4776,3665,33SR029001,-85.153375,35.28178,26,2/25/19,14:00,14,55.06,55.63,33,17.61,0.23,2,0,8.12,0.26,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Partly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,0,2,2,4,5,13,1,12,24,15,,0.6123178,19.512,1
838,4416,33I0024002,-85.368766,35.026324,144,2/25/19,18:00,18,52.68,55.85,35.18,30.4,0.42,2,0,10,0.3,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,0,2,2,4,5,2,1,11,24,15,,0.5075447,3.959,1
4661,3008,33I0024002,-85.39315,35.008289,50,2/25/19,12:00,12,49.14,55.78,34.66,11.98,0.22,2,0,5.42,0.3,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,0,2,2,4,4,2,1,11,24,15,,0.512058,2.007,1
2351,4275,33I0024002,-85.350032,35.028387,39,2/25/19,17:00,17,55.46,55.85,35.52,28.88,0.36,2,0,10,0.3,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,0,2,2,4,4,2,1,11,24,15,,0.5424215,5.06,1
