,Unnamed: 0,Route,Longitude,Latitude,Sum_Accidents,Date,Time,Hour,Temperature,Temp_Max,Temp_Min,Dewpoint,Humidity,Month,Weekday,Visibility,Cloud_Coverage,Precipitation_Type,Precipitation_Intensity,Precip_Intensity_Max,Precip_Intensity_Time,EventBefore,Event,ConditionBefore,Conditions,Clear,Cloudy,Rain,Fog,Snow,RainBefore,Terrain,Land_Use,Access_Control,Operation,Thru_Lanes,Num_Lanes,Ad_Sys,Gov_Cont,Func_Class,Pavement_Width,Pavement_Type,Prediction,Probability,Log_Mile,Predictions
3123,1345,3305747001,-85.142778,35.068587,38,2/25/19,5:00,5,37.72,55.09,34.39,23.4,0.56,2,0,5.34,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-night,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,0,1,2,2,18,4,17,24,18,,0.044728123,0.275,0.0
5232,968,330A639001,-85.30835,35.031887,26,2/25/19,3:00,3,40.11,55.72,35.91,22.44,0.49,2,0,2.06,0.3,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-night,Mostly Cloudy,Clear,1,0,0,0,0,0,2,4,0,2,2,2,12,4,19,28,15,,0.00700364,0.28800000000000003,0.0
2789,3648,33SR002001,-85.328285,35.013727,27,2/25/19,14:00,14,54.39,55.64,35.75,15.94,0.22,2,0,2.37,0.3,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,3,0,0,2,3,3,21,1,16,24,15,,0.09270294,5.744,0.0
4103,5027,330E636001,-85.158111,35.043326,36,2/25/19,20:00,20,46.72,55.23,34.31,30.76,0.54,2,0,10.0,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-night,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,2,0,2,2,2,12,4,19,30,15,,0.11231901,0.28300000000000003,0.0
1559,4693,3305395001,-85.26321,35.081783,69,2/25/19,19:00,19,49.7,55.63,34.12,30.92,0.48,2,0,10.0,0.29,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-night,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,5,0,2,4,4,16,4,14,24,15,,0.3220847,6.3260000000000005,0.0
1021,4866,33SR153001,-85.239439,35.12384,28,2/25/19,19:00,19,49.33,55.56,33.79,30.73,0.49,2,0,10.0,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-night,Partly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,2,0,2,6,6,13,1,14,36,15,,0.37430796,8.305,0.0
4436,24,33I0075001,-85.207205,35.005828,93,2/25/19,0:00,0,53.78,60.75,45.83,50.02,0.87,2,0,6.61,0.35,rain,0.0133,0.1338,1550995200,clear-night,rain,Clear,Rain,0,0,1,0,0,0,1,2,2,2,8,8,2,1,11,48,15,,0.4344477,1.5959999999999999,0.0
581,1328,33SR008001,-85.209287,34.989471,42,2/25/19,5:00,5,38.5,55.56,34.61,24.74,0.57,2,0,2.73,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-night,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,4,4,13,1,14,24,15,,0.008635352,1.2819999999999998,0.0
3701,4097,3305770001,-85.231362,35.007176,31,2/25/19,16:00,16,55.43,55.43,34.22,28.49,0.35,2,0,10.0,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,7,0,1,2,3,18,4,16,36,15,,0.35863802,0.7509999999999999,0.0
3636,2554,3304987001,-85.158512,35.023734999999995,42,2/25/19,10:00,10,42.52,55.19,34.44,19.02,0.38,2,0,3.68,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,2,7,0,2,4,4,18,4,14,24,15,,0.033084877,0.6509999999999999,0.0
