,ORIG_FID,X,Y,Grid_Col,Grid_Row,Highway,Center_Lat,Center_Long,Ghost_Lat,Ghost_Long
7848,1571,-85.2082501,35.12643227,31,7,0,,,35.12794076,-85.20897551
7849,1571,-85.20312718,35.12460722,31,7,0,,,35.12520318,-85.20129114
7850,1572,-85.19800451,35.12278196,32,7,0,35.1215902,-85.20167658,35.12337784,-85.19616847
7851,1572,-85.20022609,35.11857319,32,7,0,,,35.11706469,-85.19950084
7852,1572,-85.20534856,35.12039836,32,7,0,,,35.11980243,-85.20718455
7853,1572,-85.20312718,35.12460722,32,7,0,,,35.12611573,-85.20385249
7854,1572,-85.19800451,35.12278196,32,7,0,,,35.12337784,-85.19616847
7855,1573,-85.19288206,35.12095648,33,7,0,35.11976488,-85.19655412,35.12155229,-85.19104604
7856,1573,-85.19510385,35.11674782,33,7,0,,,35.11523929,-85.19437872
7857,1573,-85.20022609,35.11857319,33,7,0,,,35.11797735,-85.20206207
7858,1573,-85.19800451,35.12278196,33,7,0,,,35.12429049,-85.1987297
7859,1573,-85.19288206,35.12095648,33,7,0,,,35.12155229,-85.19104604
7860,1574,-85.18775986,35.1191308,34,7,0,35.11793935,-85.1914319,35.11972652,-85.18592384
7861,1574,-85.18998185,35.11492223,34,7,0,,,35.11341368,-85.18925683
7862,1574,-85.19510385,35.11674782,34,7,0,,,35.11615205,-85.19693983
7863,1574,-85.19288206,35.12095648,34,7,0,,,35.12246505,-85.19360715
7864,1574,-85.18775986,35.1191308,34,7,0,,,35.11972652,-85.18592384
7865,1575,-85.18263789,35.11730491,35,7,0,35.11611361,-85.18630992,35.11790055,-85.18080188
7866,1575,-85.18486009,35.11309644,35,7,0,,,35.11158785,-85.18413518
7867,1575,-85.18998185,35.11492223,35,7,0,,,35.11432654,-85.19181782
7868,1575,-85.18775986,35.1191308,35,7,0,,,35.12063939,-85.18848483
7869,1575,-85.18263789,35.11730491,35,7,0,,,35.11790055,-85.18080188
7870,1576,-85.17751616,35.1154788,36,7,0,35.11428766,-85.18118817,35.11607437,-85.17568016
7871,1576,-85.17973857,35.11127043,36,7,0,,,35.10976182,-85.17901376
7872,1576,-85.18486009,35.11309644,36,7,0,,,35.11250083,-85.18669605
7873,1576,-85.18263789,35.11730491,36,7,0,,,35.11881353,-85.18336275
7874,1576,-85.17751616,35.1154788,36,7,0,,,35.11607437,-85.17568016
7875,1577,-85.17239467,35.11365249,37,7,0,35.1124615,-85.17606666,35.11424798,-85.17055867
7876,1577,-85.17461728,35.10944422,37,7,0,,,35.10793558,-85.17389259
7877,1577,-85.17973857,35.11127043,37,7,0,,,35.1106749,-85.18157452
7878,1577,-85.17751616,35.1154788,37,7,0,,,35.11698745,-85.17824091
7879,1577,-85.17239467,35.11365249,37,7,0,,,35.11424798,-85.17055867
7880,1578,-85.16727341,35.11182596,38,7,0,35.11063513,-85.17094539,35.11242138,-85.16543742
7881,1578,-85.16949623,35.1076178,38,7,0,,,35.10610913,-85.16877164
