ORIG_FID,Center_Lat,Center_Long
199,35.0325792812421,-85.2362707708712
200,35.0299560962413,-85.2290565508654
201,35.0273324984345,-85.2218428077741
202,35.024708482662,-85.2146295382887
203,35.0220840512391,-85.2074167458479
204,35.0194592062383,-85.200204430842
205,35.0168339453155,-85.1929925970697
206,35.0142082662368,-85.1857812358304
207,35.0115821707751,-85.1785703489414
208,35.0089556607744,-85.1713599389357
209,35.0063287338908,-85.1641500096106
210,35.003701390773,-85.1569405589241
211,35.0010736326551,-85.149731583238
212,34.9984454607717,-85.1425230839127
213,34.9958168762315,-85.1353150607895
214,34.9931878753098,-85.1281075170186
215,34.9905584588871,-85.1209004495753
216,34.9879286276512,-85.1136938582099
217,35.0830469531377,-85.3558030952851
218,35.0804306712519,-85.3485803759634
219,35.0778139712512,-85.3413581309575
220,35.0751968507884,-85.3341363640669
221,35.072579314365,-85.3269150716294
222,35.0699613581336,-85.3196942552564
223,35.0673429857863,-85.3124739190495
224,35.0647241926701,-85.3052540533605
225,35.0621049843624,-85.2980346666054
226,35.059485356246,-85.2908157559164
227,35.0568653076678,-85.2835973183435
228,35.0542448457829,-85.2763793590206
229,35.0516239662438,-85.2691618758989
230,35.0490026688975,-85.2619448696915
231,35.0463809526647,-85.2547283383209
232,35.0437588212415,-85.2475122858813
233,35.0411362738956,-85.2402967096738
234,35.0385133076624,-85.233081608304
235,35.035889925778,-85.2258669839802
236,35.0332661262385,-85.2186528358579
237,35.0306419112378,-85.2114391658521
238,35.0280172803149,-85.2042259720795
239,35.025392233892,-85.1970132546385
240,35.0227667712355,-85.1898010158346
241,35.0201408907738,-85.1825892539456
242,35.0175145957731,-85.1753779639399
243,35.0148878857724,-85.1681671539341
244,35.0122607576546,-85.1609568232477
245,35.0096332162318,-85.1537469708054
246,35.0070052588876,-85.1465375945972
247,35.0043768857696,-85.139328693911
248,35.0017481003085,-85.1321202720228
249,34.9991189012287,-85.1249123257821
250,34.99648928265,-85.1177048582139
251,34.9938592538846,-85.1104978695678
252,34.9912288057662,-85.1032913588823
253,34.9885979457655,-85.0960853238766
254,34.9859666738827,-85.0888797645502
255,35.0916003267136,-85.3598439378586
256,35.0889842657884,-85.3526203390826
257,35.0863677857877,-85.3453972140769
258,35.0837508862491,-85.3381745609559
259,35.0811335681332,-85.3309523852663
260,35.0785158307857,-85.3237306890595
261,35.075897675785,-85.3165094690537
262,35.0732791048235,-85.3092887235003
263,35.0706601107836,-85.3020684540421
264,35.068040703129,-85.2948486602376
265,35.0654208757822,-85.2876293440306
266,35.0628006307816,-85.2804105040248
267,35.0601799712425,-85.2731921409031
268,35.0575588907802,-85.2659742540132
269,35.0549373912409,-85.2587568408914
270,35.0523154757788,-85.2515399090017
271,35.0496931457781,-85.2443234539959
272,35.0470703962387,-85.2371074708739
273,35.044447231238,-85.229891965868
274,35.041823650776,-85.2226769389786
275,35.0391996507753,-85.2154623889728
276,35.0365752357746,-85.2082483139671
277,35.033950406235,-85.2010347158446
278,35.0313251557732,-85.1938215989555
279,35.0286994907726,-85.1866089589497
280,35.0260734107718,-85.179396793944
281,35.0234469157712,-85.1721851039382
282,35.0208200057705,-85.1649738939325
283,35.0181926812304,-85.1577631608096
284,35.0155649403085,-85.1505529070382
285,35.0129367812289,-85.1433431257979
286,35.0103082057677,-85.1361338239094
287,35.007679220767,-85.1289250039037
288,35.0050498207663,-85.121716658898
289,35.0024200038832,-85.1145087895721
290,34.9997897707649,-85.1073013988865
291,34.9971591226464,-85.100094488201
292,34.9945280638814,-85.0928880545545
293,34.9918965876448,-85.0856820931898
294,34.9892646984201,-85.0784766176608
295,35.1106127543676,-85.3927882866863
296,35.1079985881377,-85.3855619003106
297,35.1053840062516,-85.3783359909896
298,35.1027690039033,-85.371110554783
299,35.1001535785974,-85.3638855921785
300,35.0975377353249,-85.3566611122018
301,35.0949214767107,-85.349437102851
302,35.0923047957858,-85.3422135740753
303,35.0896876957851,-85.3349905190695
304,35.0870701812464,-85.3277679359485
305,35.0844522462456,-85.3205458309425
306,35.0818338912449,-85.3133242059367
307,35.0792151176668,-85.306103053363
308,35.0765959257817,-85.2988823790406
309,35.0739763193583,-85.2916621816022
310,35.0713562926645,-85.284442458346
311,35.0687358512412,-85.2772232159074
312,35.0661149888948,-85.2700044497002
313,35.0634937081236,-85.2627861552131
314,35.0608720107775,-85.2555683390059
315,35.0582498962382,-85.2483510008839
316,35.0556273662374,-85.2411341408781
317,35.0530044153142,-85.2339177571048
318,35.0503810507748,-85.2267018489828
319,35.0477572712352,-85.2194864158605
320,35.0451330707734,-85.2122714639712
321,35.0425084557727,-85.2050569889655
322,35.0398834262329,-85.197842985843
323,35.0372579757713,-85.1906294639539
324,35.0346321112314,-85.1834164208313
325,35.0320058307699,-85.1762038539424
326,35.0293791357692,-85.1689917639366
327,35.0267520257685,-85.1617801539308
328,35.024124498885,-85.1545690196058
329,35.0214965562276,-85.147358360802
330,35.0188681971885,-85.1401481813506
331,35.0162394257657,-85.1329384789079
332,35.0136102393429,-85.1257292564647
333,35.0109806357643,-85.1185205088963
334,35.0083506157636,-85.1113122388905
335,35.0057201807629,-85.1041044488848
336,35.0030893357622,-85.0968971388791
337,35.0004580757615,-85.0896903038734
338,34.9978264003008,-85.0824839469856
339,34.9951943112201,-85.0752780707438
340,35.116551056251,-85.3896070209997
341,35.1139366912502,-85.3823802259938
342,35.1113219107872,-85.3751539091027
343,35.1087067081339,-85.3679280652976
344,35.1060910857859,-85.3607026990912
345,35.1034750467094,-85.3534778078553
346,35.1008585857845,-85.3462533940795
347,35.0982417062458,-85.3390294559585
348,35.0956244062451,-85.3318059959527
349,35.0930066907824,-85.3245830090622
350,35.0903885576664,-85.3173604983727
351,35.0877700043583,-85.3101384666186
352,35.0851510307803,-85.3029169090448
353,35.082531641703,-85.2956958278077
354,35.0799118322017,-85.2884752264658
355,35.0772916093557,-85.2812551015946
356,35.0746709662391,-85.2740354509058
357,35.0720499031224,-85.2668162752171
358,35.0694284238923,-85.2595975796926
359,35.0668065276594,-85.2523793583218
