Accident,Latitude,Longitude,Hour,DayFrame,WeekDay,WeekEnd,Grid_Block,Grid_Col,Grid_Row,Highway,Land_Use_Mode,Road_Count,Probability,Prediction
,35.0985292,-85.18353165,4,1,,,710,26,7,0,7,12,,
,35.0985292,-85.18353165,8,2,,,710,26,7,0,7,12,,
,35.0985292,-85.18353165,12,3,,,710,26,7,0,7,12,,
,35.0985292,-85.18353165,16,4,,,710,26,7,0,7,12,,
,35.0985292,-85.18353165,20,1,,,710,26,7,0,7,12,,
,35.0985292,-85.18353165,23,1,,,710,26,7,0,7,12,,
,35.09590278,-85.17631355,0,1,,,711,27,7,0,7,8,,
,35.09590278,-85.17631355,4,1,,,711,27,7,0,7,8,,
,35.09590278,-85.17631355,8,2,,,711,27,7,0,7,8,,
,35.09590278,-85.17631355,12,3,,,711,27,7,0,7,8,,
,35.09590278,-85.17631355,16,4,,,711,27,7,0,7,8,,
,35.09590278,-85.17631355,20,1,,,711,27,7,0,7,8,,
,35.09590278,-85.17631355,23,1,,,711,27,7,0,7,8,,
,35.09327594,-85.16909592,0,1,,,712,28,7,0,7,8,,
,35.09327594,-85.16909592,4,1,,,712,28,7,0,7,8,,
,35.09327594,-85.16909592,8,2,,,712,28,7,0,7,8,,
,35.09327594,-85.16909592,12,3,,,712,28,7,0,7,8,,
,35.09327594,-85.16909592,16,4,,,712,28,7,0,7,8,,
,35.09327594,-85.16909592,20,1,,,712,28,7,0,7,8,,
,35.09327594,-85.16909592,23,1,,,712,28,7,0,7,8,,
,35.09064869,-85.16187877,0,1,,,713,29,7,0,0,1,,
,35.09064869,-85.16187877,4,1,,,713,29,7,0,0,1,,
,35.09064869,-85.16187877,8,2,,,713,29,7,0,0,1,,
,35.09064869,-85.16187877,12,3,,,713,29,7,0,0,1,,
,35.09064869,-85.16187877,16,4,,,713,29,7,0,0,1,,
,35.09064869,-85.16187877,20,1,,,713,29,7,0,0,1,,
,35.09064869,-85.16187877,23,1,,,713,29,7,0,0,1,,
,35.07750618,-85.12580022,0,1,,,718,34,7,0,2,1,,
,35.07750618,-85.12580022,4,1,,,718,34,7,0,2,1,,
,35.07750618,-85.12580022,8,2,,,718,34,7,0,2,1,,
,35.07750618,-85.12580022,12,3,,,718,34,7,0,2,1,,
,35.07750618,-85.12580022,16,4,,,718,34,7,0,2,1,,
,35.07750618,-85.12580022,20,1,,,718,34,7,0,2,1,,
,35.07750618,-85.12580022,23,1,,,718,34,7,0,2,1,,
,35.07487643,-85.11858595,0,1,,,719,35,7,1,0,2,,
,35.07487643,-85.11858595,4,1,,,719,35,7,1,0,2,,
,35.07487643,-85.11858595,8,2,,,719,35,7,1,0,2,,
,35.07487643,-85.11858595,12,3,,,719,35,7,1,0,2,,
,35.07487643,-85.11858595,16,4,,,719,35,7,1,0,2,,
,35.07487643,-85.11858595,20,1,,,719,35,7,1,0,2,,
