,CutGF_50-50,CutGF_75-25,CutGF_Test,CutRan_50-50,CutRan_75-25,CutRan_Test,FullGF_50-50,FullGF_75-25,FullGF_Test,FullRan_50-50,FullRan_75-25,FullRan_Test,Spatial_50-50,Spatial_75-25,Spatial_Test,Temporal_50-50,Temporal_75-25,Temporal_Test,Grid_Block
30,0.03944348011698042,0.00229934709412711,0.1381539957863944,0.14580105457987105,0.014941577400479997,0.00022496070180620464,0.3744648993015289,0.08192850862230573,0.012700357607432775,0.1571724201951708,0.1474843621253967,0.01178192240851266,0.8035894376891001,0.01647534540721348,0.001977473497390747,0.012934906142098563,0.00691889865057809,0.008273060832704817,32
31,0.03944219435964312,0.0023138054779597694,0.15166975344930375,0.14571742926325118,0.015322408505848477,0.0001926379544394357,0.37364789843559265,0.08364784717559814,0.012955256870814733,0.15447020530700684,0.14755317994526457,0.012022857155118671,0.8196177397455489,0.01796284317970276,0.0019774820123400006,0.013778903654643468,0.006919077464512416,0.008245059422084264,33
32,0.03944248812539237,0.002089819737843105,0.04288095661572048,0.14441729443413873,0.014186092785426548,0.0001642193113054548,0.3781201243400574,0.08569138390677314,0.012967428990772793,0.1517081388405391,0.14754589114870342,0.011291580540793282,0.7730284418378558,0.016288340091705322,0.0019775118146623883,0.013760136706488473,0.006918813501085554,0.00816699436732701,34
33,0.03944139395441328,0.002297324793679374,0.17484351566859654,0.14521342090197972,0.01671206099646432,0.0001253272805895124,0.3721403479576111,0.0869615546294621,0.016014082091195245,0.15028721519878932,0.14794604693140304,0.0119681145463671,0.836125237601144,0.020938017538615634,0.001977447952542986,0.016588836908340454,0.006919388260160174,0.008200896637780326,35
34,0.03944138969693865,0.0023042346749986924,0.2267328883920397,0.1450169554778508,0.01787332126072475,9.379216602870397e-05,0.37002699290003094,0.08740967086383275,0.05782325778688704,0.1494018009730748,0.14799185735838755,0.012218445539474487,0.8491859180586678,0.023226691143853326,0.001977447952542986,0.018626272678375244,0.006919626678739276,0.00818421585219247,36
35,0.03944136840956552,0.0020899389471326552,0.14002086860792978,0.14439890214375087,0.015255029712404522,7.496135575430734e-05,0.37340299998010906,0.0877120920589992,0.057660779782703946,0.1486021067414965,0.14798347864832195,0.01165071555546352,0.8205254248210362,0.02117712582860674,0.0019774692399161203,0.017429471015930176,0.0069193414279392785,0.00812519873891558,37
36,0.039441517421177456,0.002146754946027483,0.20929163268634252,0.14445348722594126,0.01594136016709464,5.533014025006975e-05,0.3723009484154837,0.08759444526263646,0.01293332236153739,0.14822155237197876,0.14799219369888308,0.012107495750699724,0.8417571527617318,0.024456594671521868,0.0019774564674922396,0.016484443630490984,0.006919596876416888,0.008135995694569178,38
37,0.03944300327982221,0.0019121170043945312,0.03725107652800423,0.14415742669786727,0.011960693768092565,3.9032527378627234e-05,0.4987017171723502,0.2115496482167925,0.13707774026053293,0.14772174613816397,0.14780572482517787,0.013136220829827445,0.7800111940928868,0.031010116849626818,0.001977520329611642,0.013650144849504744,0.006919298853193011,0.008276858500071935,39
38,0.03942128590175084,0.0025295530046735492,0.06425384964261736,0.14512438007763456,0.013038162674222673,0.006188635315213885,0.24134558013507296,0.05291171159063067,0.06461640766688756,0.20205781289509364,0.14643376639911107,0.006974058491843087,0.41982267584119526,0.010551818779536657,0.0019778055804116385,0.02049385224069868,0.006918898650578089,0.00837595122201102,40
39,0.03943135482924325,0.002502492495945522,0.05319713694708688,0.14537844487598967,0.014005520514079502,0.00528795804296221,0.2364911947931562,0.05291384032794407,0.06442012531416756,0.2084616763251168,0.14653609480176655,0.009519832474844796,0.5563257847513471,0.011007836886814663,0.0019776225090026855,0.0333820070539202,0.006919094494410923,0.008321110691343035,41
40,0.039438647883278985,0.002471766301563808,0.04869845935276576,0.14613015736852375,0.015477227313177926,0.0035759295736040387,0.2343919915812356,0.05293963210923331,0.06420488016945976,0.211871828351702,0.14653272288186212,0.011020541191101074,0.6489834487438202,0.011549127953393119,0.0019775543894086567,0.05741212623459953,0.006919243506022862,0.008276185819080897,42
41,0.039426454475947795,0.002355860812323434,0.05325085350445339,0.1446912969861712,0.013039269617625644,0.004941357033593314,0.2399986854621342,0.053111787353243144,0.06463076387132918,0.19951396329062326,0.1468662875039237,0.009658851793834142,0.5280526110104152,0.011130401066371372,0.0019776735986982074,0.05488745655332293,0.006918971027646746,0.008228787354060582,43
42,0.03942348275865828,0.0020001998969486783,0.03351929783821106,0.14599662593432836,0.013007270438330516,0.0017744132450648717,0.21513044408389498,0.05438722457204547,0.016100598233086724,0.16133104477609908,0.15037778445652553,0.00773533752986363,0.3354443311691284,0.010758080652781896,0.0019774138927459717,0.010118624993732997,0.0069195543016706195,0.00783828752381461,45
43,0.03942340186664037,0.0018977948597499303,0.03428085786955697,0.14669977767126902,0.012655624321528842,0.0014237122876303537,0.23929017782211304,0.06081715226173401,0.012503645249775479,0.20300366623061045,0.1488925644329616,0.008724101952144079,0.3456261881760188,0.010672496897833688,0.0019774138927459717,0.008388940777097429,0.0069184303283691415,0.007673680782318115,46
44,0.442760522876467,0.0020258809838976178,0.18000521404402597,0.1459318654877799,0.1502534576824733,0.001316228083201817,0.24853656121662682,0.07517394849232265,0.012553870677948,0.26537437098366873,0.14952205760138373,0.021056460482733592,0.8355758105005536,0.02607845834323338,0.0023292388234819683,0.012117922306060791,0.00692072936466762,0.007804998329707554,47
45,0.0394444933959416,0.002131121499197824,0.041837138789040704,0.14488723022597177,0.013872397797448295,0.0014304518699645996,0.24719566106796262,0.08229110496384756,0.012615395443780082,0.18320735011781966,0.14655627523149764,0.01089849216597421,0.6592895133154733,0.01199370196887425,0.0019775288445608957,0.010795461280005319,0.006918306861604963,0.008065270526068551,48
46,0.03944861888885499,0.002200986657823835,0.041141041687556675,0.14447331854275297,0.014379275696618217,0.001132875680923462,0.23060107231140137,0.08387745278222221,0.016615974051611766,0.15225527116230556,0.1485673785209656,0.008406238896506175,0.6939838230609894,0.013347485235759191,0.001977541616984776,0.013879507780075075,0.006919315883091518,0.008106972490038191,49
47,0.36090024028505596,0.002194591930934361,0.18178194335528783,0.1479533783027104,0.09144539066723414,0.0007912942341395787,0.24079057574272156,0.08318018061774117,0.012527682951518468,0.2416520118713379,0.15180775948933192,0.01942306331225804,0.8841073427881513,0.05853914363043648,0.0032380989619663785,0.013034565108163016,0.006922807012285505,0.007632336446217128,50
48,0.5379616064684731,0.0961568398135049,0.29027631878852844,0.4126508789403098,0.3894713010106768,0.0005090534687042236,0.3262756253991808,0.08268887656075614,0.012585112026759557,0.2801115470273154,0.15530454686709813,0.040412106684276035,0.9796159778322492,0.21193622265543258,0.21191644668579102,0.019021438700812205,0.0069250379289899555,0.007942391293389457,51
49,0.575015595981053,0.002702104193823678,0.2042305554662432,0.3307268151215145,0.036811930792672296,0.004710542304175241,0.3576257824897766,0.08216929009982518,0.012678704091480801,0.23551857897213527,0.15102829677718027,0.051504697118486674,0.980899955545153,0.08200432998793465,0.003789326974323818,0.027980847018105645,0.006922879389354161,0.008018165826797485,52
50,0.5748346703393119,0.002308824232646397,0.19062779205186026,0.2820559058870588,0.03728718842778887,0.001130934272493635,0.37048106108392986,0.08227779609816414,0.01294943690299988,0.2264774101121085,0.15113452502659389,0.05181310858045306,0.9813843539782933,0.08893491966383797,0.0038742635931287494,0.029490747622081207,0.006923024143491472,0.00801665016583034,53
51,0.03944241574832372,0.0023635668413979666,0.15631322775568282,0.14752195136887689,0.015714743307658603,0.00023068274770464216,0.37839099764823914,0.08416969009808133,0.016676204545157298,0.15541587557111466,0.14768809505871364,0.013204693794250488,0.831424355506897,0.020011425018310547,0.001977447952542986,0.014602265187672206,0.006919388260160174,0.008044323750904627,54
52,0.03944181544440133,0.002340900046484811,0.15825551322528295,0.14653094751494272,0.015933977706091746,0.00018717987196786062,0.3792297371796199,0.08611154982021876,0.016643234661647254,0.15297044600759233,0.14770773904664178,0.0133545526436397,0.8338142718587602,0.021129565579550605,0.001977447952542986,0.015688368252345493,0.006919469152178084,0.008026740380695887,55
53,0.03944130454744612,0.002392338854925973,0.2295778180871691,0.14664763637951445,0.01834429587636675,0.00014998657362801687,0.3741271878991808,0.08736182536397662,0.04457523141588483,0.15079841017723083,0.14810967871120997,0.01364802462714059,0.8574111291340419,0.024959368365151544,0.0019774820123400006,0.01897493004798889,0.006920022623879569,0.008039440427507673,56
54,0.03944167494773865,0.002080934388296945,0.08484494686126709,0.14453835146767754,0.01506974867412022,0.00011137979371207101,0.3793757685593196,0.08804463062967573,0.06430562904902866,0.14936057584626333,0.14808001262801035,0.012471365077154978,0.8076322674751282,0.02067338994571141,0.0019774649824414936,0.018570014408656528,0.0069195543016706195,0.007973466600690569,57
55,0.039441393954413276,0.0022843224661690848,0.24593475886753627,0.1452529387814658,0.01917293667793274,7.668989045279366e-05,0.36794049824987135,0.08784266029085432,0.06030613609722683,0.1489286720752716,0.14811996476990835,0.012447318860462733,0.8596268807138716,0.027094525950295587,0.001977473497390747,0.021272821085793633,0.006920197180339268,0.0079950179372515,58
