,BLM,ELM,Route
391,0.040999999999999995,0.040999999999999995,330A165001
392,0.0,1.3119999999999998,330A166001
393,0.0,0.0,330A167001
394,0.0,0.7979999999999999,330A168001
395,0.0,0.636,330A169001
396,0.0,0.302,330A170001
397,0.0,0.247,330A171001
398,0.0,0.142,330A172001
399,0.0,0.0,330A173001
400,0.0,0.132,330A174001
401,0.0,0.077,330A175001
402,0.13,0.13,330A176001
403,0.0,0.545,330A177001
404,0.0,0.37799999999999995,330A178001
405,0.0,0.0,330A179001
406,0.0,0.069,330A180001
407,0.0,0.16,330A181001
408,0.0,0.621,330A182001
409,0.0,0.0,330A183001
410,0.0,0.34,330A184001
411,0.0,0.237,330A185001
412,0.0,0.222,330A186001
413,0.0,1.212,330A187001
414,0.0,0.615,330A188001
415,0.0,0.142,330A189001
416,0.0,0.222,330A190001
417,0.0,0.15,330A191001
418,0.0,0.233,330A192001
419,0.0,0.614,330A193001
420,0.0,0.382,330A194001
421,0.0,0.153,330A195001
422,0.0,0.473,330A196001
423,0.0,0.163,330A197001
424,0.0,0.546,330A198001
425,0.0,0.0,330A199001
426,0.0,0.136,330A200001
427,0.111,0.111,330A201001
428,0.381,0.381,330A202001
429,0.0,0.145,330A203001
430,0.5579999999999999,0.6759999999999999,330A204001
431,0.0,0.23,330A205001
432,0.0,0.322,330A206001
433,0.0,0.225,330A207001
434,0.0,0.0,330A208001
435,0.0,0.381,330A209001
436,0.0,0.207,330A210001
437,0.0,0.0,330A211001
438,0.0,0.0,330A212001
439,0.259,0.259,330A213001
440,0.0,0.414,330A214001
441,0.0,0.0,330A215001
442,0.0,0.16699999999999998,330A216001
443,0.0,0.306,330A217001
444,0.0,0.069,330A218001
445,0.0,0.215,330A219001
446,0.0,0.11,330A220001
447,0.0,0.0,330A221001
448,0.0,0.0,330A222001
449,0.0,0.371,330A223001
450,0.0,0.377,330A224001
451,0.0,0.124,330A225001
452,0.0,0.05,330A226001
453,0.0,0.21899999999999997,330A227001
454,0.0,0.25,330A228001
455,0.0,0.165,330A229001
456,0.0,0.507,330A230001
457,0.0,0.325,330A231001
458,0.0,0.035,330A232001
459,0.0,0.22399999999999998,330A233001
460,0.0,0.408,330A234001
461,0.0,0.418,330A235001
462,0.0,0.6729999999999999,330A236001
463,0.0,0.066,330A237001
464,0.0,0.285,330A238001
465,0.0,0.077,330A239001
466,0.0,0.0,330A240001
467,0.0,0.125,330A241001
468,0.0,0.152,330A242001
469,0.0,0.134,330A243001
470,0.0,0.0,330A244001
471,0.0,0.429,330A245001
472,0.0,0.064,330A246001
473,0.0,0.0,330A247001
474,0.0,0.0,330A248001
475,0.0,0.11199999999999999,330A249001
476,0.0,0.223,330A250001
477,0.0,0.258,330A251001
478,0.0,0.156,330A252001
479,0.0,0.191,330A253001
480,0.0,0.0,330A254001
481,0.253,0.253,330A255001
482,0.0,0.0,330A256001
483,0.0,0.175,330A257001
484,0.0,0.16699999999999998,330A258001
485,0.0,0.071,330A259001
486,0.0,0.768,330A260001
487,0.5,0.5,330A261001
488,0.061,0.13,330A262001
