BLM,ELM,Route,ID NUMBER,Feature Type,Feature Composition
7.27,7.3,SR002,33SR002001,19,15
7.27,7.3,SR002,33SR002001,19,15
7.3,7.41,SR002,33SR002001,19,15
7.3,7.41,SR002,33SR002001,19,15
7.41,7.46,SR002,33SR002001,19,18
7.41,7.46,SR002,33SR002001,19,18
7.46,7.94,SR002,33SR002001,19,18
7.46,7.94,SR002,33SR002001,19,18
7.94,8.09,SR002,33SR002001,19,18
7.94,8.09,SR002,33SR002001,19,18
8.09,8.24,SR002,33SR002001,19,18
8.09,8.24,SR002,33SR002001,19,18
8.24,8.37,SR002,33SR002001,19,15
8.24,8.37,SR002,33SR002001,19,15
8.37,8.49,SR002,33SR002001,19,15
8.37,8.49,SR002,33SR002001,19,15
8.49,8.59,SR002,33SR002001,19,18
8.49,8.59,SR002,33SR002001,19,18
8.59,10.1,SR002,33SR002001,19,15
8.59,10.1,SR002,33SR002001,19,15
10.1,10.15,SR002,33SR002001,19,15
10.1,10.15,SR002,33SR002001,19,15
10.15,10.61,SR002,33SR002001,19,15
10.61,10.68,SR002,33SR002001,19,15
10.68,11.31,SR002,33SR002001,19,15
10.68,11.31,SR002,33SR002001,19,15
11.31,11.33,SR002,33SR002001,19,15
11.31,11.33,SR002,33SR002001,19,15
11.33,11.48,SR002,33SR002001,19,15
11.33,11.48,SR002,33SR002001,19,15
11.48,11.53,SR002,33SR002001,19,15
11.48,11.53,SR002,33SR002001,19,15
11.53,11.66,SR002,33SR002001,19,15
11.53,11.66,SR002,33SR002001,19,15
11.66,11.83,SR002,33SR002001,19,18
11.83,12.35,SR002,33SR002001,19,15
11.83,12.35,SR002,33SR002001,19,15
12.35,12.47,SR002,33SR002001,19,15
12.35,12.47,SR002,33SR002001,19,15
12.47,12.63,SR002,33SR002001,19,15
12.47,12.63,SR002,33SR002001,19,15
12.63,12.73,SR002,33SR002001,19,15
12.63,12.73,SR002,33SR002001,19,15
12.73,12.91,SR002,33SR002001,19,15
12.73,12.91,SR002,33SR002001,19,15
12.91,13.04,SR002,33SR002001,19,15
12.91,13.04,SR002,33SR002001,19,15
