BLM,ELM,ID_NUMBER,Feat_Seq_Nbr,Feature_Type,Feat_Width,Feature_Composition
5.806,6.174,3301126001,4,19,12,15
5.806,6.174,3301126001,7,5,12,15
5.806,6.174,3301126001,10,19,12,15
5.806,6.174,3301126001,12,20,6,15
5.806,6.174,3301126001,13,29,,40
6.174,6.7,3301126001,8,29,,40
6.174,6.7,3301126001,9,20,1,4
6.174,6.7,3301126001,10,19,18,15
6.174,6.7,3301126001,12,20,1,4
6.174,6.7,3301126001,13,29,,40
6.7,9.225,3301126001,8,29,,40
6.7,9.225,3301126001,9,20,2,4
6.7,9.225,3301126001,10,19,20,15
6.7,9.225,3301126001,12,20,2,4
6.7,9.225,3301126001,13,29,,40
9.225,9.61,3301126001,8,29,,40
9.225,9.61,3301126001,9,20,2,5
9.225,9.61,3301126001,10,19,20,15
9.225,9.61,3301126001,12,20,2,5
9.225,9.61,3301126001,13,29,,40
9.61,13.76,3301126001,8,29,,40
9.61,13.76,3301126001,9,20,1,15
9.61,13.76,3301126001,10,19,20,15
9.61,13.76,3301126001,12,20,1,15
9.61,13.76,3301126001,13,29,,40
0,0.45,3301128001,8,29,,40
0,0.45,3301128001,9,20,2,5
0,0.45,3301128001,10,19,12,6
0,0.45,3301128001,12,20,2,5
0,0.45,3301128001,13,29,,40
0,0.04,3301143001,1,29,,42
0,0.04,3301143001,2,20,2,18
0,0.04,3301143001,3,19,12,15
0,0.04,3301143001,4,3,12,15
0,0.04,3301143001,5,19,11,15
0,0.04,3301143001,6,20,2,18
0,0.04,3301143001,7,29,,42
0.04,2.59,3301143001,1,29,,40
0.04,2.59,3301143001,2,20,3,5
0.04,2.59,3301143001,3,19,24,15
0.04,2.59,3301143001,4,20,3,5
0.04,2.59,3301143001,5,29,,40
2.59,2.93,3301143001,1,29,,40
2.59,2.93,3301143001,2,20,1,15
2.59,2.93,3301143001,3,19,11,15
2.59,2.93,3301143001,4,5,12,15
2.59,2.93,3301143001,5,19,11,15
2.59,2.93,3301143001,6,20,1,15
2.59,2.93,3301143001,7,29,,40
2.93,5.57,3301143001,9,29,,40
2.93,5.57,3301143001,11,20,2,15
2.93,5.57,3301143001,13,19,22,15
2.93,5.57,3301143001,15,20,2,15
2.93,5.57,3301143001,17,29,,40
0,1.86,3301145001,8,29,,40
0,1.86,3301145001,9,20,8,15
0,1.86,3301145001,10,19,24,15
0,1.86,3301145001,12,20,8,15
0,1.86,3301145001,13,29,,40
1.86,2.28,3301145001,1,29,,40
1.86,2.28,3301145001,2,20,8,15
1.86,2.28,3301145001,3,19,24,15
1.86,2.28,3301145001,4,20,12,15
1.86,2.28,3301145001,5,29,,40
2.28,3.01,3301145001,1,29,,40
2.28,3.01,3301145001,2,20,8,15
2.28,3.01,3301145001,3,19,24,15
2.28,3.01,3301145001,4,20,8,15
2.28,3.01,3301145001,5,29,,40
3.01,3.06,3301145001,1,29,,40
3.01,3.06,3301145001,2,20,8,15
3.01,3.06,3301145001,3,19,24,15
3.01,3.06,3301145001,4,20,2,15
3.01,3.06,3301145001,5,29,,42
3.06,3.16,3301145001,1,29,,40
3.06,3.16,3301145001,3,20,8,15
3.06,3.16,3301145001,5,19,24,15
3.06,3.16,3301145001,7,20,8,15
3.06,3.16,3301145001,9,29,,40
3.16,3.2,3301145001,1,29,,40
3.16,3.2,3301145001,2,20,6,15
3.16,3.2,3301145001,3,19,12,15
3.16,3.2,3301145001,4,40,12,23
3.16,3.2,3301145001,5,19,12,15
3.16,3.2,3301145001,6,20,6,15
3.16,3.2,3301145001,7,29,,40
3.2,3.24,3301145001,1,29,,40
3.2,3.24,3301145001,2,20,6,15
3.2,3.24,3301145001,3,19,12,15
3.2,3.24,3301145001,4,3,12,15
3.2,3.24,3301145001,5,19,12,15
3.2,3.24,3301145001,6,20,6,15
3.2,3.24,3301145001,7,29,,40
3.24,3.29,3301145001,1,29,,40
3.24,3.29,3301145001,2,20,6,15
3.24,3.29,3301145001,3,19,12,15
3.24,3.29,3301145001,4,40,12,23
3.24,3.29,3301145001,5,19,12,15
3.24,3.29,3301145001,6,20,6,15
3.24,3.29,3301145001,7,2,12,15
3.24,3.29,3301145001,8,29,,40
3.29,4.13,3301145001,2,29,,40
3.29,4.13,3301145001,4,20,8,15
3.29,4.13,3301145001,6,19,24,15
3.29,4.13,3301145001,8,20,8,15
3.29,4.13,3301145001,10,29,,40
4.13,4.18,3301145001,1,29,,40
4.13,4.18,3301145001,3,20,8,15
4.13,4.18,3301145001,5,19,12,15
4.13,4.18,3301145001,9,40,11,23
4.13,4.18,3301145001,13,19,12,15
4.13,4.18,3301145001,15,20,2,15
4.13,4.18,3301145001,17,29,,40
4.18,5.18,3301145001,8,29,,40
4.18,5.18,3301145001,9,20,2,4
4.18,5.18,3301145001,10,19,24,15
4.18,5.18,3301145001,12,20,2,4
4.18,5.18,3301145001,13,29,,40
5.18,5.47,3301145001,1,29,,40
5.18,5.47,3301145001,2,20,1,4
5.18,5.47,3301145001,3,19,20,15
5.18,5.47,3301145001,4,20,1,4
5.18,5.47,3301145001,5,29,,40
5.47,6.88,3301145001,1,29,,40
5.47,6.88,3301145001,2,20,1,4
5.47,6.88,3301145001,3,19,22,15
5.47,6.88,3301145001,4,20,1,4
5.47,6.88,3301145001,5,29,,40
0,0.05,3301147001,1,29,,43
0,0.05,3301147001,3,20,2,18
0,0.05,3301147001,5,2,12,15
0,0.05,3301147001,6,19,12,15
0,0.05,3301147001,7,3,12,15
0,0.05,3301147001,8,19,12,15
0,0.05,3301147001,9,20,2,18
0,0.05,3301147001,10,29,,42
0.05,0.112,3301147001,9,29,,42
0.05,0.112,3301147001,11,20,2,18
0.05,0.112,3301147001,13,19,44,15
0.05,0.112,3301147001,15,20,2,18
0.05,0.112,3301147001,17,29,,42
0.112,0.221,3301147001,1,29,,41
0.112,0.221,3301147001,4,19,11,15
0.112,0.221,3301147001,8,3,11,15
0.112,0.221,3301147001,12,19,11,15
0.112,0.221,3301147001,14,2,11,15
0.112,0.221,3301147001,15,20,1,18
0.112,0.221,3301147001,16,29,,43
0.221,0.26,3301147001,1,29,,40
0.221,0.26,3301147001,2,20,2,4
0.221,0.26,3301147001,3,19,22,15
0.221,0.26,3301147001,4,20,16,15
0.221,0.26,3301147001,5,29,,43
