Accident,City,Unix,Join_Count,GRID_ID,Grid_Num,NBR_LANES,TY_TERRAIN,FUNC_CLASS,Hour,Date,hourbefore,Longitude,Latitude,RainBefore,DayOfWeek,WeekDay,DayFrame
0,,1499230800.0,112,S-14,498,2.0,2.0,16.0,1,2017-07-05,1499227200.0,-85.33573183,35.10195923,,2,1,1
0,,1499295600.0,112,S-14,498,2.0,2.0,16.0,19,2017-07-05,1499292000.0,-85.33573183,35.10195923,,2,1,1
0,,1499263200.0,112,S-14,498,2.0,2.0,16.0,10,2017-07-05,1499259600.0,-85.33573183,35.10195923,,2,1,3
0,,1499259600.0,535,AN-23,192,5.0,2.0,14.0,9,2017-07-05,1499256000.0,-85.18134519,35.02980219,,2,1,2
0,,1499266800.0,535,AN-23,192,5.0,2.0,14.0,11,2017-07-05,1499263200.0,-85.18134519,35.02980219,,2,1,3
0,,1499310000.0,535,AN-23,192,5.0,2.0,14.0,23,2017-07-05,1499306400.0,-85.18134519,35.02980219,,2,1,1
0,,1499256000.0,535,AN-23,192,5.0,2.0,14.0,8,2017-07-05,1499252400.0,-85.18134519,35.02980219,,2,1,2
0,,1499284800.0,535,AN-23,192,5.0,2.0,14.0,16,2017-07-05,1499281200.0,-85.18134519,35.02980219,,2,1,4
0,,1499277600.0,535,AN-23,192,5.0,2.0,14.0,14,2017-07-05,1499274000.0,-85.18134519,35.02980219,,2,1,4
0,,1499292000.0,535,AN-23,192,5.0,2.0,14.0,18,2017-07-05,1499288400.0,-85.18134519,35.02980219,,2,1,4
0,,1499245200.0,535,AN-23,192,5.0,2.0,14.0,5,2017-07-05,1499241600.0,-85.18134519,35.02980219,,2,1,2
0,,1499302800.0,535,AN-23,192,5.0,2.0,14.0,21,2017-07-05,1499299200.0,-85.18134519,35.02980219,,2,1,1
0,,1499234400.0,375,T-25,93,2.0,2.0,19.0,2,2017-07-05,1499230800.0,-85.32838008,35.01282407,,2,1,1
0,,1499295600.0,375,T-25,93,2.0,2.0,19.0,19,2017-07-05,1499292000.0,-85.32838008,35.01282407,,2,1,1
0,,1499248800.0,375,T-25,93,2.0,2.0,19.0,6,2017-07-05,1499245200.0,-85.32838008,35.01282407,,2,1,2
0,,1499277600.0,375,T-25,93,2.0,2.0,19.0,14,2017-07-05,1499274000.0,-85.32838008,35.01282407,,2,1,4
0,,1499281200.0,375,T-25,93,2.0,2.0,19.0,15,2017-07-05,1499277600.0,-85.32838008,35.01282407,,2,1,4
0,,1499241600.0,375,T-25,93,2.0,2.0,19.0,4,2017-07-05,1499238000.0,-85.32838008,35.01282407,,2,1,1
0,,1499292000.0,375,T-25,93,2.0,2.0,19.0,18,2017-07-05,1499288400.0,-85.32838008,35.01282407,,2,1,4
0,,1499284800.0,375,T-25,93,2.0,2.0,19.0,16,2017-07-05,1499281200.0,-85.32838008,35.01282407,,2,1,4
0,,1499227200.0,375,T-25,93,2.0,2.0,19.0,0,2017-07-05,1499223600.0,-85.32838008,35.01282407,,2,1,1
0,,1499281200.0,168,AL-17,407,2.0,2.0,19.0,15,2017-07-05,1499277600.0,-85.19604868,35.08073657,,2,1,4
0,,1499284800.0,168,AL-17,407,2.0,2.0,19.0,16,2017-07-05,1499281200.0,-85.19604868,35.08073657,,2,1,4
0,,1499263200.0,168,AL-17,407,2.0,2.0,19.0,10,2017-07-05,1499259600.0,-85.19604868,35.08073657,,2,1,3
0,,1499277600.0,168,AL-17,407,2.0,2.0,19.0,14,2017-07-05,1499274000.0,-85.19604868,35.08073657,,2,1,4
0,,1499230800.0,168,AL-17,407,2.0,2.0,19.0,1,2017-07-05,1499227200.0,-85.19604868,35.08073657,,2,1,1
0,,1499234400.0,168,AL-17,407,2.0,2.0,19.0,2,2017-07-05,1499230800.0,-85.19604868,35.08073657,,2,1,1
0,,1499306400.0,168,AL-17,407,2.0,2.0,19.0,22,2017-07-05,1499302800.0,-85.19604868,35.08073657,,2,1,1
0,,1499299200.0,168,AL-17,407,2.0,2.0,19.0,20,2017-07-05,1499295600.0,-85.19604868,35.08073657,,2,1,1
0,,1499266800.0,168,AL-17,407,2.0,2.0,19.0,11,2017-07-05,1499263200.0,-85.19604868,35.08073657,,2,1,3
0,,1499256000.0,26,AE-19,325,2.0,2.0,19.0,8,2017-07-05,1499252400.0,-85.24751089,35.05951392,,2,1,2
0,,1499248800.0,26,AE-19,325,2.0,2.0,19.0,6,2017-07-05,1499245200.0,-85.24751089,35.05951392,,2,1,2
0,,1499266800.0,26,AE-19,325,2.0,2.0,19.0,11,2017-07-05,1499263200.0,-85.24751089,35.05951392,,2,1,3
0,,1499259600.0,26,AE-19,325,2.0,2.0,19.0,9,2017-07-05,1499256000.0,-85.24751089,35.05951392,,2,1,2
0,,1499234400.0,26,AE-19,325,2.0,2.0,19.0,2,2017-07-05,1499230800.0,-85.24751089,35.05951392,,2,1,1
0,,1499252400.0,26,AE-19,325,2.0,2.0,19.0,7,2017-07-05,1499248800.0,-85.24751089,35.05951392,,2,1,2
0,,1499245200.0,26,AE-19,325,2.0,2.0,19.0,5,2017-07-05,1499241600.0,-85.24751089,35.05951392,,2,1,2
0,,1499241600.0,26,AE-19,325,2.0,2.0,19.0,4,2017-07-05,1499238000.0,-85.24751089,35.05951392,,2,1,1
0,,1499299200.0,26,AE-19,325,2.0,2.0,19.0,20,2017-07-05,1499295600.0,-85.24751089,35.05951392,,2,1,1
0,,1499284800.0,182,U-21,244,2.0,2.0,19.0,16,2017-07-05,1499281200.0,-85.32102834,35.04253579,,2,1,4
0,,1499270400.0,182,U-21,244,2.0,2.0,19.0,12,2017-07-05,1499266800.0,-85.32102834,35.04253579,,2,1,3
0,,1499310000.0,182,U-21,244,2.0,2.0,19.0,23,2017-07-05,1499306400.0,-85.32102834,35.04253579,,2,1,1
0,,1499234400.0,182,U-21,244,2.0,2.0,19.0,2,2017-07-05,1499230800.0,-85.32102834,35.04253579,,2,1,1
0,,1499245200.0,182,U-21,244,2.0,2.0,19.0,5,2017-07-05,1499241600.0,-85.32102834,35.04253579,,2,1,2
0,,1499266800.0,182,U-21,244,2.0,2.0,19.0,11,2017-07-05,1499263200.0,-85.32102834,35.04253579,,2,1,3
0,,1499292000.0,182,U-21,244,2.0,2.0,19.0,18,2017-07-05,1499288400.0,-85.32102834,35.04253579,,2,1,4
0,,1499281200.0,182,U-21,244,2.0,2.0,19.0,15,2017-07-05,1499277600.0,-85.32102834,35.04253579,,2,1,4
0,,1499256000.0,182,U-21,244,2.0,2.0,19.0,8,2017-07-05,1499252400.0,-85.32102834,35.04253579,,2,1,2
0,,1499277600.0,543,W-21,246,2.0,2.0,17.0,14,2017-07-05,1499274000.0,-85.30632485,35.04253579,,2,1,4
0,,1499292000.0,543,W-21,246,2.0,2.0,17.0,18,2017-07-05,1499288400.0,-85.30632485,35.04253579,,2,1,4
0,,1499310000.0,543,W-21,246,2.0,2.0,17.0,23,2017-07-05,1499306400.0,-85.30632485,35.04253579,,2,1,1
0,,1499281200.0,543,W-21,246,2.0,2.0,17.0,15,2017-07-05,1499277600.0,-85.30632485,35.04253579,,2,1,4
0,,1499302800.0,543,W-21,246,2.0,2.0,17.0,21,2017-07-05,1499299200.0,-85.30632485,35.04253579,,2,1,1
0,,1499274000.0,543,W-21,246,2.0,2.0,17.0,13,2017-07-05,1499270400.0,-85.30632485,35.04253579,,2,1,3
0,,1499288400.0,543,W-21,246,2.0,2.0,17.0,17,2017-07-05,1499284800.0,-85.30632485,35.04253579,,2,1,4
0,,1499299200.0,543,W-21,246,2.0,2.0,17.0,20,2017-07-05,1499295600.0,-85.30632485,35.04253579,,2,1,1
0,,1499248800.0,543,W-21,246,2.0,2.0,17.0,6,2017-07-05,1499245200.0,-85.30632485,35.04253579,,2,1,2
0,,1499292000.0,430,AE-10,605,6.0,2.0,14.0,18,2017-07-05,1499288400.0,-85.24751089,35.13591549,,2,1,4
0,,1499245200.0,430,AE-10,605,6.0,2.0,14.0,5,2017-07-05,1499241600.0,-85.24751089,35.13591549,,2,1,2
0,,1499227200.0,430,AE-10,605,6.0,2.0,14.0,0,2017-07-05,1499223600.0,-85.24751089,35.13591549,,2,1,1
0,,1499295600.0,430,AE-10,605,6.0,2.0,14.0,19,2017-07-05,1499292000.0,-85.24751089,35.13591549,,2,1,1
0,,1499252400.0,430,AE-10,605,6.0,2.0,14.0,7,2017-07-05,1499248800.0,-85.24751089,35.13591549,,2,1,2
0,,1499256000.0,430,AE-10,605,6.0,2.0,14.0,8,2017-07-05,1499252400.0,-85.24751089,35.13591549,,2,1,2
0,,1499234400.0,430,AE-10,605,6.0,2.0,14.0,2,2017-07-05,1499230800.0,-85.24751089,35.13591549,,2,1,1
0,,1499230800.0,430,AE-10,605,6.0,2.0,14.0,1,2017-07-05,1499227200.0,-85.24751089,35.13591549,,2,1,1
0,,1499238000.0,430,AE-10,605,6.0,2.0,14.0,3,2017-07-05,1499234400.0,-85.24751089,35.13591549,,2,1,1
0,,1499241600.0,123,AM-19,333,8.0,2.0,12.0,4,2017-07-05,1499238000.0,-85.18869693,35.05951392,,2,1,1
0,,1499245200.0,123,AM-19,333,8.0,2.0,12.0,5,2017-07-05,1499241600.0,-85.18869693,35.05951392,,2,1,2
0,,1499263200.0,123,AM-19,333,8.0,2.0,12.0,10,2017-07-05,1499259600.0,-85.18869693,35.05951392,,2,1,3
0,,1499306400.0,123,AM-19,333,8.0,2.0,12.0,22,2017-07-05,1499302800.0,-85.18869693,35.05951392,,2,1,1
0,,1499248800.0,123,AM-19,333,8.0,2.0,12.0,6,2017-07-05,1499245200.0,-85.18869693,35.05951392,,2,1,2
0,,1499302800.0,123,AM-19,333,8.0,2.0,12.0,21,2017-07-05,1499299200.0,-85.18869693,35.05951392,,2,1,1
0,,1499277600.0,123,AM-19,333,8.0,2.0,12.0,14,2017-07-05,1499274000.0,-85.18869693,35.05951392,,2,1,4
0,,1499230800.0,123,AM-19,333,8.0,2.0,12.0,1,2017-07-05,1499227200.0,-85.18869693,35.05951392,,2,1,1
0,,1499292000.0,123,AM-19,333,8.0,2.0,12.0,18,2017-07-05,1499288400.0,-85.18869693,35.05951392,,2,1,4
0,,1499288400.0,153,T-26,58,2.0,2.0,19.0,17,2017-07-05,1499284800.0,-85.32838008,35.004335,,2,1,4
0,,1499306400.0,153,T-26,58,2.0,2.0,19.0,22,2017-07-05,1499302800.0,-85.32838008,35.004335,,2,1,1
0,,1499302800.0,153,T-26,58,2.0,2.0,19.0,21,2017-07-05,1499299200.0,-85.32838008,35.004335,,2,1,1
0,,1499245200.0,153,T-26,58,2.0,2.0,19.0,5,2017-07-05,1499241600.0,-85.32838008,35.004335,,2,1,2
0,,1499238000.0,153,T-26,58,2.0,2.0,19.0,3,2017-07-05,1499234400.0,-85.32838008,35.004335,,2,1,1
0,,1499277600.0,153,T-26,58,2.0,2.0,19.0,14,2017-07-05,1499274000.0,-85.32838008,35.004335,,2,1,4
0,,1499295600.0,153,T-26,58,2.0,2.0,19.0,19,2017-07-05,1499292000.0,-85.32838008,35.004335,,2,1,1
0,,1499259600.0,153,T-26,58,2.0,2.0,19.0,9,2017-07-05,1499256000.0,-85.32838008,35.004335,,2,1,2
0,,1499284800.0,153,T-26,58,2.0,2.0,19.0,16,2017-07-05,1499281200.0,-85.32838008,35.004335,,2,1,4
0,,1499288400.0,450,W-19,317,2.0,2.0,19.0,17,2017-07-05,1499284800.0,-85.30632485,35.05951392,,2,1,4
0,,1499274000.0,450,W-19,317,2.0,2.0,19.0,13,2017-07-05,1499270400.0,-85.30632485,35.05951392,,2,1,3
0,,1499259600.0,450,W-19,317,2.0,2.0,19.0,9,2017-07-05,1499256000.0,-85.30632485,35.05951392,,2,1,2
0,,1499227200.0,450,W-19,317,2.0,2.0,19.0,0,2017-07-05,1499223600.0,-85.30632485,35.05951392,,2,1,1
0,,1499256000.0,450,W-19,317,2.0,2.0,19.0,8,2017-07-05,1499252400.0,-85.30632485,35.05951392,,2,1,2
0,,1499299200.0,450,W-19,317,2.0,2.0,19.0,20,2017-07-05,1499295600.0,-85.30632485,35.05951392,,2,1,1
0,,1499292000.0,450,W-19,317,2.0,2.0,19.0,18,2017-07-05,1499288400.0,-85.30632485,35.05951392,,2,1,4
0,,1499266800.0,450,W-19,317,2.0,2.0,19.0,11,2017-07-05,1499263200.0,-85.30632485,35.05951392,,2,1,3
0,,1499241600.0,450,W-19,317,2.0,2.0,19.0,4,2017-07-05,1499238000.0,-85.30632485,35.05951392,,2,1,1
0,,1499274000.0,134,Z-26,64,2.0,2.0,19.0,13,2017-07-05,1499270400.0,-85.28426962,35.004335,,2,1,3
0,,1499292000.0,134,Z-26,64,2.0,2.0,19.0,18,2017-07-05,1499288400.0,-85.28426962,35.004335,,2,1,4
0,,1499284800.0,134,Z-26,64,2.0,2.0,19.0,16,2017-07-05,1499281200.0,-85.28426962,35.004335,,2,1,4
0,,1499277600.0,134,Z-26,64,2.0,2.0,19.0,14,2017-07-05,1499274000.0,-85.28426962,35.004335,,2,1,4
0,,1499299200.0,134,Z-26,64,2.0,2.0,19.0,20,2017-07-05,1499295600.0,-85.28426962,35.004335,,2,1,1
0,,1499234400.0,134,Z-26,64,2.0,2.0,19.0,2,2017-07-05,1499230800.0,-85.28426962,35.004335,,2,1,1
0,,1499302800.0,134,Z-26,64,2.0,2.0,19.0,21,2017-07-05,1499299200.0,-85.28426962,35.004335,,2,1,1
0,,1499259600.0,134,Z-26,64,2.0,2.0,19.0,9,2017-07-05,1499256000.0,-85.28426962,35.004335,,2,1,2
0,,1499227200.0,134,Z-26,64,2.0,2.0,19.0,0,2017-07-05,1499223600.0,-85.28426962,35.004335,,2,1,1
0,,1499292000.0,417,AO-24,153,2.0,2.0,19.0,18,2017-07-05,1499288400.0,-85.17399344,35.0170686,,2,1,4
0,,1499288400.0,417,AO-24,153,2.0,2.0,19.0,17,2017-07-05,1499284800.0,-85.17399344,35.0170686,,2,1,4
0,,1499284800.0,417,AO-24,153,2.0,2.0,19.0,16,2017-07-05,1499281200.0,-85.17399344,35.0170686,,2,1,4
