Date,DayOfWeek,Hour,Latitude,Longitude,WeekDay,Year,Month
1/2/2020,3,16,35.035266,-85.163861,1,2020,1
1/2/2020,3,16,35.034528,-85.158706,1,2020,1
1/2/2020,3,16,35.008246,-85.200274,1,2020,1
1/2/2020,3,16,35.026626,-85.310189,1,2020,1
1/2/2020,3,17,35.086219,-85.191917,1,2020,1
1/2/2020,3,17,35.043222,-85.302106,1,2020,1
1/2/2020,3,17,35.139874,-85.328108,1,2020,1
1/2/2020,3,17,34.994867,-85.290403,1,2020,1
1/2/2020,3,17,35.019181,-85.18896,1,2020,1
1/2/2020,3,17,35.10998,-85.27098,1,2020,1
1/2/2020,3,17,35.079614,-85.187047,1,2020,1
1/2/2020,3,17,35.022191,-85.242385,1,2020,1
1/2/2020,3,17,35.03064,-85.183996,1,2020,1
1/2/2020,3,17,35.047421,-85.158404,1,2020,1
