Asset ID,Asset Type,Material,Latitude,Longitude,Position,Route Type,Route
SUP_19832,SUP-U-Channel,Steel,35.08945288,-85.20478187,Right,,SKYLARK TRL
SUP_19848,SUP-U-Channel,Steel,35.08109824,-85.21382098,Right,,BONNY OAKS DR
SUP_19886,SUP-U-Channel,Steel,35.07609204,-85.25773513,Right,,WILDER ST
SUP_19925,SUP-U-Channel,Steel,35.08451305,-85.21401786,Right,,RANDOLPH CIR
SUP_19930,SUP-U-Channel,Steel,35.08097947,-85.21417968,Right,,S ACCESS RD
SUP_20017,SUP-U-Channel,Steel,35.07351385,-85.1900989,Right,,BONNY OAKS DR
SUP_20020,SUP-U-Channel,Steel,35.07344033,-85.19060002,Right,,BONNY OAKS DR
SUP_20051,SUP-U-Channel,Steel,35.08796749,-85.1823744,Right,,JERSEY PIKE
SUP_20055,SUP-U-Channel,Steel,35.08815661,-85.18244758,Right,,JERSEY PIKE
SUP_20057,SUP-U-Channel,Steel,35.08803881,-85.18256671,Right,,OAKWOOD DR
SUP_20067,SUP-U-Channel,Steel,35.09328307,-85.1796599,Right,,JERSEY PIKE
SUP_2012,SUP-U-Channel,Steel,35.13027356,-85.24507992,Right,,SB OFF RAMP HWY 153 @ NB 
SUP_20154,SUP-U-Channel,Steel,35.08299865,-85.19904134,Right,,INNWOOD LN
SUP_20156,SUP-U-Channel,Steel,35.08280639,-85.19896079,Right,,FAIRWOOD LN
SUP_20356,SUP-U-Channel,Steel,35.07875345,-85.2131415,Right,,CADEN DR
SUP_2036,SUP-U-Channel,Steel,35.01553013,-85.15621389,Right,,JOHN HENRY RD
SUP_20363,SUP-U-Channel,Steel,35.08138187,-85.20983321,Right,,HWY 58
SUP_20374,SUP-U-Channel,Steel,35.08149461,-85.20947807,Right,,HWY 58
SUP_20399,SUP-U-Channel,Steel,35.0895818,-85.18653198,Right,,HWY 58
SUP_20429,SUP-Square,Wood,35.07058709,-85.20620676,Right,,TAG DR
SUP_20430,SUP-Square,Wood,35.07045944,-85.20636837,Right,,TAG DR
SUP_20464,SUP-U-Channel,Steel,35.05546086,-85.20028446,Right,,JERSEY PIKE
SUP_20495,SUP-U-Channel,Steel,35.07423505,-85.25279305,Right,,SHOLAR AVE
SUP_20572,SUP-U-Channel,Steel,35.06705708,-85.2482026,Right,,FAIRLEIGH ST
SUP_2069,SUP-U-Channel,Steel,35.02480825,-85.15224147,Right,,IGOU GAP RD
SUP_20729,SUP-U-Channel,Steel,35.07364245,-85.23831848,Right,,VINEWOOD DR
SUP_20740,SUP-U-Channel,Steel,35.07746983,-85.23787587,Right,,RIDGECREST DR
SUP_20748,SUP-U-Channel,Steel,35.07787124,-85.23811339,Right,,RIDGECREST DR
SUP_20793,SUP-U-Channel,Steel,35.08171976,-85.23241925,Right,,ADDISON RD
SUP_20925,SUP-U-Channel,Steel,35.07363399,-85.23240459,Right,,TUGALOO ST
SUP_20943,SUP-U-Channel,Steel,35.07459177,-85.23009148,Right,,WAUCHULA ST
SUP_20979,SUP-U-Channel,Steel,35.06592429,-85.24172612,Right,,YORK ST
SUP_21010,SUP-U-Channel,Steel,35.07486292,-85.25457835,Right,,N HAWTHORNE ST
SUP_21016,SUP-U-Channel,Steel,35.07798664,-85.25127196,Right,,N ORCHARD KNOB AVE
SUP_21018,SUP-Square,Wood,35.07847471,-85.25090491,Right,,N ORCHARD KNOB AVE
SUP_21028,SUP-Square,Wood,35.0847823,-85.24840771,Right,,N HAWTHORNE ST
SUP_21029,SUP-U-Channel,Steel,35.08498217,-85.24824924,Right,,N HAWTHORNE ST
SUP_21047,SUP-U-Channel,Steel,35.13095167,-85.2641425,Right,,MONTGOMERY RD
SUP_21073,SUP-U-Channel,Steel,35.1091147,-85.23139404,Right,,ACCESS RD
SUP_21160,SUP-U-Channel,Steel,35.08231734,-85.30000584,Right,,ARDEN AVE
SUP_21166,SUP-U-Channel,Steel,35.0808722,-85.30188393,Right,,EDGEHILL AVE
SUP_21171,SUP-U-Channel,Steel,35.07974399,-85.30162248,Right,,DALLAS RD
SUP_21174,SUP-Square,Steel,35.07950307,-85.30164146,Center,,DALLAS RD
SUP_21176,SUP-U-Channel,Steel,35.07902768,-85.30183379,Right,,CREED BATES DR
SUP_2121,SUP-U-Channel,Steel,35.02271631,-85.14646333,Right,,IGOU GAP RD
SUP_21336,SUP-U-Channel,Steel,35.06762327,-85.29481181,Right,,RUSSELL ST
SUP_21338,SUP-U-Channel,Steel,35.0673976,-85.2946942,Center,,MISSISSIPPI AVE
