"BLM","County","Route","Sp Case","Co. Seq.","I. C. Order","Item Code","Route Feature Desc","Description Code Flag","GPS Elevation","Description Code","Updated By","Updated On","GPS Latitude","GPS Longitude","GPS Code","ID NUMBER","Sub Route","Mile Post","Mile Post Suffix"
0,HAMILTON,0B699,0-NONE ,1,2,9-OTHER-MINOR,1-WAY STOP,0,811.4,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.015467,-85.255544,STOP SIGN,330B699001,00,,--
0.033,HAMILTON,0B699,0-NONE ,1,0,9-OTHER-MINOR,1-WAY STOP,0,798.6,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.015247,-85.25499,STOP SIGN,330B699001,00,,--
0.358,HAMILTON,0B699,0-NONE ,1,0,9-OTHER-MINOR,1-WAY STOP,0,804.1,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.012186,-85.252959,STOP SIGN,330B699001,00,,--
0,HAMILTON,0B700,0-NONE ,1,2,9-OTHER-MINOR,1-WAY STOP,0,797.6,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.013234,-85.25508,STOP SIGN,330B700001,00,,--
0,HAMILTON,0B701,0-NONE ,1,2,9-OTHER-MINOR,1-WAY YIELD,0,790,908   1-WAY YIELD SIGN,AUTO_INV,3/20/2009 7:47:22 AM,35.014368,-85.254435,YIELD SIGN,330B701001,00,,--
0.148,HAMILTON,0B701,0-NONE ,1,0,9-OTHER-MINOR,1-WAY STOP,0,793.3,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.012818,-85.253967,STOP SIGN,330B701001,00,,--
0,HAMILTON,0B702,0-NONE ,1,2,9-OTHER-MINOR,1-WAY STOP,0,802.2,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.011643,-85.255248,STOP SIGN,330B702001,00,,--
0,HAMILTON,0B703,0-NONE ,1,2,9-OTHER-MINOR,1-WAY STOP,0,821.5,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.012041,-85.256209,STOP SIGN,330B703001,00,,--
0,HAMILTON,0B704,0-NONE ,1,2,9-OTHER-MINOR,1-WAY YIELD,0,946.5,908   1-WAY YIELD SIGN,AUTO_INV,3/20/2009 7:47:22 AM,35.009162,-85.258018,YIELD SIGN,330B704001,00,,--
0,HAMILTON,0B705,0-NONE ,1,2,9-OTHER-MINOR,1-WAY YIELD,0,838.9,908   1-WAY YIELD SIGN,AUTO_INV,3/20/2009 7:47:22 AM,35.007438,-85.257211,YIELD SIGN,330B705001,00,,--
0,HAMILTON,0B706,0-NONE ,1,2,9-OTHER-MINOR,1-WAY STOP,0,818.9,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.007292,-85.256309,STOP SIGN,330B706001,00,,--
0,HAMILTON,0B707,0-NONE ,1,2,9-OTHER-MINOR,1-WAY STOP,0,766.7,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.015326,-85.251273,STOP SIGN,330B707001,00,,--
0.354,HAMILTON,0B707,0-NONE ,1,0,9-OTHER-MINOR,1-WAY STOP,0,788.7,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.018442,-85.254122,STOP SIGN,330B707001,00,,--
0,HAMILTON,0B708,0-NONE ,1,2,9-OTHER-MINOR,1-WAY STOP,0,783.8,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.015796,-85.252584,STOP SIGN,330B708001,00,,--
0.128,HAMILTON,0B708,0-NONE ,1,0,9-OTHER-MINOR,1-WAY STOP,0,765.4,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.017499,-85.251609,STOP SIGN,330B708001,00,,--
0,HAMILTON,0B709,0-NONE ,1,2,9-OTHER-MINOR,1-WAY STOP,0,796.6,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.016299,-85.253941,STOP SIGN,330B709001,00,,--
0,HAMILTON,0B710,0-NONE ,1,2,9-OTHER-MINOR,1-WAY STOP,0,772,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.011781,-85.248885,STOP SIGN,330B710001,00,,--
0.179,HAMILTON,0B710,0-NONE ,1,0,9-OTHER-MINOR,1-WAY STOP,0,815,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.012248,-85.250131,STOP SIGN,330B710001,00,,--
0,HAMILTON,0B711,0-NONE ,1,2,9-OTHER-MINOR,1-WAY STOP,0,808.7,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.011543,-85.25331,STOP SIGN,330B711001,00,,--
0.498,HAMILTON,0B711,0-NONE ,1,0,9-OTHER-MINOR,1-WAY STOP,0,823.8,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.01074,-85.253744,STOP SIGN,330B711001,00,,--
0,HAMILTON,0B712,0-NONE ,1,2,9-OTHER-MINOR,1-WAY STOP,0,809.4,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.011475,-85.253101,STOP SIGN,330B712001,00,,--
0,HAMILTON,0B713,0-NONE ,1,2,9-OTHER-MINOR,1-WAY STOP,0,825.1,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.007312,-85.25563,STOP SIGN,330B713001,00,,--
0.283,HAMILTON,0B713,0-NONE ,1,0,9-OTHER-MINOR,1-WAY STOP,0,842.5,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.009822,-85.254233,STOP SIGN,330B713001,00,,--
0,HAMILTON,0B714,0-NONE ,1,2,9-OTHER-MINOR,1-WAY STOP,0,847.4,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.009448,-85.253839,STOP SIGN,330B714001,00,,--
0,HAMILTON,0B715,0-NONE ,1,2,9-OTHER-MINOR,1-WAY STOP,0,819.2,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.007065,-85.255763,STOP SIGN,330B715001,00,,--
0.422,HAMILTON,0B715,0-NONE ,1,0,9-OTHER-MINOR,4-WAY STOP,0,803.1,904   4-WAY STOP,AUTO_INV,3/20/2009 7:47:22 AM,35.003327,-85.252495,089,330B715001,00,,--
0.801,HAMILTON,0B715,0-NONE ,1,0,9-OTHER-MINOR,TRAFFIC SIGNAL,0,770.3,905   TRAFFIC SIGNAL,AUTO_INV,3/20/2009 7:47:22 AM,34.998829,-85.255347,080,330B715001,00,,--
0.446,HAMILTON,0B716,0-NONE ,1,0,9-OTHER-MINOR,2-WAY STOP,0,730,902   2-WAY STOP,AUTO_INV,3/20/2009 7:47:22 AM,35.004557,-85.244615,087,330B716001,00,,--
0.709,HAMILTON,0B716,0-NONE ,1,0,9-OTHER-MINOR,2-WAY STOP,0,707.7,902   2-WAY STOP,AUTO_INV,3/20/2009 7:47:22 AM,35.00271,-85.240686,087,330B716001,00,,--
0,HAMILTON,0B717,0-NONE ,1,2,9-OTHER-MINOR,1-WAY STOP,0,796.3,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.004594,-85.251715,STOP SIGN,330B717001,00,,--
0,HAMILTON,0B718,0-NONE ,1,2,9-OTHER-MINOR,1-WAY STOP,0,811,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.005927,-85.256402,STOP SIGN,330B718001,00,,--
0.301,HAMILTON,0B718,0-NONE ,1,0,9-OTHER-MINOR,1-WAY STOP,0,780.5,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.004819,-85.252248,STOP SIGN,330B718001,00,,--
0,HAMILTON,0B719,0-NONE ,1,2,9-OTHER-MINOR,1-WAY STOP,0,821.5,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.003366,-85.255551,STOP SIGN,330B719001,00,,--
0.145,HAMILTON,0B719,0-NONE ,1,0,9-OTHER-MINOR,1-WAY YIELD,0,794.9,908   1-WAY YIELD SIGN,AUTO_INV,3/20/2009 7:47:22 AM,35.003671,-85.253707,YIELD SIGN,330B719001,00,,--
0.219,HAMILTON,0B719,0-NONE ,1,0,9-OTHER-MINOR,4-WAY STOP,0,803.1,904   4-WAY STOP,AUTO_INV,3/20/2009 7:47:22 AM,35.003327,-85.252495,089,330B719001,00,,--
0.425,HAMILTON,0B719,0-NONE ,1,0,9-OTHER-MINOR,1-WAY STOP,0,763.1,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.002833,-85.248963,STOP SIGN,330B719001,00,,--
0,HAMILTON,0B720,0-NONE ,1,2,9-OTHER-MINOR,1-WAY STOP,0,828.4,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.004447,-85.258402,STOP SIGN,330B720001,00,,--
0,HAMILTON,0B721,0-NONE ,1,2,9-OTHER-MINOR,1-WAY STOP,0,809.7,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.00244,-85.256845,STOP SIGN,330B721001,00,,--
0.171,HAMILTON,0B721,0-NONE ,1,0,9-OTHER-MINOR,4-WAY STOP,0,847.1,904   4-WAY STOP,AUTO_INV,3/20/2009 7:47:22 AM,35.001287,-85.254529,089,330B721001,00,,--
0,HAMILTON,0B722,0-NONE ,1,2,9-OTHER-MINOR,1-WAY STOP,0,761.5,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,34.998065,-85.253505,STOP SIGN,330B722001,00,,--
0.161,HAMILTON,0B722,0-NONE ,1,0,9-OTHER-MINOR,2-WAY STOP,0,800.5,902   2-WAY STOP,AUTO_INV,3/20/2009 7:47:22 AM,34.999965,-85.254595,087,330B722001,00,,--
0,HAMILTON,0B723,0-NONE ,1,2,9-OTHER-MINOR,1-WAY STOP,0,765.7,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,34.998338,-85.253518,STOP SIGN,330B723001,00,,--
0.107,HAMILTON,0B723,0-NONE ,1,0,9-OTHER-MINOR,2-WAY STOP,0,778.5,902   2-WAY STOP,AUTO_INV,3/20/2009 7:47:22 AM,34.999166,-85.255107,087,330B723001,00,,--
0.512,HAMILTON,0B723,0-NONE ,1,0,9-OTHER-MINOR,1-WAY STOP,0,814,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.003738,-85.259433,STOP SIGN,330B723001,00,,--
0,HAMILTON,0B725,0-NONE ,1,2,9-OTHER-MINOR,1-WAY STOP,0,801.2,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.000242,-85.251278,STOP SIGN,330B725001,00,,--
0.229,HAMILTON,0B725,0-NONE ,1,0,9-OTHER-MINOR,1-WAY STOP,0,734.6,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.000081,-85.247501,STOP SIGN,330B725001,00,,--
0,HAMILTON,0B726,0-NONE ,1,2,9-OTHER-MINOR,1-WAY STOP,0,747.7,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,34.999923,-85.248903,STOP SIGN,330B726001,00,,--
0.162,HAMILTON,0B726,0-NONE ,1,0,9-OTHER-MINOR,1-WAY STOP,0,765.7,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.001516,-85.249695,STOP SIGN,330B726001,00,,--
0,HAMILTON,0B727,0-NONE ,1,2,9-OTHER-MINOR,1-WAY STOP,0,741.1,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.005697,-85.247363,STOP SIGN,330B727001,00,,--
0,HAMILTON,0B728,0-NONE ,1,2,9-OTHER-MINOR,1-WAY STOP,0,753.6,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,34.998389,-85.248454,STOP SIGN,330B728001,00,,--
0,HAMILTON,0B729,0-NONE ,1,2,9-OTHER-MINOR,1-WAY STOP,0,744.1,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,34.999514,-85.247848,STOP SIGN,330B729001,00,,--
0,HAMILTON,0B730,0-NONE ,1,2,9-OTHER-MINOR,1-WAY STOP,0,729.7,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.00099,-85.246884,STOP SIGN,330B730001,00,,--
0.35,HAMILTON,0B730,0-NONE ,1,0,9-OTHER-MINOR,1-WAY STOP,0,725.4,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,34.997569,-85.246207,STOP SIGN,330B730001,00,,--
0,HAMILTON,0B731,0-NONE ,1,2,9-OTHER-MINOR,1-WAY STOP,0,723.8,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.003644,-85.245259,STOP SIGN,330B731001,00,,--
0.067,HAMILTON,0B732,0-NONE ,1,0,9-OTHER-MINOR,1-WAY STOP,0,723.1,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.001469,-85.246467,STOP SIGN,330B732001,00,,--
0,HAMILTON,0B733,0-NONE ,1,2,9-OTHER-MINOR,1-WAY STOP,0,739.8,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.007008,-85.244974,STOP SIGN,330B733001,00,,--
0.151,HAMILTON,0B733,0-NONE ,1,0,9-OTHER-MINOR,1-WAY STOP,0,733.6,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.005173,-85.246202,STOP SIGN,330B733001,00,,--
0,HAMILTON,0B734,0-NONE ,1,2,9-OTHER-MINOR,1-WAY STOP,0,753.3,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.006047,-85.245906,STOP SIGN,330B734001,00,,--
0,HAMILTON,0B735,0-NONE ,1,2,9-OTHER-MINOR,1-WAY STOP,0,744.8,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.00896,-85.244898,STOP SIGN,330B735001,00,,--
0.102,HAMILTON,0B736,0-NONE ,1,0,9-OTHER-MINOR,2-WAY STOP,0,836.6,902   2-WAY STOP,AUTO_INV,3/20/2009 7:47:22 AM,35.003301,-85.251086,087,330B736001,00,,--
0,HAMILTON,0B739,0-NONE ,1,3,9-OTHER-MINOR,1-WAY STOP,0,745.4,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.006058,-85.247801,STOP SIGN,330B739001,00,,--
0,HAMILTON,0B740,0-NONE ,1,2,9-OTHER-MINOR,1-WAY STOP,0,733.3,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.004088,-85.243457,STOP SIGN,330B740001,00,,--
0.557,HAMILTON,0B740,0-NONE ,1,0,9-OTHER-MINOR,2-WAY STOP,0,745.1,902   2-WAY STOP,AUTO_INV,3/20/2009 7:47:22 AM,35.009546,-85.244692,087,330B740001,00,,--
0,HAMILTON,0B741,0-NONE ,1,2,9-OTHER-MINOR,1-WAY STOP,0,779.5,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.010042,-85.2461,STOP SIGN,330B741001,00,,--
0.09,HAMILTON,0B741,0-NONE ,1,0,9-OTHER-MINOR,1-WAY STOP,0,754.6,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.011211,-85.245444,STOP SIGN,330B741001,00,,--
0,HAMILTON,0B742,0-NONE ,1,2,9-OTHER-MINOR,1-WAY STOP,0,767.1,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.010807,-85.245689,STOP SIGN,330B742001,00,,--
0.139,HAMILTON,0B742,0-NONE ,1,0,9-OTHER-MINOR,1-WAY STOP,0,833.3,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.010528,-85.247445,STOP SIGN,330B742001,00,,--
0,HAMILTON,0B743,0-NONE ,1,2,9-OTHER-MINOR,1-WAY STOP,0,720.5,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.006559,-85.242328,STOP SIGN,330B743001,00,,--
0.198,HAMILTON,0B743,0-NONE ,1,0,9-OTHER-MINOR,1-WAY STOP,0,744.1,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.007813,-85.244768,STOP SIGN,330B743001,00,,--
0,HAMILTON,0B744,0-NONE ,1,2,9-OTHER-MINOR,1-WAY STOP,0,729.3,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.002803,-85.242873,STOP SIGN,330B744001,00,,--
0.103,HAMILTON,0B744,0-NONE ,1,0,9-OTHER-MINOR,2-WAY STOP,0,720.8,902   2-WAY STOP,AUTO_INV,3/20/2009 7:47:22 AM,35.003076,-85.24179,087,330B744001,00,,--
0.48,HAMILTON,0B744,0-NONE ,1,0,9-OTHER-MINOR,1-WAY STOP,0,722.8,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.007438,-85.241834,STOP SIGN,330B744001,00,,--
0,HAMILTON,0B745,0-NONE ,1,2,9-OTHER-MINOR,1-WAY STOP,0,736.2,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.009571,-85.240969,STOP SIGN,330B745001,00,,--
