"","1","2","3","4"
"571",0,0,0,1
"572",3,1,1,1
"573",4,5,0,5
"574",2,0,1,1
"575",4,1,3,5
"576",2,0,0,2
"577",8,1,1,2
"578",4,1,0,4
"579",1,0,1,1
"580",0,0,2,0
"581",2,0,0,1
"582",0,1,1,0
"583",1,1,1,2
"584",4,2,5,5
"585",11,0,8,9
"586",4,0,4,3
"587",9,0,3,3
"588",13,2,13,26
"589",1,1,0,1
"590",3,0,1,2
"591",2,0,1,4
"592",8,3,3,6
"593",0,0,1,1
"594",0,1,2,1
"595",0,0,1,4
"596",3,3,2,1
"597",19,7,15,15
"598",6,1,4,9
"599",1,0,1,0
"601",0,0,0,1
"602",1,0,2,0
"603",0,0,0,2
"610",2,0,0,0
"611",0,1,0,2
"612",0,0,0,3
"613",6,2,0,1
"615",0,0,1,0
"616",5,1,1,4
"617",6,1,10,7
"618",3,1,5,3
"619",3,0,5,7
"620",2,0,2,0
"621",10,4,12,14
"622",3,1,7,6
"625",6,6,8,4
"626",1,2,0,1
"629",2,0,0,0
"630",3,1,0,2
"631",22,4,14,25
"632",1,0,0,1
"633",1,1,1,2
"634",1,0,1,0
"635",3,0,0,0
"636",5,4,6,3
"637",2,1,0,1
"638",1,2,1,0
"639",0,1,1,5
"640",7,2,4,4
"642",3,0,0,1
"643",2,0,1,1
"644",2,0,0,0
"646",0,1,0,1
"647",0,0,0,2
"649",1,0,0,0
"651",0,0,0,1
"652",0,0,0,1
"653",0,0,0,2
"656",1,0,0,1
"657",2,0,0,0
"658",3,1,0,0
"659",0,1,0,0
"660",1,1,1,2
"661",3,3,4,4
"662",8,0,2,2
"665",13,4,9,18
"666",0,0,1,0
"668",0,1,0,0
"670",0,1,0,1
"671",5,4,3,3
"672",2,0,2,6
"673",0,0,1,4
"674",0,0,0,1
"675",0,1,0,0
"676",0,0,0,2
"680",3,3,0,1
"681",2,1,0,1
"683",0,0,0,2
"686",0,0,0,1
"687",1,0,0,1
"689",1,0,0,1
"690",2,0,2,2
"691",1,1,0,0
"693",1,0,2,0
"694",1,0,2,3
"695",1,0,0,3
"696",0,0,0,1
"697",1,0,0,2
"698",6,0,0,2
"699",0,0,0,3
"700",9,0,0,1
"701",2,1,2,3
"702",0,0,0,1
"703",4,0,1,0
"704",1,0,3,1
"705",1,2,0,0
"709",0,0,0,1
"710",3,0,3,1
"712",1,1,0,0
"716",0,4,0,1
"717",0,0,1,0
"718",0,2,0,1
"719",7,5,4,11
"720",2,1,3,5
"721",1,0,0,0
"722",0,1,0,0
"723",0,1,0,0
"724",3,0,0,2
"725",5,0,0,3
"727",1,0,0,4
"731",1,0,0,0
"734",1,1,1,1
"735",10,0,8,16
"736",6,2,6,11
"737",0,0,0,1
"739",0,0,0,1
"740",0,0,1,0
"744",1,0,0,0
"745",1,0,0,0
"746",1,0,0,1
"747",3,1,0,1
"753",0,0,0,1
"754",2,0,0,2
"755",2,0,0,0
"756",0,1,0,1
"758",1,0,0,0
"759",1,0,2,3
"760",7,2,2,5
"762",2,0,0,0
"764",3,0,1,3
"765",3,1,0,0
"766",1,0,0,0
"767",6,1,6,18
"768",16,2,5,20
"769",1,0,0,0
"772",1,0,0,0
"773",2,0,0,1
"778",2,1,0,0
"779",8,6,2,3
"780",2,0,2,1
"783",1,1,0,1
"788",7,2,1,3
"789",5,0,0,1
"790",2,0,0,3
"793",2,0,1,4
"797",2,0,2,8
"798",3,2,12,15
"799",1,2,7,8
"800",1,0,0,3
"803",0,1,2,1
"804",0,0,0,2
"805",0,0,1,1
"808",1,2,0,0
"809",2,0,0,0
"810",0,0,1,1
"812",3,0,3,1
"820",0,1,0,0
"821",25,14,7,15
"822",3,0,0,3
"823",1,0,0,0
"824",7,1,1,5
"828",1,0,8,7
"831",1,0,0,0
"832",0,1,0,0
"837",1,1,0,1
"838",0,0,0,1
"840",0,0,1,1
"841",2,0,1,0
"842",1,0,0,0
"848",0,0,0,1
"849",4,3,1,6
"850",24,8,15,15
"851",39,4,20,42
"852",6,2,2,7
"856",1,0,0,0
"857",0,0,0,1
"859",1,0,0,0
"864",1,0,0,0
"866",2,0,0,1
"867",3,0,0,13
"868",0,2,0,0
"871",0,0,0,1
"873",5,0,0,0
"874",5,2,0,1
"875",0,1,0,0
"876",3,0,5,7
"877",6,0,2,6
"878",0,0,0,3
"882",0,0,0,1
"886",1,0,0,0
"887",2,0,2,2
"888",1,0,0,0
"889",0,1,0,0
"890",1,0,0,2
"891",3,1,4,0
"892",2,0,0,0
"894",1,0,0,0
"895",0,0,0,1
"896",4,0,0,0
"897",0,0,1,0
"898",1,0,0,0
"900",1,1,1,5
