Index,GridBlock,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
72,101,0,0,0,0,0,1,0,0,0,1,0,1,1,1,2,2,5,0,1,0,1,2,0,0
73,102,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,3,0,1,0,0,0,0
74,103,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,1,0,0,1,1,0,0
75,104,0,0,0,1,1,0,3,0,3,2,3,4,3,2,3,3,2,7,0,0,0,0,0,0
76,105,0,0,2,2,0,0,2,0,1,2,0,0,1,4,5,3,5,5,2,0,0,0,1,2
77,106,0,0,0,1,0,0,5,7,2,2,2,1,2,7,5,8,10,7,4,3,2,0,0,8
78,107,0,0,0,0,0,0,0,9,3,2,2,0,2,2,1,4,0,6,6,3,3,0,0,1
79,108,0,0,1,0,0,0,1,6,7,4,2,2,8,3,4,0,5,3,2,2,0,0,0,3
80,109,0,0,0,0,0,0,0,1,11,1,0,1,0,3,4,4,2,4,1,2,1,0,0,0
81,110,0,0,0,1,0,0,1,1,6,4,1,3,4,1,1,5,3,1,2,3,0,1,1,2
82,111,0,0,0,0,0,0,3,0,3,0,0,1,2,1,1,1,2,1,2,2,0,0,0,0
83,112,0,1,2,0,2,2,2,10,6,2,3,7,6,5,3,7,2,2,2,0,0,0,1,3
84,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
85,124,0,1,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
86,125,0,0,0,0,0,0,2,3,10,6,6,9,5,8,12,12,17,14,7,5,1,1,0,0
87,126,0,0,0,0,0,0,0,1,6,3,2,7,14,9,5,6,6,6,2,1,3,0,0,1
88,127,0,0,0,0,0,0,1,1,2,1,0,2,5,0,7,5,0,3,0,3,1,0,0,0
89,128,1,0,0,0,0,0,0,2,3,1,0,1,2,1,1,5,1,3,4,2,0,0,0,0
90,129,0,0,0,0,0,0,3,1,2,1,1,1,0,1,1,1,0,4,3,0,0,0,0,0
91,130,0,0,0,0,0,0,1,3,1,0,0,0,1,0,0,5,0,0,2,0,0,0,0,0
92,131,0,0,0,0,0,0,1,0,1,1,0,3,4,1,3,4,3,4,0,1,0,0,2,0
93,132,1,0,0,0,1,0,0,1,2,0,0,1,0,0,1,4,0,3,0,2,0,0,0,0
94,133,0,0,0,0,0,0,0,1,6,0,1,0,1,0,2,2,2,4,0,0,0,2,0,0
95,134,1,1,0,0,0,0,0,5,1,1,5,1,5,3,1,4,5,6,0,1,1,1,0,0
96,135,0,0,0,0,0,0,1,2,1,0,3,1,5,1,5,4,3,5,0,0,1,0,0,0
97,136,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,2,1,0,0,0,0,0
98,137,0,1,0,0,0,0,1,1,0,0,7,0,1,2,4,2,5,3,4,0,0,0,1,0
99,138,0,0,0,0,0,0,1,0,0,1,2,1,2,3,6,5,4,2,3,3,0,1,0,0
100,139,0,0,0,0,0,0,0,2,1,2,10,0,12,11,4,5,1,0,2,2,4,0,0,0
101,140,0,2,1,1,1,0,5,7,15,2,1,9,6,9,10,12,5,8,4,0,0,0,0,2
102,141,0,0,1,0,1,0,2,6,5,7,1,2,1,4,1,4,2,1,0,2,0,0,0,0
103,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
