"","1","2","3","4"
"875",1,1,0,1
"876",0,0,0,1
"877",0,0,0,1
"878",0,0,2,0
"879",0,0,1,0
"888",0,0,0,1
"890",0,0,1,0
"892",0,0,1,0
"898",0,1,0,0
"900",0,0,0,1
"901",2,0,0,0
