GRID_ID,ORIG_FID,X,Y,Center_Lat,Center_Long,Ghost_Lat,Ghost_Long
L-11,531,-85.292185,35.1131714,35.1115134362346,-85.2973907409286,35.1140003818827,-85.2895821295357
L-11,531,-85.29537309,35.10723585,,,35.1050970568827,-85.2943642645357
L-11,531,-85.3025963,35.10985531,,,35.1090262468827,-85.3051990795357
L-11,531,-85.29940862,35.11579106,,,35.1179298718827,-85.3004175595357
L-11,531,-85.292185,35.1131714,,,35.1140003818827,-85.2895821295357
M-11,532,-85.28496185,35.11055132,35.1088936662339,-85.2901675609227,35.1113801468831,-85.2823589945387
M-11,532,-85.28815035,35.10461597,,,35.1024771218831,-85.2871417445386
M-11,532,-85.29537309,35.10723585,,,35.1064069418831,-85.2979758545386
M-11,532,-85.292185,35.1131714,,,35.1153102668831,-85.2931937195386
M-11,532,-85.28496185,35.11055132,,,35.1113801468831,-85.2823589945387
N-11,533,-85.27773918,35.10793082,35.1062734757717,-85.2829448540327,35.1087594921141,-85.2751363429837
N-11,533,-85.28092808,35.10199567,,,35.0998567671141,-85.2799196929837
N-11,533,-85.28815035,35.10461597,,,35.1037872171141,-85.2907530979837
N-11,533,-85.28496185,35.11055132,,,35.1126902421141,-85.2859703479837
N-11,533,-85.27773918,35.10793082,,,35.1087594921141,-85.2751363429837
O-11,534,-85.270517,35.10530991,35.1036528676552,-85.2757226283437,35.1061384311724,-85.2679141858281
O-11,534,-85.2737063,35.09937495,,,35.0972359911724,-85.2726981358281
O-11,534,-85.28092808,35.10199567,,,35.1011670711724,-85.2835308058281
O-11,534,-85.27773918,35.10793082,,,35.1100697961724,-85.2787474558281
O-11,534,-85.270517,35.10530991,,,35.1061384311724,-85.2679141858281
P-11,535,-85.26329529,35.10268857,35.1010318443476,-85.2685008865881,35.1035169328262,-85.260692491706
P-11,535,-85.266485,35.09675382,,,35.0946148078262,-85.265477056706
P-11,535,-85.2737063,35.09937495,,,35.0985465028262,-85.276309006706
P-11,535,-85.270517,35.10530991,,,35.1074489428262,-85.271525056706
P-11,535,-85.26329529,35.10268857,,,35.1035169328262,-85.260692491706
Q-11,536,-85.25607405,35.10006682,35.0984104012309,-85.2612796158993,35.1008950293846,-85.2534712670504
Q-11,536,-85.25926417,35.09413227,,,35.0919932043845,-85.2582564470504
Q-11,536,-85.266485,35.09675382,,,35.0959255293846,-85.2690876920504
Q-11,536,-85.26329529,35.10268857,,,35.1048276543845,-85.2643031270504
Q-11,536,-85.25607405,35.10006682,,,35.1008950293846,-85.2534712670504
R-11,537,-85.2488533,35.09744465,35.095788540769,-85.2540588240095,35.0982727046155,-85.2462505379953
R-11,537,-85.25204382,35.0915103,,,35.0893711796155,-85.2510363179953
R-11,537,-85.25926417,35.09413227,,,35.0933041346155,-85.2618668429953
R-11,537,-85.25607405,35.10006682,,,35.1022059596155,-85.2570816629953
R-11,537,-85.2488533,35.09744465,,,35.0982727046155,-85.2462505379953
S-11,538,-85.24163302,35.09482206,35.0931662607683,-85.2468385090037,35.0956499596159,-85.2390302754981
S-11,538,-85.24482394,35.08888791,,,35.0867487346159,-85.2438166554981
S-11,538,-85.25204382,35.0915103,,,35.0906823196159,-85.2546464754981
S-11,538,-85.2488533,35.09744465,,,35.0995838446159,-85.2498606954981
S-11,538,-85.24163302,35.09482206,,,35.0956499596159,-85.2390302754981
T-11,539,-85.23441322,35.09219906,35.0905435631124,-85.2396186701992,35.0930268084438,-85.2318104949004
T-11,539,-85.23760455,35.0862651,,,35.0841258684438,-85.2365974899004
T-11,539,-85.24482394,35.08888791,,,35.0880600834438,-85.2474265749004
T-11,539,-85.24163302,35.09482206,,,35.0969613084438,-85.2426401949004
T-11,539,-85.23441322,35.09219906,,,35.0930268084438,-85.2318104949004
U-11,540,-85.22719389,35.08957563,35.0879204493443,-85.2323993115581,35.0904032203279,-85.2245911792209
U-11,540,-85.23038563,35.08364188,,,35.0815025953279,-85.229378789221
U-11,540,-85.23760455,35.0862651,,,35.0854374253279,-85.240207169221
U-11,540,-85.23441322,35.09219906,,,35.0943383653279,-85.2354201742209
U-11,540,-85.22719389,35.08957563,,,35.0904032203279,-85.2245911792209
V-11,541,-85.21997505,35.08695179,35.0852969157662,-85.2251804289863,35.0877792271169,-85.2173723605068
V-11,541,-85.22316719,35.08101824,,,35.0788789021169,-85.2221605705068
V-11,541,-85.23038563,35.08364188,,,35.0828143621169,-85.2329882305068
V-11,541,-85.22719389,35.08957563,,,35.0917149871169,-85.2282006205068
V-11,541,-85.21997505,35.08695179,,,35.0877792271169,-85.2173723605068
W-11,542,-85.21275668,35.08432754,35.0826729707655,-85.2179620239806,35.0851548246172,-85.2101540080097
W-11,542,-85.21594922,35.07839419,,,35.0762547996172,-85.2149428180097
W-11,542,-85.22316719,35.08101824,,,35.0801908746172,-85.2257697730097
W-11,542,-85.21997505,35.08695179,,,35.0890911996172,-85.2209815630097
W-11,542,-85.21275668,35.08432754,,,35.0851548246172,-85.2101540080097
X-11,543,-85.20553879,35.08170286,35.0800486062256,-85.2107440958582,35.0825299868872,-85.2029361370709
X-11,543,-85.20873174,35.07576971,,,35.0736302618872,-85.2077255620709
X-11,543,-85.21594922,35.07839419,,,35.0775669818872,-85.2185517820709
X-11,543,-85.21275668,35.08432754,,,35.0864670068872,-85.2137629720709
X-11,543,-85.20553879,35.08170286,,,35.0825299868872,-85.2029361370709
Y-11,544,-85.19832138,35.07907777,35.0774238207642,-85.203526648969,35.0799047446179,-85.1957187455155
Y-11,544,-85.20151473,35.07314482,,,35.0710053196179,-85.2005087705155
Y-11,544,-85.20873174,35.07576971,,,35.0749426546179,-85.2113342855155
Y-11,544,-85.20553879,35.08170286,,,35.0838423796179,-85.2065448605155
Y-11,544,-85.19832138,35.07907777,,,35.0799047446179,-85.1957187455155
Z-11,545,-85.19110445,35.07645226,35.0747986207634,-85.1963096789632,35.0772790796183,-85.1885018355184
