"","1","2","3","4"
"593",3,7,5,10
"594",3,5,7,10
"595",6,0,3,6
"596",22,15,7,13
"597",66,64,56,107
"598",37,19,17,43
"599",2,0,1,0
"600",0,2,0,0
"601",2,0,0,1
"602",10,1,2,5
"603",5,0,1,6
"604",1,0,0,0
"605",1,1,0,2
"607",1,0,0,2
"608",2,2,0,0
"609",2,0,0,1
"610",5,3,0,1
"611",0,1,3,9
"612",5,2,5,16
"613",8,7,5,8
"614",0,2,2,0
"615",3,2,3,5
"616",12,7,4,17
"617",19,26,30,69
"618",17,7,15,19
"619",8,5,13,20
"620",5,1,10,4
"621",41,28,44,116
"622",11,13,11,40
"623",0,1,1,2
"624",0,2,1,5
"625",17,29,19,46
"626",3,6,2,8
"628",0,0,0,1
"629",2,1,0,1
"630",6,4,4,5
"631",68,25,36,92
"632",4,3,6,10
"633",8,3,1,7
"634",1,0,4,6
"635",20,8,2,12
"636",15,37,15,36
"637",10,11,5,17
"638",14,15,5,10
"639",4,1,3,12
"640",17,21,12,21
"641",0,0,0,1
"642",6,1,0,3
"643",2,1,3,2
"644",2,0,1,1
"646",1,2,0,2
"647",1,1,0,2
"649",1,0,0,1
"650",0,4,0,0
"651",1,1,0,4
"652",2,2,3,8
"653",2,1,0,4
"655",0,2,0,2
"656",7,2,0,2
"657",3,0,0,0
"658",4,2,2,4
"659",8,2,0,1
"660",6,2,3,8
"661",4,8,10,19
"662",21,17,20,28
"663",3,0,1,0
"664",0,0,1,1
"665",27,32,24,72
"666",0,1,1,0
"668",0,1,0,0
"669",0,0,0,2
"670",3,2,5,2
"671",23,11,12,34
"672",12,5,15,45
"673",0,1,1,7
"674",0,1,0,2
"675",1,3,3,2
"676",3,13,4,15
"678",1,2,0,5
"679",4,10,0,4
"680",10,6,5,4
"681",6,4,3,2
"682",1,0,0,0
"683",1,1,0,4
"684",0,0,0,2
"686",0,0,0,2
"687",1,3,0,6
"689",2,3,1,4
"690",7,0,3,6
"691",3,6,6,13
"693",2,2,2,0
"694",1,5,3,3
"695",3,2,0,8
"696",0,4,3,4
"697",3,0,0,2
"698",11,3,2,5
"699",7,0,1,8
"700",20,19,21,65
"701",14,8,8,38
"702",4,2,1,12
"703",10,5,3,17
"704",9,5,6,8
"705",4,3,1,7
"709",3,0,0,2
"710",16,14,15,25
"712",3,2,0,3
"716",21,38,10,38
"717",1,4,4,2
"718",3,8,3,6
"719",47,38,26,46
"720",23,8,13,23
"721",6,1,7,3
"722",2,3,1,3
"723",0,4,0,0
"724",6,3,6,10
"725",9,3,12,22
"726",0,0,0,1
"727",5,3,10,19
"729",1,0,0,2
"730",0,1,6,5
"731",2,2,0,4
"732",3,2,0,0
"733",0,1,0,1
"734",4,2,3,2
"735",42,35,37,100
"736",20,20,34,80
"737",0,1,2,3
"738",0,0,1,0
"739",1,2,0,2
"740",1,4,1,1
"744",1,1,0,0
"745",2,2,2,1
"746",4,7,5,14
"747",7,9,2,2
"750",2,6,6,3
"753",1,0,0,1
"754",13,7,4,10
"755",6,1,4,1
"756",2,1,6,2
"757",1,0,0,0
"758",6,0,0,0
"759",14,10,5,14
"760",18,11,9,37
"761",0,2,1,3
"762",3,1,0,0
"764",5,6,4,10
"765",13,10,2,8
"766",6,3,5,5
"767",20,6,36,77
"768",49,10,56,94
"769",3,2,6,9
"770",0,2,2,2
"772",5,1,0,1
"773",3,0,0,1
"774",1,0,0,3
"778",6,4,1,2
"779",32,23,12,27
"780",6,1,2,5
"783",2,2,2,2
"786",0,0,0,1
"787",1,0,0,0
"788",22,11,2,17
"789",12,2,2,5
"790",5,1,2,6
"791",2,0,0,0
"792",0,0,1,0
"793",4,0,6,7
"797",10,8,15,38
"798",31,18,30,66
"799",11,9,20,44
"800",3,3,1,6
"803",3,6,5,3
"804",0,6,1,4
"805",0,1,1,2
"808",2,3,0,5
"809",3,1,0,2
"810",5,6,5,11
"811",4,7,2,2
"812",5,0,7,3
"813",0,1,0,0
"819",1,0,0,0
"820",2,3,0,0
"821",65,64,35,86
"822",10,0,0,11
"823",1,0,0,2
"824",17,10,14,21
"828",8,8,10,33
"830",1,0,0,1
"831",1,7,4,8
"832",0,1,0,0
"833",0,0,0,2
"837",3,1,0,3
"838",2,0,1,2
"840",6,2,3,12
"841",4,7,2,5
"842",1,0,0,0
"847",0,0,0,1
"848",3,1,0,3
"849",22,22,4,18
"850",88,49,36,109
"851",132,42,106,241
"852",19,8,12,49
"856",4,0,1,6
"857",2,3,0,1
"859",1,1,0,0
"864",2,0,5,2
"866",2,2,0,2
"867",10,3,2,30
"868",0,2,1,0
"871",0,0,0,2
"872",0,0,0,2
"873",5,0,0,0
"874",7,4,0,11
"875",3,2,0,0
"876",16,21,15,41
"877",16,6,12,31
"878",0,1,0,6
"882",1,2,1,3
"885",0,0,1,0
"886",2,2,1,0
"887",5,2,2,5
"888",1,0,0,0
"889",2,2,0,0
"890",7,4,0,6
"891",10,4,5,10
"892",3,1,0,1
"893",0,0,1,0
"894",1,0,1,1
"895",0,0,0,1
"896",7,0,0,2
"897",2,0,2,0
"898",1,0,0,0
"899",3,1,1,4
"900",7,6,13,26
