Hour,DayFrame,WeekDay,WeekEnd,Clear,Cloudy,Rain,Foggy,Snow,RainBefore,Grid_Block,Grid_Col,Grid_Row,Highway,Land_Use_Mode,Road_Count,Unix,precipIntensity,humidity,Prediction,Probability
16,4,0,1,0,1,0,0,0,0,16,23,26,0,7,21,1517778000,0.0,0.87,1,0.9998495578765869
20,1,0,1,0,1,0,0,0,0,16,23,26,0,7,21,1517792400,0.0,0.79,1,0.9998512864112854
23,1,0,1,0,1,0,0,0,0,16,23,26,0,7,21,1517803200,0.0,0.85,1,0.9998534917831421
0,1,0,1,0,1,0,0,0,0,17,24,26,0,7,12,1517720400,0.0,0.36,1,0.9910510778427124
4,1,0,1,0,0,1,0,0,1,17,24,26,0,7,12,1517734800,0.043,0.81,0,0.25589796900749207
8,2,0,1,0,0,1,0,0,1,17,24,26,0,7,12,1517749200,0.175,0.92,0,0.0012650489807128906
12,3,0,1,0,0,1,0,0,1,17,24,26,0,7,12,1517763600,0.005,0.92,1,0.9791752696037292
16,4,0,1,0,1,0,0,0,0,17,24,26,0,7,12,1517778000,0.0,0.86,1,0.9990537762641907
20,1,0,1,0,1,0,0,0,0,17,24,26,0,7,12,1517792400,0.0,0.79,1,0.9992122054100037
23,1,0,1,0,1,0,0,0,0,17,24,26,0,7,12,1517803200,0.0,0.85,1,0.9993761777877808
0,1,0,1,0,1,0,0,0,0,18,25,26,0,7,7,1517720400,0.0,0.36,0,0.22309470176696777
4,1,0,1,0,0,1,0,0,1,18,25,26,0,7,7,1517734800,0.043,0.81,0,0.004989326000213623
8,2,0,1,0,0,1,0,0,1,18,25,26,0,7,7,1517749200,0.176,0.92,0,0.0006366968154907227
12,3,0,1,0,0,1,0,0,1,18,25,26,0,7,7,1517763600,0.004,0.91,0,0.12157073616981506
16,4,0,1,0,1,0,0,0,0,18,25,26,0,7,7,1517778000,0.0,0.86,1,0.915948748588562
20,1,0,1,0,1,0,0,0,0,18,25,26,0,7,7,1517792400,0.0,0.78,1,0.9418342113494873
23,1,0,1,0,1,0,0,0,0,18,25,26,0,7,7,1517803200,0.0,0.84,1,0.9665529727935791
0,1,0,1,0,1,0,0,0,0,20,8,25,0,0,8,1517720400,0.0,0.37,1,0.9998694062232971
4,1,0,1,0,0,1,0,0,1,20,8,25,0,0,8,1517734800,0.052,0.8,1,0.9998694062232971
8,2,0,1,0,0,1,0,0,1,20,8,25,0,0,8,1517749200,0.156,0.9,1,0.9998694658279419
12,3,0,1,0,0,1,0,0,1,20,8,25,0,0,8,1517763600,0.007,0.9,1,0.9998694658279419
16,4,0,1,0,1,0,0,0,0,20,8,25,0,0,8,1517778000,0.0,0.86,1,0.9998694062232971
20,1,0,1,0,1,0,0,0,0,20,8,25,0,0,8,1517792400,0.0,0.78,1,0.9998694062232971
23,1,0,1,0,1,0,0,0,0,20,8,25,0,0,8,1517803200,0.0,0.84,1,0.9998694062232971
0,1,0,1,0,1,0,0,0,0,21,9,25,0,7,11,1517720400,0.0,0.37,0,0.29246771335601807
4,1,0,1,0,0,1,0,0,1,21,9,25,0,7,11,1517734800,0.052,0.79,0,0.004005491733551025
8,2,0,1,0,0,1,0,0,1,21,9,25,0,7,11,1517749200,0.157,0.89,0,0.0007255971431732178
