Hour,DayFrame,WeekDay,WeekEnd,Clear,Cloudy,Rain,Foggy,Snow,RainBefore,Grid_Block,Grid_Col,Grid_Row,Land_Use_Mode,Road_Count,Unix,precipIntensity,humidity,Prediction,Probability
8,2,0,1,0,0,1,0,0,1,17,24,26,7,12,1517749200,0.175,0.92,1,0.9999940395355225
12,3,0,1,0,0,1,0,0,1,17,24,26,7,12,1517763600,0.005,0.92,1,0.9999940395355225
16,4,0,1,0,1,0,0,0,0,17,24,26,7,12,1517778000,0.0,0.86,1,0.9999940395355225
20,1,0,1,0,1,0,0,0,0,17,24,26,7,12,1517792400,0.0,0.79,1,0.9999940395355225
23,1,0,1,0,1,0,0,0,0,17,24,26,7,12,1517803200,0.0,0.85,1,0.9999940395355225
0,1,0,1,0,1,0,0,0,0,18,25,26,7,7,1517720400,0.0,0.36,1,0.9999940395355225
4,1,0,1,0,0,1,0,0,1,18,25,26,7,7,1517734800,0.043,0.81,1,0.9999940395355225
8,2,0,1,0,0,1,0,0,1,18,25,26,7,7,1517749200,0.176,0.92,1,0.9999940395355225
12,3,0,1,0,0,1,0,0,1,18,25,26,7,7,1517763600,0.004,0.91,1,0.9999940395355225
16,4,0,1,0,1,0,0,0,0,18,25,26,7,7,1517778000,0.0,0.86,1,0.9999940395355225
20,1,0,1,0,1,0,0,0,0,18,25,26,7,7,1517792400,0.0,0.78,1,0.9999940395355225
23,1,0,1,0,1,0,0,0,0,18,25,26,7,7,1517803200,0.0,0.84,1,0.9999940395355225
0,1,0,1,0,1,0,0,0,0,20,8,25,0,8,1517720400,0.0,0.37,1,0.9999940395355225
4,1,0,1,0,0,1,0,0,1,20,8,25,0,8,1517734800,0.052,0.8,1,0.9999940395355225
8,2,0,1,0,0,1,0,0,1,20,8,25,0,8,1517749200,0.156,0.9,1,0.9999940395355225
12,3,0,1,0,0,1,0,0,1,20,8,25,0,8,1517763600,0.007,0.9,1,0.9999940395355225
16,4,0,1,0,1,0,0,0,0,20,8,25,0,8,1517778000,0.0,0.86,1,0.9999940395355225
20,1,0,1,0,1,0,0,0,0,20,8,25,0,8,1517792400,0.0,0.78,1,0.9999940395355225
23,1,0,1,0,1,0,0,0,0,20,8,25,0,8,1517803200,0.0,0.84,1,0.9999940395355225
0,1,0,1,0,1,0,0,0,0,21,9,25,7,11,1517720400,0.0,0.37,1,0.9999940395355225
4,1,0,1,0,0,1,0,0,1,21,9,25,7,11,1517734800,0.052,0.79,1,0.9999940395355225
8,2,0,1,0,0,1,0,0,1,21,9,25,7,11,1517749200,0.157,0.89,1,0.9999940395355225
