Hour,DayFrame,WeekDay,WeekEnd,Clear,Cloudy,Rain,Foggy,Snow,RainBefore,Grid_Block,Grid_Col,Grid_Row,Land_Use_Mode,Road_Count,Unix,precipIntensity,Prediction,Probability
16,4,0,1,0,1,0,0,0,0,21,9,25,7,11,1517778000,0.0,1,0.9999307990074158
20,1,0,1,0,1,0,0,0,0,21,9,25,7,11,1517792400,0.0,1,0.9999308586120605
23,1,0,1,0,1,0,0,0,0,21,9,25,7,11,1517803200,0.0,1,0.9999307990074158
0,1,0,1,0,1,0,0,0,0,22,10,25,0,1,1517720400,0.0,1,0.999930739402771
4,1,0,1,0,0,1,0,0,1,22,10,25,0,1,1517734800,0.051,1,0.999930739402771
8,2,0,1,0,0,1,0,0,1,22,10,25,0,1,1517749200,0.158,1,0.999930739402771
12,3,0,1,0,0,1,0,0,1,22,10,25,0,1,1517763600,0.007,1,0.999930739402771
16,4,0,1,0,1,0,0,0,0,22,10,25,0,1,1517778000,0.0,1,0.999930739402771
20,1,0,1,0,1,0,0,0,0,22,10,25,0,1,1517792400,0.0,1,0.999930739402771
23,1,0,1,0,1,0,0,0,0,22,10,25,0,1,1517803200,0.0,1,0.999930739402771
0,1,0,1,0,1,0,0,0,0,23,11,25,0,1,1517720400,0.0,1,0.999930739402771
4,1,0,1,0,0,1,0,0,1,23,11,25,0,1,1517734800,0.049,1,0.999930739402771
8,2,0,1,0,0,1,0,0,1,23,11,25,0,1,1517749200,0.16,1,0.999930739402771
12,3,0,1,0,0,1,0,0,1,23,11,25,0,1,1517763600,0.006,1,0.999930739402771
16,4,0,1,0,1,0,0,0,0,23,11,25,0,1,1517778000,0.0,1,0.999930739402771
20,1,0,1,0,1,0,0,0,0,23,11,25,0,1,1517792400,0.0,1,0.999930739402771
23,1,0,1,0,1,0,0,0,0,23,11,25,0,1,1517803200,0.0,1,0.999930739402771
0,1,0,1,0,1,0,0,0,0,24,12,25,0,1,1517720400,0.0,1,0.999930739402771
4,1,0,1,0,0,1,0,0,1,24,12,25,0,1,1517734800,0.048,1,0.999930739402771
8,2,0,1,0,0,1,0,0,1,24,12,25,0,1,1517749200,0.161,1,0.999930739402771
12,3,0,1,0,0,1,0,0,1,24,12,25,0,1,1517763600,0.006,1,0.999930739402771
16,4,0,1,0,1,0,0,0,0,24,12,25,0,1,1517778000,0.0,1,0.999930739402771
20,1,0,1,0,1,0,0,0,0,24,12,25,0,1,1517792400,0.0,1,0.999930739402771
23,1,0,1,0,1,0,0,0,0,24,12,25,0,1,1517803200,0.0,1,0.999930739402771
0,1,0,1,0,1,0,0,0,0,25,13,25,2,1,1517720400,0.0,1,0.999930739402771
4,1,0,1,0,0,1,0,0,1,25,13,25,2,1,1517734800,0.048,1,0.999930739402771
8,2,0,1,0,0,1,0,0,1,25,13,25,2,1,1517749200,0.163,1,0.999930739402771
12,3,0,1,0,0,1,0,0,1,25,13,25,2,1,1517763600,0.006,1,0.999930739402771
16,4,0,1,0,1,0,0,0,0,25,13,25,2,1,1517778000,0.0,1,0.999930739402771
20,1,0,1,0,1,0,0,0,0,25,13,25,2,1,1517792400,0.0,1,0.999930739402771
23,1,0,1,0,1,0,0,0,0,25,13,25,2,1,1517803200,0.0,1,0.999930739402771
0,1,0,1,0,1,0,0,0,0,26,14,25,5,1,1517720400,0.0,1,0.999930739402771
4,1,0,1,0,0,1,0,0,1,26,14,25,5,1,1517734800,0.048,1,0.999930739402771
8,2,0,1,0,0,1,0,0,1,26,14,25,5,1,1517749200,0.164,1,0.999930739402771
12,3,0,1,0,0,1,0,0,1,26,14,25,5,1,1517763600,0.006,1,0.999930739402771
16,4,0,1,0,1,0,0,0,0,26,14,25,5,1,1517778000,0.0,1,0.999930739402771
20,1,0,1,0,1,0,0,0,0,26,14,25,5,1,1517792400,0.0,1,0.999930739402771
23,1,0,1,0,1,0,0,0,0,26,14,25,5,1,1517803200,0.0,1,0.999930739402771
0,1,0,1,0,1,0,0,0,0,27,15,25,4,9,1517720400,0.0,1,0.999930739402771
4,1,0,1,0,0,1,0,0,1,27,15,25,4,9,1517734800,0.048,1,0.9999307990074158
8,2,0,1,0,0,1,0,0,1,27,15,25,4,9,1517749200,0.165,1,0.9999307990074158
12,3,0,1,0,0,1,0,0,1,27,15,25,4,9,1517763600,0.006,1,0.9999307990074158
16,4,0,1,0,1,0,0,0,0,27,15,25,4,9,1517778000,0.0,1,0.9999307990074158
20,1,0,1,0,1,0,0,0,0,27,15,25,4,9,1517792400,0.0,1,0.9999307990074158
23,1,0,1,0,1,0,0,0,0,27,15,25,4,9,1517803200,0.0,1,0.9999307990074158
0,1,0,1,0,1,0,0,0,0,28,16,25,5,10,1517720400,0.0,1,0.9999307990074158
4,1,0,1,0,0,1,0,0,1,28,16,25,5,10,1517734800,0.047,1,0.9999307990074158
8,2,0,1,0,0,1,0,0,1,28,16,25,5,10,1517749200,0.167,1,0.9999307990074158
12,3,0,1,0,0,1,0,0,1,28,16,25,5,10,1517763600,0.006,1,0.999930739402771
16,4,0,1,0,1,0,0,0,0,28,16,25,5,10,1517778000,0.0,1,0.9999307990074158
20,1,0,1,0,1,0,0,0,0,28,16,25,5,10,1517792400,0.0,1,0.999930739402771
23,1,0,1,0,1,0,0,0,0,28,16,25,5,10,1517803200,0.0,1,0.9999307990074158
0,1,0,1,0,1,0,0,0,0,29,17,25,0,1,1517720400,0.0,1,0.999930739402771
4,1,0,1,0,0,1,0,0,1,29,17,25,0,1,1517734800,0.047,1,0.999930739402771
8,2,0,1,0,0,1,0,0,1,29,17,25,0,1,1517749200,0.168,1,0.999930739402771
12,3,0,1,0,0,1,0,0,1,29,17,25,0,1,1517763600,0.006,1,0.999930739402771
16,4,0,1,0,1,0,0,0,0,29,17,25,0,1,1517778000,0.0,1,0.999930739402771
20,1,0,1,0,1,0,0,0,0,29,17,25,0,1,1517792400,0.0,1,0.999930739402771
23,1,0,1,0,1,0,0,0,0,29,17,25,0,1,1517803200,0.0,1,0.999930739402771
0,1,0,1,0,1,0,0,0,0,30,18,25,0,9,1517720400,0.0,1,0.999930739402771
4,1,0,1,0,0,1,0,0,1,30,18,25,0,9,1517734800,0.047,1,0.999930739402771
