Hour,DayFrame,WeekDay,WeekEnd,Clear,Cloudy,Rain,Foggy,Snow,RainBefore,Grid_Block,Grid_Col,Grid_Row,Highway,Land_Use_Mode,Road_Count,Unix,precipIntensity,Prediction,Probability
20,1,0,1,0,1,0,0,0,0,24,12,25,1,0,1,1517792400,0.0,1,0.9996426105499268
23,1,0,1,0,1,0,0,0,0,24,12,25,1,0,1,1517803200,0.0,1,0.9996427297592163
0,1,0,1,0,1,0,0,0,0,25,13,25,0,2,1,1517720400,0.0,1,0.9996426105499268
4,1,0,1,0,0,1,0,0,1,25,13,25,0,2,1,1517734800,0.048,1,0.9996427297592163
8,2,0,1,0,0,1,0,0,1,25,13,25,0,2,1,1517749200,0.163,1,0.9996427297592163
12,3,0,1,0,0,1,0,0,1,25,13,25,0,2,1,1517763600,0.006,1,0.9996427297592163
16,4,0,1,0,1,0,0,0,0,25,13,25,0,2,1,1517778000,0.0,1,0.9996426105499268
20,1,0,1,0,1,0,0,0,0,25,13,25,0,2,1,1517792400,0.0,1,0.9996426105499268
23,1,0,1,0,1,0,0,0,0,25,13,25,0,2,1,1517803200,0.0,1,0.9996426105499268
0,1,0,1,0,1,0,0,0,0,26,14,25,1,5,1,1517720400,0.0,0,0.0003750920295715332
4,1,0,1,0,0,1,0,0,1,26,14,25,1,5,1,1517734800,0.048,0,0.00036904215812683105
8,2,0,1,0,0,1,0,0,1,26,14,25,1,5,1,1517749200,0.164,0,0.00036269426345825195
12,3,0,1,0,0,1,0,0,1,26,14,25,1,5,1,1517763600,0.006,0,0.00037419795989990234
16,4,0,1,0,1,0,0,0,0,26,14,25,1,5,1,1517778000,0.0,0,0.00037553906440734863
20,1,0,1,0,1,0,0,0,0,26,14,25,1,5,1,1517792400,0.0,0,0.0003756582736968994
23,1,0,1,0,1,0,0,0,0,26,14,25,1,5,1,1517803200,0.0,0,0.0003757476806640625
0,1,0,1,0,1,0,0,0,0,27,15,25,0,4,9,1517720400,0.0,1,0.9996426105499268
4,1,0,1,0,0,1,0,0,1,27,15,25,0,4,9,1517734800,0.048,1,0.9996426105499268
8,2,0,1,0,0,1,0,0,1,27,15,25,0,4,9,1517749200,0.165,1,0.9996426105499268
12,3,0,1,0,0,1,0,0,1,27,15,25,0,4,9,1517763600,0.006,1,0.9996427297592163
16,4,0,1,0,1,0,0,0,0,27,15,25,0,4,9,1517778000,0.0,1,0.9996427297592163
20,1,0,1,0,1,0,0,0,0,27,15,25,0,4,9,1517792400,0.0,1,0.9996427297592163
23,1,0,1,0,1,0,0,0,0,27,15,25,0,4,9,1517803200,0.0,1,0.9996427297592163
0,1,0,1,0,1,0,0,0,0,28,16,25,0,5,10,1517720400,0.0,1,0.9996424913406372
