,BLM,ELM,Co. Seq.,ID_NUMBER,Thru_Lanes,ROW ,Num_Lns,Spd_Limit,Terrain,Land_Use,Illum,Operation,Acc_Ctrl,Sch Spd Limit,Truck Spd Limit,BLM_Lat,BLM_Long,ELM_Lat,ELM_Long
13,1.425,1.445,1,3301122001,2,60.0,2,35.0,2.0,2,1.0,2,0,,,35.0343359008533,-85.1333248946859,35.0345780302762,-85.1333132288792
14,1.445,1.495,1,3301122001,2,60.0,2,35.0,2.0,2,1.0,2,0,15.0,,35.0345780302762,-85.1333132288792,35.0352510431124,-85.1330232755224
15,1.495,1.57,1,3301122001,2,40.0,2,35.0,2.0,7,1.0,2,0,15.0,,35.0352510431124,-85.1330232755224,35.036266147555,-85.1326081923094
16,1.57,2.92,1,3301122001,2,44.0,2,35.0,2.0,7,1.0,2,0,,,35.036266147555,-85.1326081923094,35.0431013152625,-85.1157850650148
17,2.92,5.685,1,3301122001,2,40.0,2,35.0,2.0,7,0.0,2,0,,,35.0431013152625,-85.1157850650148,35.0476083188486,-85.0726579772162
18,0.0,0.24600000000000002,1,3301126001,2,80.0,2,45.0,2.0,2,,2,0,,,35.2027776393254,-85.1533191111604,35.2063066464298,-85.1536901112559
19,0.24600000000000002,0.38,1,3301126001,2,64.0,2,45.0,2.0,2,,2,0,,,35.2063066464298,-85.1536901112559,35.2080949617262,-85.1545886852002
20,0.38,2.11,1,3301126001,2,80.0,2,45.0,2.0,0,,2,0,,,35.2080949617262,-85.1545886852002,35.231952697384,-85.1509771010175
21,2.11,3.1,1,3301126001,2,120.0,2,45.0,2.0,0,,2,0,,,35.231952697384,-85.1509771010175,35.2320116996486,-85.1681831357825
22,3.1,3.81,1,3301126001,2,120.0,2,45.0,2.0,0,,2,0,,,35.2320116996486,-85.1681831357825,35.2366013010766,-85.1768966221626
23,3.81,3.99,1,3301126001,2,120.0,2,45.0,2.0,0,,2,0,25.0,,35.2366013010766,-85.1768966221626,35.2390962142801,-85.1758647378216
24,3.99,5.04,1,3301126001,2,120.0,2,45.0,2.0,0,,2,0,,,35.2390962142801,-85.1758647378216,35.253292504384,-85.1815164498262
25,5.04,5.15,1,3301126001,2,120.0,2,45.0,2.0,2,,2,0,,,35.253292504384,-85.1815164498262,35.254655746723,-85.1825271605898
26,5.15,6.1739999999999995,1,3301126001,2,60.0,2,40.0,2.0,2,,2,0,,,35.254655746723,-85.1825271605898,35.2425987237766,-85.1919231818119
27,6.1739999999999995,6.7,1,3301126001,2,30.0,2,40.0,3.0,7,,2,0,,,35.2425987237766,-85.1919231818119,35.24370405664,-85.1962642177488
28,6.7,9.386000000000001,1,3301126001,2,50.0,2,40.0,3.0,7,,2,0,,,35.24370405664,-85.1962642177488,35.2606657622552,-85.2108202166853
29,9.386000000000001,13.76,1,3301126001,2,50.0,2,35.0,3.0,7,,2,0,,,35.2606657622552,-85.2108202166853,35.2880498245466,-85.2717963349762
30,0.0,0.45,1,3301128001,1,40.0,1,,2.0,0,,2,0,,,35.3665029462149,-84.990457751055,35.3639118346596,-84.9832473505571
31,0.0,0.04,1,3301143001,2,60.0,2,45.0,2.0,0,0.0,2,0,,,35.0219982612118,-85.0220188799214,35.0217101898894,-85.0225495755339
32,0.04,2.54,1,3301143001,2,60.0,2,45.0,2.0,0,0.0,2,0,,,35.0217101898894,-85.0225495755339,35.0005219239933,-85.0541418962302
