Response Date,Fixed Time CallClosed,Address,City,Latitude,Longitude,Problem
1/24/2020 8:21:15 AM,1/24/2020 10:09:38 AM,4900 HIGHWAY 58,CHATTANOOGA,35093060,85180555,ACC2-MVC No Injuries
1/24/2020 8:09:03 AM,1/24/2020 8:17:05 AM,8950-8999 LEE HWY,CHATTANOOGA,35085924,85067310,ACC1-MVC Injuries
1/24/2020 8:09:03 AM,1/24/2020 8:09:22 AM,8950-8999 LEE HWY,CHATTANOOGA,35085924,85067310,ACC1-MVC Injuries
1/24/2020 8:09:03 AM,1/24/2020 8:17:18 AM,8950-8999 LEE HWY,CHATTANOOGA,35085924,85067310,ACC1-MVC Injuries
1/24/2020 8:09:02 AM,1/24/2020 8:50:10 AM,8950-8999 LEE HWY,CHATTANOOGA,35085924,85067310,ACC1-MVC Injuries
1/24/2020 8:09:04 AM,1/24/2020 9:34:11 AM,6101 ENTERPRISE PARK DR,CHATTANOOGA,35073185,85189644,ACCDEL-MVC Delayed
1/24/2020 7:51:40 AM,1/24/2020 11:18:32 AM,8900 LEE HWY,CHATTANOOGA,35087713,85071062,ACC2-MVC No Injuries
1/24/2020 7:47:01 AM,1/24/2020 8:31:06 AM,3320 Ringgold Rd,EAST RIDGE,35007653,85263709,ACC2-MVC No Injuries
1/24/2020 7:42:46 AM,1/24/2020 9:23:03 AM,2501 Broad St,CHATTANOOGA,35028422,85316800,ACCDEL-MVC Delayed
1/24/2020 7:41:38 AM,1/24/2020 9:22:37 AM,4701 Hixson Pike,CHATTANOOGA,35124232,85248269,ACC3-MVC Unknown Injuries
1/24/2020 7:36:27 AM,1/24/2020 8:20:40 AM,11120 Armstrong Rd,HAMILTON COUNTY,35269902,85123129,ACC2-MVC No Injuries
1/24/2020 7:06:12 AM,1/24/2020 7:41:48 AM,3900 DAYTON BLVD,RED BANK,35119481,85289738,ACC2-MVC No Injuries
1/24/2020 7:00:51 AM,1/24/2020 7:09:57 AM,Harrison Pike / Addison Rd,CHATTANOOGA,35081649,85232641,ACC2-MVC No Injuries
1/24/2020 7:00:21 AM,1/24/2020 8:08:51 AM,2600 HARRISON PIKE,CHATTANOOGA,35080793,85236106,ACC2-MVC No Injuries
1/24/2020 6:34:08 AM,1/24/2020 7:14:41 AM,1910 Market St,CHATTANOOGA,35031887,85308350,ACC2-MVC No Injuries
1/24/2020 6:11:43 AM,1/24/2020 7:45:23 AM,320 - 349 Interstate 75 Nb,CHATTANOOGA,35013868,85182022,ACC2-MVC No Injuries
1/24/2020 5:17:55 AM,1/24/2020 7:31:28 AM,4400 W RD,HAMILTON COUNTY,35143838,85314676,ACC2-MVC No Injuries
1/24/2020 4:13:20 AM,1/24/2020 4:15:47 AM,3901 Dayton Blvd,RED BANK,35119695,85291474,ACC1-MVC Injuries
1/24/2020 4:13:20 AM,1/24/2020 5:59:15 AM,3901 Dayton Blvd,RED BANK,35119695,85291474,ACC1-MVC Injuries
1/24/2020 4:13:19 AM,1/24/2020 5:18:07 AM,3901 Dayton Blvd,RED BANK,35119695,85291474,ACC1-MVC Injuries
1/24/2020 4:09:06 AM,1/24/2020 5:37:28 AM,3901 Dayton Blvd,RED BANK,35119695,85291474,ACC1-MVC Injuries
1/24/2020 3:01:13 AM,1/24/2020 4:10:19 AM,1113 Liberty St,CHATTANOOGA,35074001,85299276,ACCDEL-MVC Delayed
1/24/2020 2:42:32 AM,1/24/2020 2:55:58 AM,3800 Tag Dr,CHATTANOOGA,35070181,85205771,ACC1-MVC Injuries
1/24/2020 2:42:32 AM,1/24/2020 2:51:55 AM,3800 Tag Dr,CHATTANOOGA,35070181,85205771,ACC1-MVC Injuries
1/24/2020 2:41:48 AM,1/24/2020 3:12:09 AM,3800 Tag Dr,CHATTANOOGA,35070181,85205771,ACC1-MVC Injuries
