Clear,Cloudy,DayFrame,DayOfWeek,FUNC_CLASS,Foggy,Grid_Num,Hour,Join_Count,NBR_LANES,Rain,RainBefore,Snow,TY_TERRAIN,Unix,WeekDay,cloudCover,dewPoint,humidity,precipIntensity,temperature,windSpeed,visibility,uvIndex
0,1,1,5,19.0,0,16,0,9,2.0,0,0,0,2.0,1579928400,0,0.59,34.88,0.78,0.0,41.25,5.56,10.0,0
0,1,1,5,19.0,0,16,4,9,2.0,0,0,0,2.0,1579942800,0,0.76,32.54,0.78,0.0,38.71,5.37,10.0,0
0,1,2,5,19.0,0,16,8,9,2.0,0,0,0,2.0,1579957200,0,0.62,31.8,0.8,0.0011,37.44,4.62,10.0,0
0,1,3,5,19.0,0,16,12,9,2.0,0,0,0,2.0,1579971600,0,0.71,32.52,0.68,0.0014,42.17,6.02,10.0,2
0,1,4,5,19.0,0,16,16,9,2.0,0,0,0,2.0,1579986000,0,0.58,33.21,0.63,0.0,45.03,5.41,10.0,1
0,1,1,5,19.0,0,16,20,9,2.0,0,0,0,2.0,1580000400,0,0.35,30.04,0.72,0.0,38.44,3.58,10.0,0
0,1,1,5,19.0,0,16,23,9,2.0,0,0,0,2.0,1580011200,0,0.78,28.99,0.77,0.0014,35.61,3.22,10.0,0
0,1,1,5,19.0,0,17,0,18,2.0,0,0,0,2.0,1579928400,0,0.58,34.8,0.78,0.0,41.12,5.49,10.0,0
0,1,1,5,19.0,0,17,4,18,2.0,0,0,0,2.0,1579942800,0,0.76,32.14,0.78,0.0,38.29,5.3,10.0,0
0,1,2,5,19.0,0,17,8,18,2.0,0,0,0,2.0,1579957200,0,0.62,31.68,0.8,0.0011,37.3,4.6,10.0,0
0,1,3,5,19.0,0,17,12,18,2.0,0,0,0,2.0,1579971600,0,0.71,32.51,0.69,0.0014,42.13,6.02,10.0,2
0,1,4,5,19.0,0,17,16,18,2.0,0,0,0,2.0,1579986000,0,0.58,33.33,0.63,0.0,45.14,5.39,10.0,1
0,1,1,5,19.0,0,17,20,18,2.0,0,0,0,2.0,1580000400,0,0.35,30.11,0.72,0.0,38.52,3.56,10.0,0
0,1,1,5,19.0,0,17,23,18,2.0,0,0,0,2.0,1580011200,0,0.78,29.1,0.77,0.0013,35.67,3.19,10.0,0
0,1,1,5,19.0,0,18,0,188,2.0,0,0,0,2.0,1579928400,0,0.58,35.01,0.8,0.0,40.81,5.42,10.0,0
0,1,1,5,19.0,0,18,4,188,2.0,0,0,0,2.0,1579942800,0,0.76,32.06,0.79,0.0,37.98,5.23,10.0,0
0,1,2,5,19.0,0,18,8,188,2.0,0,0,0,2.0,1579957200,0,0.62,31.73,0.81,0.001,37.0,4.58,10.0,0
0,1,3,5,19.0,0,18,12,188,2.0,0,0,0,2.0,1579971600,0,0.72,32.44,0.7,0.0013,41.66,6.02,10.0,2
0,1,4,5,19.0,0,18,16,188,2.0,0,0,0,2.0,1579986000,0,0.58,33.42,0.64,0.0,44.79,5.36,10.0,1
