BLM,ELM,Sp. Case,Co. Seq.,ID_NUMBER,Sub Route,Ad_Sys,Gov_Cont,Func_Class,Inc Area Nbr,Urb Area Nbr,Sp Systems,State Aid Code
0.42,0.88,0,1,3303546001,0,16,4,16,52,52,30,
0.88,0.958,0,1,3303546001,0,16,4,16,52,52,30,
0.958,1.04,0,1,3303546001,0,16,4,16,52,52,30,
1.04,1.134,0,1,3303546001,0,16,4,16,52,52,30,
1.134,1.302,0,1,3303546001,0,16,4,16,52,52,30,
1.302,1.37,0,1,3303546001,0,16,4,16,52,52,30,
1.37,1.53,0,1,3303546001,0,16,4,16,52,52,23,
0,0.07,0,1,3303547001,0,18,4,17,52,52,,
0.07,0.22,0,1,3303547001,0,18,4,17,52,52,,
0.22,0.82,0,1,3303547001,0,18,4,17,52,52,,
0,0.865,0,1,3303548001,0,18,4,17,52,52,,
0,0.22,0,1,3303549001,0,18,4,14,52,52,,
0.22,0.43,0,1,3303549001,0,18,4,16,52,52,,
0.43,0.599,0,1,3303549001,0,16,4,14,52,52,30,
0.599,0.84,0,1,3303549001,0,16,4,14,52,52,30,
0,0.26,0,1,3303550001,0,18,4,17,52,52,,
0.26,0.54,0,1,3303550001,0,18,4,17,52,52,,
0.54,0.74,0,1,3303550001,0,18,4,17,52,52,,
0,0.21,0,1,3303551001,0,16,4,17,52,52,30,
0.21,0.46,0,1,3303551001,0,16,4,14,52,52,30,
0,0.8,0,1,3303552001,0,18,4,16,52,52,,
0.8,1.97,0,1,3303552001,0,18,4,16,52,52,,
1.97,2.27,0,1,3303552001,0,18,4,16,52,52,,
2.27,2.48,0,1,3303552001,0,18,4,16,52,52,,
2.48,2.86,0,1,3303552001,0,16,4,16,52,52,30,
0,0.54,0,1,3303553001,0,18,4,16,52,52,,
0,0.57,0,1,3303554001,0,16,4,16,52,52,30,
0.57,0.75,0,1,3303554001,0,16,4,16,52,52,30,
0.75,2.2,0,1,3303554001,0,16,4,16,52,52,30,
