BLM,ELM,Co. Seq.,ID NUMBER,Adm. Sys.,Gov. Cont.,Func. Class,Inc Area Nbr,Urb Area Nbr,Sp Systems,State Aid Code
2.26,3.167,1,3302158001,18-STP URBAN, NON-STATE SYS.,CO. HWAY AGENCY,U / MIN ART,--,52 - CHATTANOOGA,STATE AID SYSTEM
3.167,3.18,1,3302158001,18-STP URBAN, NON-STATE SYS.,CO. HWAY AGENCY,U / MIN ART,--,52 - CHATTANOOGA,STATE AID SYSTEM
3.18,4.26,1,3302158001,18-STP URBAN, NON-STATE SYS.,CO. HWAY AGENCY,U / MIN COL,--,52 - CHATTANOOGA,STATE AID SYSTEM
0,5.27,1,3302160001,11-OTHER COUNTY ROADS,CO. HWAY AGENCY,R / MIN COL,--,--,STATE AID SYSTEM,33034
5.27,6.04,1,3302160001,11-OTHER COUNTY ROADS,CO. HWAY AGENCY,R / MIN COL,--,--,STATE AID SYSTEM,33034
0,0.128,1,3302162001,18-STP URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MIN ART,52 - CHATTANOOGA,52 - CHATTANOOGA,STATE AID SYSTEM
0.128,4.96,1,3302162001,18-STP URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MIN ART,272 - SODDY-DAISY,52 - CHATTANOOGA,STATE AID SYSTEM
0,0.55,1,3302199001,18-STP URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MIN ART,52 - CHATTANOOGA,52 - CHATTANOOGA,--
0.55,2.81,1,3302199001,18-STP URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MIN ART,52 - CHATTANOOGA,52 - CHATTANOOGA,--
0,1.94,1,3302201001,18-STP URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MIN ART,60 - COLLEGEDALE,52 - CHATTANOOGA,STATE AID SYSTEM
1.94,2.1,1,3302201001,18-STP URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MIN ART,60 - COLLEGEDALE,52 - CHATTANOOGA,STATE AID SYSTEM
0,5.43,1,3302205001,18-STP URBAN, NON-STATE SYS.,CO. HWAY AGENCY,U / MIN ART,--,52 - CHATTANOOGA,STATE AID SYSTEM
5.43,5.999,1,3302205001,18-STP URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MIN ART,52 - CHATTANOOGA,52 - CHATTANOOGA,STATE AID SYSTEM
