BLM,ELM,Special Case,Co. Seq.,Feat Seq Nbr,ID_NUMBER,Feature_Type,Feat_Width,Feature_Composition,
0.246,0.38,0-NONE ,1,10,3301126001,PAVEMENT,23,ASPHALT CONCRETE,
0.246,0.38,0-NONE ,1,12,3301126001,SHOULDER (OUTSIDE),11,ASPHALT CONCRETE,
0.246,0.38,0-NONE ,1,13,3301126001,DRAINAGE,,CURB AND GUTTER,
0.38,2.11,0-NONE ,1,8,3301126001,DRAINAGE,,DITCH,
0.38,2.11,0-NONE ,1,9,3301126001,SHOULDER (OUTSIDE),3,ASPHALT CONCRETE,
0.38,2.11,0-NONE ,1,10,3301126001,PAVEMENT,24,ASPHALT CONCRETE,
0.38,2.11,0-NONE ,1,12,3301126001,SHOULDER (OUTSIDE),3,ASPHALT CONCRETE,
0.38,2.11,0-NONE ,1,13,3301126001,DRAINAGE,,DITCH,
2.11,3.45,0-NONE ,1,8,3301126001,DRAINAGE,,DITCH,
2.11,3.45,0-NONE ,1,9,3301126001,SHOULDER (OUTSIDE),4,ASPHALT CONCRETE,
2.11,3.45,0-NONE ,1,10,3301126001,PAVEMENT,24,ASPHALT CONCRETE,
2.11,3.45,0-NONE ,1,12,3301126001,SHOULDER (OUTSIDE),4,ASPHALT CONCRETE,
2.11,3.45,0-NONE ,1,13,3301126001,DRAINAGE,,DITCH,
3.45,4.518,0-NONE ,1,1,3301126001,DRAINAGE,,DITCH,
3.45,4.518,0-NONE ,1,3,3301126001,SHOULDER (OUTSIDE),2,GRAVEL,
3.45,4.518,0-NONE ,1,5,3301126001,PAVEMENT,10,ASPHALT CONCRETE,
3.45,4.518,0-NONE ,1,9,3301126001,2-WAY LT.  TURN LN.,11,ASPHALT CONCRETE,
3.45,4.518,0-NONE ,1,13,3301126001,PAVEMENT,12,ASPHALT CONCRETE,
3.45,4.518,0-NONE ,1,15,3301126001,SHOULDER (OUTSIDE),2,GRAVEL,
3.45,4.518,0-NONE ,1,17,3301126001,DRAINAGE,,DITCH,
4.518,4.6,0-NONE ,1,1,3301126001,DRAINAGE,,DITCH,
4.518,4.6,0-NONE ,1,2,3301126001,SHOULDER (OUTSIDE),14,GRAVEL,
4.518,4.6,0-NONE ,1,4,3301126001,PAVEMENT,12,ASPHALT CONCRETE,
4.518,4.6,0-NONE ,1,7,3301126001,MEDIAN,12,PAINTED,
4.518,4.6,0-NONE ,1,10,3301126001,PAVEMENT,12,ASPHALT CONCRETE,
4.518,4.6,0-NONE ,1,13,3301126001,DRAINAGE,,DITCH,
4.6,4.98,0-NONE ,1,1,3301126001,DRAINAGE,,DITCH,
4.6,4.98,0-NONE ,1,2,3301126001,SHOULDER (OUTSIDE),11,ASPHALT CONCRETE,
4.6,4.98,0-NONE ,1,3,3301126001,PAVEMENT,12,ASPHALT CONCRETE,
4.6,4.98,0-NONE ,1,4,3301126001,LEFT TURN LANE,12,ASPHALT CONCRETE,
4.6,4.98,0-NONE ,1,5,3301126001,PAVEMENT,12,ASPHALT CONCRETE,
4.6,4.98,0-NONE ,1,6,3301126001,SHOULDER (OUTSIDE),10,ASPHALT CONCRETE,
4.6,4.98,0-NONE ,1,7,3301126001,DRAINAGE,,DITCH,
4.98,5.04,0-NONE ,1,8,3301126001,DRAINAGE,,CURB ONLY,
4.98,5.04,0-NONE ,1,9,3301126001,SHOULDER (OUTSIDE),11,ASPHALT CONCRETE,
4.98,5.04,0-NONE ,1,10,3301126001,PAVEMENT,24,ASPHALT CONCRETE,
4.98,5.04,0-NONE ,1,12,3301126001,SHOULDER (OUTSIDE),11,ASPHALT CONCRETE,
