BLM,ELM,Special Case,Co. Seq.,Feat Seq Nbr,ID_NUMBER,Feature_Type,Feat_Width,Feature_Composition,
0,0.256,0-NONE ,1,12,330D382001,PAVEMENT,20,ASPHALT CONCRETE,
0,0.256,0-NONE ,1,14,330D382001,SHOULDER (OUTSIDE),2,GRAVEL,
0,0.256,0-NONE ,1,15,330D382001,DRAINAGE,,DITCH,
0,0.47,0-NONE ,1,9,330D383001,DRAINAGE,,CURB ONLY,
0,0.47,0-NONE ,1,12,330D383001,PAVEMENT,26,ASPHALT CONCRETE,
0,0.47,0-NONE ,1,15,330D383001,DRAINAGE,,CURB ONLY,
0,0.42,0-NONE ,1,9,330D384001,DRAINAGE,,DITCH,
0,0.42,0-NONE ,1,10,330D384001,SHOULDER (OUTSIDE),1,GRAVEL,
0,0.42,0-NONE ,1,12,330D384001,PAVEMENT,18,ASPHALT CONCRETE,
0,0.42,0-NONE ,1,14,330D384001,SHOULDER (OUTSIDE),1,GRAVEL,
0,0.42,0-NONE ,1,15,330D384001,DRAINAGE,,DITCH,
0.42,0.561,0-NONE ,1,9,330D384001,DRAINAGE,,CURB ONLY,
0.42,0.561,0-NONE ,1,12,330D384001,PAVEMENT,26,ASPHALT CONCRETE,
0.42,0.561,0-NONE ,1,15,330D384001,DRAINAGE,,CURB ONLY,
0,0.893,0-NONE ,1,9,330D385001,DRAINAGE,,CURB ONLY,
0,0.893,0-NONE ,1,12,330D385001,PAVEMENT,28,ASPHALT CONCRETE,
0,0.893,0-NONE ,1,15,330D385001,DRAINAGE,,CURB ONLY,
0,0.293,0-NONE ,1,9,330D386001,DRAINAGE,,DITCH,
0,0.293,0-NONE ,1,10,330D386001,SHOULDER (OUTSIDE),1,GRAVEL,
0,0.293,0-NONE ,1,12,330D386001,PAVEMENT,24,ASPHALT CONCRETE,
0,0.293,0-NONE ,1,14,330D386001,SHOULDER (OUTSIDE),1,GRAVEL,
0,0.293,0-NONE ,1,15,330D386001,DRAINAGE,,DITCH,
0,0.145,0-NONE ,1,9,330D387001,DRAINAGE,,CURB AND GUTTER,
0,0.145,0-NONE ,1,12,330D387001,PAVEMENT,26,ASPHALT CONCRETE,
0,0.145,0-NONE ,1,15,330D387001,DRAINAGE,,CURB AND GUTTER,
0,0.252,0-NONE ,1,9,330D388001,DRAINAGE,,DITCH,
0,0.252,0-NONE ,1,10,330D388001,SHOULDER (OUTSIDE),1,GRAVEL,
0,0.252,0-NONE ,1,12,330D388001,PAVEMENT,20,ASPHALT CONCRETE,
0,0.252,0-NONE ,1,14,330D388001,SHOULDER (OUTSIDE),1,GRAVEL,
0,0.252,0-NONE ,1,15,330D388001,DRAINAGE,,DITCH,
0,0.72,0-NONE ,1,9,330D389001,DRAINAGE,,DITCH,
0,0.72,0-NONE ,1,10,330D389001,SHOULDER (OUTSIDE),2,GRAVEL,
0,0.72,0-NONE ,1,12,330D389001,PAVEMENT,20,ASPHALT CONCRETE,
0,0.72,0-NONE ,1,14,330D389001,SHOULDER (OUTSIDE),2,GRAVEL,
0,0.72,0-NONE ,1,15,330D389001,DRAINAGE,,DITCH,
0.72,1.03,0-NONE ,1,9,330D389001,DRAINAGE,,DITCH,
0.72,1.03,0-NONE ,1,10,330D389001,SHOULDER (OUTSIDE),2,GRAVEL,
0.72,1.03,0-NONE ,1,12,330D389001,PAVEMENT,18,ASPHALT CONCRETE,
0.72,1.03,0-NONE ,1,14,330D389001,SHOULDER (OUTSIDE),2,GRAVEL,
0.72,1.03,0-NONE ,1,15,330D389001,DRAINAGE,,DITCH,
0,0.37,0-NONE ,1,8,330D390001,DRAINAGE,,DITCH,
0,0.37,0-NONE ,1,9,330D390001,SHOULDER (OUTSIDE),1,GRAVEL,
0,0.37,0-NONE ,1,10,330D390001,PAVEMENT,16,ASPHALT CONCRETE,
0,0.37,0-NONE ,1,12,330D390001,SHOULDER (OUTSIDE),1,GRAVEL,
0,0.37,0-NONE ,1,13,330D390001,DRAINAGE,,DITCH,
0,0.1,0-NONE ,1,9,330D391001,DRAINAGE,,DITCH,
0,0.1,0-NONE ,1,10,330D391001,SHOULDER (OUTSIDE),2,GRAVEL,
0,0.1,0-NONE ,1,12,330D391001,PAVEMENT,20,ASPHALT CONCRETE,
0,0.1,0-NONE ,1,14,330D391001,SHOULDER (OUTSIDE),2,GRAVEL,
0,0.1,0-NONE ,1,15,330D391001,DRAINAGE,,DITCH,
0.1,0.172,0-NONE ,1,9,330D391001,DRAINAGE,,DITCH,
0.1,0.172,0-NONE ,1,10,330D391001,SHOULDER (OUTSIDE),1,GRAVEL,
0.1,0.172,0-NONE ,1,12,330D391001,PAVEMENT,12,ASPHALT CONCRETE,
0.1,0.172,0-NONE ,1,14,330D391001,SHOULDER (OUTSIDE),1,GRAVEL,
0.1,0.172,0-NONE ,1,15,330D391001,DRAINAGE,,DITCH,
0,0.613,0-NONE ,1,9,330D392001,DRAINAGE,,DITCH,
0,0.613,0-NONE ,1,10,330D392001,SHOULDER (OUTSIDE),2,GRAVEL,
0,0.613,0-NONE ,1,12,330D392001,PAVEMENT,18,ASPHALT CONCRETE,
0,0.613,0-NONE ,1,14,330D392001,SHOULDER (OUTSIDE),2,GRAVEL,
0,0.613,0-NONE ,1,15,330D392001,DRAINAGE,,DITCH,
0,0.667,0-NONE ,1,9,330D393001,DRAINAGE,,DITCH,
0,0.667,0-NONE ,1,10,330D393001,SHOULDER (OUTSIDE),2,GRAVEL,
0,0.667,0-NONE ,1,12,330D393001,PAVEMENT,20,ASPHALT CONCRETE,
0,0.667,0-NONE ,1,14,330D393001,SHOULDER (OUTSIDE),2,GRAVEL,
0,0.667,0-NONE ,1,15,330D393001,DRAINAGE,,DITCH,
0,0.177,0-NONE ,1,9,330D394001,DRAINAGE,,DITCH,
0,0.177,0-NONE ,1,10,330D394001,SHOULDER (OUTSIDE),1,GRAVEL,
0,0.177,0-NONE ,1,12,330D394001,PAVEMENT,14,BITUMINOUS SURFACE TREATED,
0,0.177,0-NONE ,1,14,330D394001,SHOULDER (OUTSIDE),1,GRAVEL,
0,0.177,0-NONE ,1,15,330D394001,DRAINAGE,,DITCH,
0,0.372,0-NONE ,1,9,330D395001,DRAINAGE,,CURB ONLY,
0,0.372,0-NONE ,1,12,330D395001,PAVEMENT,26,ASPHALT CONCRETE,
0,0.372,0-NONE ,1,15,330D395001,DRAINAGE,,CURB ONLY,
0,0.128,0-NONE ,1,9,330D396001,DRAINAGE,,CURB ONLY,
0,0.128,0-NONE ,1,12,330D396001,PAVEMENT,26,ASPHALT CONCRETE,
0,0.128,0-NONE ,1,15,330D396001,DRAINAGE,,CURB ONLY,
0,0.198,0-NONE ,1,9,330D397001,DRAINAGE,,CURB ONLY,
0,0.198,0-NONE ,1,12,330D397001,PAVEMENT,26,ASPHALT CONCRETE,
0,0.198,0-NONE ,1,15,330D397001,DRAINAGE,,CURB ONLY,
0,0.115,0-NONE ,1,9,330D398001,DRAINAGE,,CURB ONLY,
0,0.115,0-NONE ,1,12,330D398001,PAVEMENT,26,ASPHALT CONCRETE,
0,0.115,0-NONE ,1,15,330D398001,DRAINAGE,,CURB ONLY,
0,0.168,0-NONE ,1,9,330D399001,DRAINAGE,,DITCH,
0,0.168,0-NONE ,1,10,330D399001,SHOULDER (OUTSIDE),2,GRAVEL,
0,0.168,0-NONE ,1,12,330D399001,PAVEMENT,12,ASPHALT CONCRETE,
0,0.168,0-NONE ,1,14,330D399001,SHOULDER (OUTSIDE),2,GRAVEL,
0,0.168,0-NONE ,1,15,330D399001,DRAINAGE,,DITCH,
0,0.378,0-NONE ,1,9,330D400001,DRAINAGE,,DITCH,
0,0.378,0-NONE ,1,10,330D400001,SHOULDER (OUTSIDE),2,GRAVEL,
0,0.378,0-NONE ,1,12,330D400001,PAVEMENT,18,ASPHALT CONCRETE,
0,0.378,0-NONE ,1,14,330D400001,SHOULDER (OUTSIDE),2,GRAVEL,
0,0.378,0-NONE ,1,15,330D400001,DRAINAGE,,DITCH,
0,0.124,0-NONE ,1,9,330D401001,DRAINAGE,,CURB ONLY,
0,0.124,0-NONE ,1,12,330D401001,PAVEMENT,26,ASPHALT CONCRETE,
0,0.124,0-NONE ,1,15,330D401001,DRAINAGE,,CURB ONLY,
0,0.1,0-NONE ,1,9,330D402001,DRAINAGE,,CURB ONLY,
0,0.1,0-NONE ,1,12,330D402001,PAVEMENT,26,ASPHALT CONCRETE,
0,0.1,0-NONE ,1,15,330D402001,DRAINAGE,,CURB ONLY,
0.1,0.179,0-NONE ,1,9,330D402001,DRAINAGE,,DITCH,
0.1,0.179,0-NONE ,1,10,330D402001,SHOULDER (OUTSIDE),1,GRAVEL,
0.1,0.179,0-NONE ,1,12,330D402001,PAVEMENT,10,BITUMINOUS SURFACE TREATED,
0.1,0.179,0-NONE ,1,14,330D402001,SHOULDER (OUTSIDE),1,GRAVEL,
0.1,0.179,0-NONE ,1,15,330D402001,DRAINAGE,,DITCH,
0,0.16,0-NONE ,1,9,330D403001,DRAINAGE,,CURB ONLY,
0,0.16,0-NONE ,1,12,330D403001,PAVEMENT,26,ASPHALT CONCRETE,
0,0.16,0-NONE ,1,15,330D403001,DRAINAGE,,CURB ONLY,
0,0.134,0-NONE ,1,9,330D404001,DRAINAGE,,CURB ONLY,
0,0.134,0-NONE ,1,12,330D404001,PAVEMENT,26,ASPHALT CONCRETE,
0,0.134,0-NONE ,1,15,330D404001,DRAINAGE,,CURB ONLY,
0,0.085,0-NONE ,1,9,330D405001,DRAINAGE,,CURB ONLY,
0,0.085,0-NONE ,1,12,330D405001,PAVEMENT,28,ASPHALT CONCRETE,
0,0.085,0-NONE ,1,14,330D405001,SHOULDER (OUTSIDE),1,GRAVEL,
0,0.085,0-NONE ,1,15,330D405001,DRAINAGE,,DITCH,
0,0.429,0-NONE ,1,9,330D406001,DRAINAGE,,DITCH,
0,0.429,0-NONE ,1,10,330D406001,SHOULDER (OUTSIDE),2,GRAVEL,
0,0.429,0-NONE ,1,12,330D406001,PAVEMENT,22,ASPHALT CONCRETE,
0,0.429,0-NONE ,1,14,330D406001,SHOULDER (OUTSIDE),2,GRAVEL,
0,0.429,0-NONE ,1,15,330D406001,DRAINAGE,,DITCH,
0,0.06,0-NONE ,1,9,330D407001,DRAINAGE,,CURB AND GUTTER,
0,0.06,0-NONE ,1,12,330D407001,PAVEMENT,28,ASPHALT CONCRETE,
0,0.06,0-NONE ,1,15,330D407001,DRAINAGE,,CURB AND GUTTER,
0.06,0.188,0-NONE ,1,9,330D407001,DRAINAGE,,DITCH,
0.06,0.188,0-NONE ,1,10,330D407001,SHOULDER (OUTSIDE),1,GRAVEL,
0.06,0.188,0-NONE ,1,12,330D407001,PAVEMENT,18,ASPHALT CONCRETE,
0.06,0.188,0-NONE ,1,14,330D407001,SHOULDER (OUTSIDE),1,GRAVEL,
0.06,0.188,0-NONE ,1,15,330D407001,DRAINAGE,,DITCH,
0,0.186,0-NONE ,1,9,330D408001,DRAINAGE,,DITCH,
0,0.186,0-NONE ,1,10,330D408001,SHOULDER (OUTSIDE),2,GRAVEL,
0,0.186,0-NONE ,1,12,330D408001,PAVEMENT,10,BITUMINOUS SURFACE TREATED,
0,0.186,0-NONE ,1,14,330D408001,SHOULDER (OUTSIDE),2,GRAVEL,
0,0.186,0-NONE ,1,15,330D408001,DRAINAGE,,DITCH,
0,0.296,0-NONE ,1,9,330D409001,DRAINAGE,,DITCH,
0,0.296,0-NONE ,1,10,330D409001,SHOULDER (OUTSIDE),1,GRAVEL,
0,0.296,0-NONE ,1,12,330D409001,PAVEMENT,20,ASPHALT CONCRETE,
0,0.296,0-NONE ,1,14,330D409001,SHOULDER (OUTSIDE),1,GRAVEL,
0,0.296,0-NONE ,1,15,330D409001,DRAINAGE,,DITCH,
0,0.231,0-NONE ,1,9,330D410001,DRAINAGE,,DITCH,
0,0.231,0-NONE ,1,10,330D410001,SHOULDER (OUTSIDE),2,GRAVEL,
0,0.231,0-NONE ,1,12,330D410001,PAVEMENT,18,ASPHALT CONCRETE,
0,0.231,0-NONE ,1,14,330D410001,SHOULDER (OUTSIDE),2,GRAVEL,
0,0.231,0-NONE ,1,15,330D410001,DRAINAGE,,DITCH,
0,0.046,0-NONE ,1,9,330D411001,DRAINAGE,,DITCH,
0,0.046,0-NONE ,1,10,330D411001,SHOULDER (OUTSIDE),2,GRAVEL,
0,0.046,0-NONE ,1,12,330D411001,PAVEMENT,20,ASPHALT CONCRETE,
0,0.046,0-NONE ,1,14,330D411001,SHOULDER (OUTSIDE),2,GRAVEL,
0,0.046,0-NONE ,1,15,330D411001,DRAINAGE,,DITCH,
0,0.154,0-NONE ,1,9,330D412001,DRAINAGE,,DITCH,
0,0.154,0-NONE ,1,10,330D412001,SHOULDER (OUTSIDE),2,GRAVEL,
0,0.154,0-NONE ,1,12,330D412001,PAVEMENT,18,ASPHALT CONCRETE,
0,0.154,0-NONE ,1,15,330D412001,DRAINAGE,,CURB ONLY,
0,0.111,0-NONE ,1,9,330D413001,DRAINAGE,,DITCH,
0,0.111,0-NONE ,1,10,330D413001,SHOULDER (OUTSIDE),2,GRAVEL,
0,0.111,0-NONE ,1,12,330D413001,PAVEMENT,16,ASPHALT CONCRETE,
0,0.111,0-NONE ,1,14,330D413001,SHOULDER (OUTSIDE),1,GRAVEL,
0,0.111,0-NONE ,1,15,330D413001,DRAINAGE,,DITCH,
0,0.249,0-NONE ,1,9,330D414001,DRAINAGE,,DITCH,
0,0.249,0-NONE ,1,10,330D414001,SHOULDER (OUTSIDE),1,GRAVEL,
0,0.249,0-NONE ,1,12,330D414001,PAVEMENT,20,ASPHALT CONCRETE,
0,0.249,0-NONE ,1,14,330D414001,SHOULDER (OUTSIDE),1,GRAVEL,
0,0.249,0-NONE ,1,15,330D414001,DRAINAGE,,DITCH,
0,0.462,0-NONE ,1,9,330D415001,DRAINAGE,,DITCH,
0,0.462,0-NONE ,1,10,330D415001,SHOULDER (OUTSIDE),1,GRAVEL,
0,0.462,0-NONE ,1,12,330D415001,PAVEMENT,16,ASPHALT CONCRETE,
0,0.462,0-NONE ,1,14,330D415001,SHOULDER (OUTSIDE),1,GRAVEL,
0,0.462,0-NONE ,1,15,330D415001,DRAINAGE,,DITCH,
0,0.42,0-NONE ,1,9,330D416001,DRAINAGE,,DITCH,
0,0.42,0-NONE ,1,10,330D416001,SHOULDER (OUTSIDE),1,GRAVEL,
0,0.42,0-NONE ,1,12,330D416001,PAVEMENT,18,ASPHALT CONCRETE,
0,0.42,0-NONE ,1,14,330D416001,SHOULDER (OUTSIDE),1,GRAVEL,
0,0.42,0-NONE ,1,15,330D416001,DRAINAGE,,DITCH,
0.42,0.65,0-NONE ,1,9,330D416001,DRAINAGE,,DITCH,
0.42,0.65,0-NONE ,1,10,330D416001,SHOULDER (OUTSIDE),2,GRAVEL,
0.42,0.65,0-NONE ,1,12,330D416001,PAVEMENT,22,ASPHALT CONCRETE,
0.42,0.65,0-NONE ,1,14,330D416001,SHOULDER (OUTSIDE),2,GRAVEL,
0.42,0.65,0-NONE ,1,15,330D416001,DRAINAGE,,DITCH,
0,0.144,0-NONE ,1,9,330D417001,DRAINAGE,,DITCH,
0,0.144,0-NONE ,1,10,330D417001,SHOULDER (OUTSIDE),2,GRAVEL,
0,0.144,0-NONE ,1,12,330D417001,PAVEMENT,18,ASPHALT CONCRETE,
0,0.144,0-NONE ,1,14,330D417001,SHOULDER (OUTSIDE),2,GRAVEL,
0,0.144,0-NONE ,1,15,330D417001,DRAINAGE,,DITCH,
0.144,0.352,0-NONE ,1,9,330D417001,DRAINAGE,,DITCH,
0.144,0.352,0-NONE ,1,10,330D417001,SHOULDER (OUTSIDE),2,GRAVEL,
0.144,0.352,0-NONE ,1,12,330D417001,PAVEMENT,16,ASPHALT CONCRETE,
0.144,0.352,0-NONE ,1,14,330D417001,SHOULDER (OUTSIDE),2,GRAVEL,
0.144,0.352,0-NONE ,1,15,330D417001,DRAINAGE,,DITCH,
0.352,0.471,0-NONE ,1,9,330D417001,DRAINAGE,,CURB ONLY,
0.352,0.471,0-NONE ,1,12,330D417001,PAVEMENT,18,ASPHALT CONCRETE,
0.352,0.471,0-NONE ,1,14,330D417001,SHOULDER (OUTSIDE),2,GRAVEL,
0.352,0.471,0-NONE ,1,15,330D417001,DRAINAGE,,DITCH,
0,0.141,0-NONE ,1,9,330D418001,DRAINAGE,,CURB ONLY,
0,0.141,0-NONE ,1,12,330D418001,PAVEMENT,26,ASPHALT CONCRETE,
0,0.141,0-NONE ,1,15,330D418001,DRAINAGE,,CURB ONLY,
0,0.65,0-NONE ,1,9,330D419001,DRAINAGE,,DITCH,
0,0.65,0-NONE ,1,10,330D419001,SHOULDER (OUTSIDE),2,GRAVEL,
0,0.65,0-NONE ,1,12,330D419001,PAVEMENT,18,ASPHALT CONCRETE,
0,0.65,0-NONE ,1,14,330D419001,SHOULDER (OUTSIDE),1,GRAVEL,
0,0.65,0-NONE ,1,15,330D419001,DRAINAGE,,DITCH,
0.65,1,0-NONE ,1,9,330D419001,DRAINAGE,,DITCH,
0.65,1,0-NONE ,1,10,330D419001,SHOULDER (OUTSIDE),2,GRAVEL,
0.65,1,0-NONE ,1,12,330D419001,PAVEMENT,20,ASPHALT CONCRETE,
0.65,1,0-NONE ,1,14,330D419001,SHOULDER (OUTSIDE),2,GRAVEL,
0.65,1,0-NONE ,1,15,330D419001,DRAINAGE,,DITCH,
1,1.351,0-NONE ,1,9,330D419001,DRAINAGE,,DITCH,
1,1.351,0-NONE ,1,10,330D419001,SHOULDER (OUTSIDE),2,GRAVEL,
1,1.351,0-NONE ,1,12,330D419001,PAVEMENT,17,ASPHALT CONCRETE,
1,1.351,0-NONE ,1,14,330D419001,SHOULDER (OUTSIDE),1,GRAVEL,
1,1.351,0-NONE ,1,15,330D419001,DRAINAGE,,DITCH,
0,0.208,0-NONE ,1,9,330D420001,DRAINAGE,,CURB ONLY,
0,0.208,0-NONE ,1,12,330D420001,PAVEMENT,26,ASPHALT CONCRETE,
0,0.208,0-NONE ,1,15,330D420001,DRAINAGE,,CURB ONLY,
0,0.237,0-NONE ,1,9,330D421001,DRAINAGE,,CURB ONLY,
0,0.237,0-NONE ,1,12,330D421001,PAVEMENT,26,ASPHALT CONCRETE,
0,0.237,0-NONE ,1,15,330D421001,DRAINAGE,,CURB ONLY,
0,0.15,0-NONE ,1,9,330D422001,DRAINAGE,,CURB ONLY,
0,0.15,0-NONE ,1,12,330D422001,PAVEMENT,26,ASPHALT CONCRETE,
0,0.15,0-NONE ,1,15,330D422001,DRAINAGE,,CURB ONLY,
0,0.099,0-NONE ,1,9,330D423001,DRAINAGE,,DITCH,
0,0.099,0-NONE ,1,10,330D423001,SHOULDER (OUTSIDE),1,GRAVEL,
0,0.099,0-NONE ,1,12,330D423001,PAVEMENT,8,ASPHALT CONCRETE,
0,0.099,0-NONE ,1,14,330D423001,SHOULDER (OUTSIDE),1,GRAVEL,
0,0.099,0-NONE ,1,15,330D423001,DRAINAGE,,DITCH,
0,0.464,0-NONE ,1,9,330D424001,DRAINAGE,,DITCH,
0,0.464,0-NONE ,1,10,330D424001,SHOULDER (OUTSIDE),1,GRAVEL,
0,0.464,0-NONE ,1,12,330D424001,PAVEMENT,16,ASPHALT CONCRETE,
0,0.464,0-NONE ,1,14,330D424001,SHOULDER (OUTSIDE),1,GRAVEL,
0,0.464,0-NONE ,1,15,330D424001,DRAINAGE,,DITCH,
0,0.047,0-NONE ,1,9,330D425001,DRAINAGE,,CURB ONLY,
0,0.047,0-NONE ,1,12,330D425001,PAVEMENT,20,ASPHALT CONCRETE,
0,0.047,0-NONE ,1,14,330D425001,SHOULDER (OUTSIDE),1,GRAVEL,
0,0.047,0-NONE ,1,15,330D425001,DRAINAGE,,DITCH,
0,0.245,0-NONE ,1,9,330D426001,DRAINAGE,,CURB ONLY,
0,0.245,0-NONE ,1,12,330D426001,PAVEMENT,26,ASPHALT CONCRETE,
0,0.245,0-NONE ,1,15,330D426001,DRAINAGE,,CURB ONLY,
0,0.257,0-NONE ,1,9,330D427001,DRAINAGE,,CURB ONLY,
0,0.257,0-NONE ,1,12,330D427001,PAVEMENT,26,ASPHALT CONCRETE,
0,0.257,0-NONE ,1,15,330D427001,DRAINAGE,,CURB ONLY,
0,0.235,0-NONE ,1,9,330D428001,DRAINAGE,,CURB ONLY,
0,0.235,0-NONE ,1,12,330D428001,PAVEMENT,26,ASPHALT CONCRETE,
0,0.235,0-NONE ,1,15,330D428001,DRAINAGE,,CURB ONLY,
0,0.064,0-NONE ,1,9,330D429001,DRAINAGE,,CURB AND GUTTER,
0,0.064,0-NONE ,1,12,330D429001,PAVEMENT,28,ASPHALT CONCRETE,
0,0.064,0-NONE ,1,15,330D429001,DRAINAGE,,CURB AND GUTTER,
0,0.036,0-NONE ,1,9,330D430001,DRAINAGE,,CURB ONLY,
0,0.036,0-NONE ,1,12,330D430001,PAVEMENT,28,ASPHALT CONCRETE,
0,0.036,0-NONE ,1,15,330D430001,DRAINAGE,,CURB ONLY,
0,0.113,0-NONE ,1,9,330D431001,DRAINAGE,,CURB ONLY,
0,0.113,0-NONE ,1,12,330D431001,PAVEMENT,28,ASPHALT CONCRETE,
0,0.113,0-NONE ,1,15,330D431001,DRAINAGE,,CURB ONLY,
0,0.166,0-NONE ,1,9,330D432001,DRAINAGE,,CURB AND GUTTER,
0,0.166,0-NONE ,1,12,330D432001,PAVEMENT,28,ASPHALT CONCRETE,
0,0.166,0-NONE ,1,15,330D432001,DRAINAGE,,CURB AND GUTTER,
0,0.23,0-NONE ,1,9,330D433001,DRAINAGE,,CURB ONLY,
0,0.23,0-NONE ,1,12,330D433001,PAVEMENT,26,ASPHALT CONCRETE,
0,0.23,0-NONE ,1,15,330D433001,DRAINAGE,,CURB ONLY,
0,1.044,0-NONE ,1,9,330D434001,DRAINAGE,,DITCH,
0,1.044,0-NONE ,1,10,330D434001,SHOULDER (OUTSIDE),2,GRAVEL,
0,1.044,0-NONE ,1,12,330D434001,PAVEMENT,18,ASPHALT CONCRETE,
0,1.044,0-NONE ,1,14,330D434001,SHOULDER (OUTSIDE),1,GRAVEL,
0,1.044,0-NONE ,1,15,330D434001,DRAINAGE,,DITCH,
1.044,1.208,0-NONE ,1,9,330D434001,DRAINAGE,,CURB ONLY,
1.044,1.208,0-NONE ,1,12,330D434001,PAVEMENT,26,ASPHALT CONCRETE,
1.044,1.208,0-NONE ,1,15,330D434001,DRAINAGE,,CURB ONLY,
0,0.109,0-NONE ,1,9,330D435001,DRAINAGE,,CURB ONLY,
0,0.109,0-NONE ,1,12,330D435001,PAVEMENT,26,ASPHALT CONCRETE,
0,0.109,0-NONE ,1,15,330D435001,DRAINAGE,,CURB ONLY,
0.109,0.248,0-NONE ,1,1,330D435001,DRAINAGE,,CURB ONLY,
0.109,0.248,0-NONE ,1,4,330D435001,PAVEMENT,16,ASPHALT CONCRETE,
0.109,0.248,0-NONE ,1,7,330D435001,DRAINAGE,,CURB ONLY,
0.109,0.248,0-NONE ,1,8,330D435001,MEDIAN,14,GRASS PLOT,
0.109,0.248,0-NONE ,1,9,330D435001,DRAINAGE,,CURB ONLY,
0.109,0.248,0-NONE ,1,12,330D435001,PAVEMENT,16,ASPHALT CONCRETE,
0.109,0.248,0-NONE ,1,15,330D435001,DRAINAGE,,CURB ONLY,
0.248,0.526,0-NONE ,1,1,330D435001,DRAINAGE,,CURB ONLY,
0.248,0.526,0-NONE ,1,4,330D435001,PAVEMENT,16,ASPHALT CONCRETE,
0.248,0.526,0-NONE ,1,7,330D435001,DRAINAGE,,CURB ONLY,
0.248,0.526,0-NONE ,1,8,330D435001,MEDIAN,20,GRASS PLOT,
0.248,0.526,0-NONE ,1,9,330D435001,DRAINAGE,,CURB ONLY,
0.248,0.526,0-NONE ,1,12,330D435001,PAVEMENT,16,ASPHALT CONCRETE,
0.248,0.526,0-NONE ,1,15,330D435001,DRAINAGE,,CURB ONLY,
0.526,0.806,0-NONE ,1,9,330D435001,DRAINAGE,,CURB ONLY,
0.526,0.806,0-NONE ,1,12,330D435001,PAVEMENT,26,ASPHALT CONCRETE,
0.526,0.806,0-NONE ,1,15,330D435001,DRAINAGE,,CURB ONLY,
0,0.106,0-NONE ,1,9,330D436001,DRAINAGE,,CURB ONLY,
0,0.106,0-NONE ,1,12,330D436001,PAVEMENT,16,ASPHALT CONCRETE,
0,0.106,0-NONE ,1,14,330D436001,SHOULDER (OUTSIDE),1,GRAVEL,
0,0.106,0-NONE ,1,15,330D436001,DRAINAGE,,DITCH,
0,0.15,0-NONE ,1,9,330D437001,DRAINAGE,,DITCH,
0,0.15,0-NONE ,1,10,330D437001,SHOULDER (OUTSIDE),1,GRAVEL,
0,0.15,0-NONE ,1,12,330D437001,PAVEMENT,18,ASPHALT CONCRETE,
0,0.15,0-NONE ,1,14,330D437001,SHOULDER (OUTSIDE),1,GRAVEL,
0,0.15,0-NONE ,1,15,330D437001,DRAINAGE,,DITCH,
0.15,0.284,0-NONE ,1,9,330D437001,DRAINAGE,,CURB ONLY,
0.15,0.284,0-NONE ,1,12,330D437001,PAVEMENT,14,ASPHALT CONCRETE,
0.15,0.284,0-NONE ,1,15,330D437001,DRAINAGE,,CURB ONLY,
0,0.315,0-NONE ,1,9,330D438001,DRAINAGE,,CURB ONLY,
0,0.315,0-NONE ,1,12,330D438001,PAVEMENT,16,ASPHALT CONCRETE,
0,0.315,0-NONE ,1,14,330D438001,SHOULDER (OUTSIDE),2,GRAVEL,
0,0.315,0-NONE ,1,15,330D438001,DRAINAGE,,DITCH,
0.315,0.582,0-NONE ,1,9,330D438001,DRAINAGE,,DITCH,
0.315,0.582,0-NONE ,1,10,330D438001,SHOULDER (OUTSIDE),2,GRAVEL,
0.315,0.582,0-NONE ,1,12,330D438001,PAVEMENT,16,ASPHALT CONCRETE,
0.315,0.582,0-NONE ,1,14,330D438001,SHOULDER (OUTSIDE),2,GRAVEL,
0.315,0.582,0-NONE ,1,15,330D438001,DRAINAGE,,DITCH,
0,0.486,0-NONE ,1,9,330D439001,DRAINAGE,,CURB & SIDEWALK,
0,0.486,0-NONE ,1,12,330D439001,PAVEMENT,26,ASPHALT CONCRETE,
0,0.486,0-NONE ,1,15,330D439001,DRAINAGE,,CURB & SIDEWALK,
0,0.137,0-NONE ,1,9,330D440001,DRAINAGE,,DITCH,
0,0.137,0-NONE ,1,10,330D440001,SHOULDER (OUTSIDE),2,GRAVEL,
0,0.137,0-NONE ,1,12,330D440001,PAVEMENT,16,ASPHALT CONCRETE,
0,0.137,0-NONE ,1,14,330D440001,SHOULDER (OUTSIDE),1,GRAVEL,
0,0.137,0-NONE ,1,15,330D440001,DRAINAGE,,DITCH,
0,0.109,0-NONE ,1,9,330D441001,DRAINAGE,,DITCH,
0,0.109,0-NONE ,1,10,330D441001,SHOULDER (OUTSIDE),1,GRAVEL,
0,0.109,0-NONE ,1,12,330D441001,PAVEMENT,18,ASPHALT CONCRETE,
0,0.109,0-NONE ,1,14,330D441001,SHOULDER (OUTSIDE),1,GRAVEL,
0,0.109,0-NONE ,1,15,330D441001,DRAINAGE,,DITCH,
0,0.056,0-NONE ,1,9,330D442001,DRAINAGE,,DITCH,
0,0.056,0-NONE ,1,10,330D442001,SHOULDER (OUTSIDE),2,GRAVEL,
0,0.056,0-NONE ,1,12,330D442001,PAVEMENT,20,ASPHALT CONCRETE,
0,0.056,0-NONE ,1,14,330D442001,SHOULDER (OUTSIDE),2,GRAVEL,
0,0.056,0-NONE ,1,15,330D442001,DRAINAGE,,DITCH,
0,1.174,0-NONE ,1,9,330D443001,DRAINAGE,,DITCH,
0,1.174,0-NONE ,1,10,330D443001,SHOULDER (OUTSIDE),2,GRAVEL,
