BLM,ELM,Co. Seq.,ID_NUMBER,Thru_Lanes,ROW ,Num_Lns,Spd Limit,Terrain,Land Use,Illum,Operation,Acc. Ctrl.,Sch Spd Limit,Truck Spd Limit
7.56,7.86,1,3301406001,3,500,3,50,2,2,1,2,0,,
0,0.61,1,3301431001,2,40,2,35,2,7,1,2,0,,
0.61,0.861,1,3301431001,2,36,2,35,2,7,1,2,0,,
0.861,1.55,1,3301431001,2,40,2,35,2,0,,2,0,,
0,2.57,1,3302154001,2,50,2,35,2,7,,2,0,,
2.57,5.39,1,3302154001,2,50,2,35,2,0,,2,0,,
0,2.677,1,3302156001,2,40,2,35,2,0,,2,0,,
2.677,3.32,1,3302156001,2,40,2,35,2,0,,2,0,,
0,0.09,1,3302158001,3,150,3,50,2,0,,2,0,,
0.09,0.25,1,3302158001,3,100,3,50,2,0,,2,0,,
0.25,1.97,1,3302158001,2,100,2,50,2,0,,2,0,,
1.97,2.34,1,3302158001,2,100,2,50,2,0,,2,0,,
2.34,3.167,1,3302158001,2,100,2,45,2,0,,2,0,,
3.167,4.26,1,3302158001,2,40,2,30,2,0,,2,0,,
0,2.82,1,3302160001,2,40,2,40,2,0,,2,0,,
2.82,4.85,1,3302160001,2,40,2,40,2,0,,2,0,,
4.85,5.27,1,3302160001,2,30,2,40,2,0,,2,0,,
5.27,6.04,1,3302160001,2,40,2,40,2,0,,2,0,,
0,0.154,1,3302162001,3,150,3,50,2,0,,2,0,,
0.154,0.23,1,3302162001,2,150,2,50,2,0,,2,0,,
0.23,1.85,1,3302162001,2,80,2,50,2,0,,2,0,,
1.85,2.85,1,3302162001,2,80,2,40,2,2,,2,0,,
2.85,3.02,1,3302162001,2,80,2,40,2,2,1,2,0,,
3.02,3.56,1,3302162001,2,80,2,40,2,2,1,2,0,,
3.56,4.87,1,3302162001,2,80,2,40,2,7,1,2,0,,
4.87,4.96,1,3302162001,2,80,2,40,2,2,1,2,0,,
0,0.61,1,3302199001,2,60,2,40,2,4,,2,0,,
0.61,2.81,1,3302199001,2,60,2,45,2,5,1,2,0,,
0,0.005,1,3302201001,2,50,2,35,2,7,0,2,0,,
0.005,1.12,1,3302201001,2,50,2,35,2,7,1,2,0,,
1.12,1.33,1,3302201001,2,50,2,30,2,7,1,2,0,,
1.33,1.61,1,3302201001,2,50,2,30,2,7,1,2,0,15,
1.61,1.93,1,3302201001,2,60,2,30,2,9,1,2,0,,
1.93,2.1,1,3302201001,2,60,2,30,2,2,1,2,0,,
0,2.33,1,3302205001,2,44,2,40,2,0,0,2,0,,
2.33,2.5,1,3302205001,2,40,2,40,2,0,0,2,0,20,
2.5,5.66,1,3302205001,2,40,2,40,2,0,,2,0,,
5.66,5.76,1,3302205001,2,100,2,40,2,0,,2,0,,
5.76,5.95,1,3302205001,3,150,3,40,2,0,,2,0,,
5.95,6.01,1,3302205001,4,150,4,40,2,0,,2,0,,
6.01,6.11,1,3302205001,3,150,3,40,2,2,,2,0,,
6.11,6.21,1,3302205001,4,100,4,40,2,2,,2,0,,
6.21,6.28,1,3302205001,4,300,4,40,2,2,,2,0,,
0,0.12,1,3302207001,3,100,3,40,2,2,,2,0,,
0.12,0.35,1,3302207001,4,100,4,40,2,2,,2,0,,
0.35,0.66,1,3302207001,2,60,2,40,2,2,,2,0,,
0.66,0.97,1,3302207001,2,50,2,40,2,0,,2,0,15,
0.97,7.11,1,3302207001,2,50,2,40,2,0,,2,0,,
0,0.14,1,3302209001,2,40,2,25,2,4,1,2,0,,
0.14,0.15,1,3302209001,2,30,2,25,2,4,1,2,0,,
0.15,0.22,1,3302209001,2,40,2,25,2,4,1,2,0,,
0.22,0.43,1,3302209001,2,40,2,25,2,7,1,2,0,,
0.43,1.67,1,3302209001,2,40,2,30,2,7,1,2,0,,
1.67,2.3,1,3302209001,2,40,2,30,2,0,0,2,0,,
2.3,2.99,1,3302209001,2,60,2,30,2,0,0,2,0,,
0,4.55,1,3302211001,2,50,2,45,2,0,,2,0,,
4.55,7.76,1,3302211001,2,44,2,45,2,0,,2,0,,
7.76,9.37,1,3302211001,2,50,2,45,2,0,,2,0,,
0,0.63,1,3302213001,2,32,2,35,2,0,,2,0,,
0,1.19,1,3302215001,2,40,2,30,1,0,,2,0,,
0,0.91,1,3302217001,2,,2,,2,0,,2,0,,
0.91,3.737,1,3302217001,2,40,2,30,2,7,,2,0,,
3.737,4.07,1,3302217001,2,40,2,30,2,7,1,2,0,,
0,0.59,1,3302219001,2,100,2,45,2,0,1,2,0,,
0.59,0.83,1,3302219001,2,100,2,45,2,2,1,2,0,,
0.83,0.91,1,3302219001,2,100,2,40,2,2,1,2,0,,
0.91,1.083,1,3302219001,2,30,2,20,2,7,1,2,0,,
1.083,1.512,1,3302219001,2,21,2,20,2,7,1,2,0,,
1.512,1.63,1,3302219001,2,32,2,20,2,7,1,2,0,,
1.63,1.76,1,3302219001,2,40,2,20,2,7,0,2,0,,
1.76,2.327,1,3302219001,2,40,2,35,2,2,0,2,0,,
2.327,2.391,1,3302219001,2,40,2,35,2,2,1,2,0,,
2.391,2.73,1,3302219001,2,100,2,35,2,7,1,2,0,,
2.73,3.15,1,3302219001,2,38,2,35,2,7,,2,0,,
3.15,4.38,1,3302219001,2,34,2,35,2,7,,2,0,,
