,BLM,ELM,Route
286,0,0.733,330A058001
287,0,0.231,330A059001
288,0,0.067,330A060001
289,0,0.323,330A061001
290,0,0.78,330A062001
291,0,0.217,330A063001
292,0,0.414,330A064001
293,0,1.215,330A065001
294,0,0.576,330A066001
295,0,0.11,330A067001
296,0,0.47,330A068001
297,0,0.106,330A069001
298,0,0.365,330A070001
299,0,0.153,330A071001
300,0,0.363,330A072001
301,0,0.27,330A073001
302,0,0.086,330A074001
303,0,0.075,330A075001
304,0,0.258,330A076001
305,0,0.358,330A077001
306,0,0.138,330A078001
307,0,0.218,330A079001
308,0,0.387,330A080001
309,0,0.117,330A081001
310,0,0.181,330A082001
311,0,0.556,330A083001
312,0,0.12,330A084001
313,0,0.089,330A085001
314,0,0.092,330A086001
315,0,0.287,330A087001
316,0,0.331,330A088001
317,0,1.68,330A089001
318,0,0.282,330A090001
319,0,0.767,330A091001
320,0,0.591,330A092001
321,0,0.107,330A093001
322,0,0.135,330A094001
323,0,0.164,330A095001
324,0,1.149,330A096001
325,0,0.081,330A097001
326,0,0.428,330A098001
327,0,0.23,330A099001
328,0,0.557,330A100001
329,0,0.284,330A101001
330,0,0.49,330A102001
331,0,0.274,330A103001
332,0,0.182,330A104001
333,0,0.413,330A105001
334,0,0.193,330A106001
335,0,0.639,330A107001
336,0,0.338,330A108001
337,0,0.399,330A109001
338,0,0.297,330A110001
339,0,0.4,330A111001
340,0,0.117,330A112001
341,0,0.906,330A113001
342,0,0.044,330A114001
343,0,0.105,330A115001
344,0,0.231,330A116001
345,0,0.164,330A117001
346,0,0.428,330A118001
347,0,0.514,330A119001
348,0,0.178,330A120001
349,0,0.684,330A121001
350,0,0.243,330A122001
351,0,0.078,330A123001
352,0,0.631,330A124001
353,0,0.155,330A125001
354,0,0.454,330A126001
355,0,0.161,330A127001
356,0,0.937,330A128001
357,0,0.532,330A129001
358,0,0.469,330A130001
359,0,1.025,330A131001
360,0,0.392,330A132001
361,0,0.069,330A133001
362,0,0.138,330A134001
363,0,0.447,330A135001
364,0,0.45,330A136001
365,0,0.644,330A137001
366,0,0.32,330A138001
367,0,0.284,330A139001
368,0,1.079,330A140001
369,0,0.152,330A141001
370,0,0.209,330A142001
371,0,0.908,330A143001
372,0,0.05,330A144001
373,0,0.069,330A145001
374,0,0.308,330A146001
375,0,0.153,330A147001
376,0,0.325,330A148001
377,0,0.051,330A149001
378,0,1.172,330A150001
379,0,0.064,330A151001
380,0,0.068,330A152001
381,0,0.331,330A153001
382,0,0.09,330A154001
383,0,0.096,330A155001
384,0,0.446,330A156001
385,0,0.123,330A157001
386,0,0.397,330A158001
387,0,0.953,330A159001
388,0,0.297,330A160001
389,0,0.446,330A161001
390,0,0.188,330A162001
391,0,0.079,330A163001
392,0,0.232,330A164001
393,0,0.041,330A165001
394,0,1.312,330A166001
395,0,0.108,330A167001
396,0,0.798,330A168001
397,0,0.636,330A169001
398,0,0.302,330A170001
399,0,0.247,330A171001
400,0,0.142,330A172001
401,0,0.173,330A173001
402,0,0.132,330A174001
403,0,0.077,330A175001
404,0,0.393,330A176001
405,0,0.545,330A177001
406,0,0.378,330A178001
407,0,0.176,330A179001
408,0,0.069,330A180001
409,0,0.16,330A181001
410,0,0.839,330A182001
411,0,0.079,330A183001
412,0,0.34,330A184001
413,0,0.237,330A185001
414,0,0.222,330A186001
