BLM,ELM,Co. Seq.,ID_NUMBER,AADT,DHV,Peak Hour %,Drct Dist.,Pass Car %,SU Truck %,MU Truck %
0,0.581,1,3303590001,10520,13,11,65,98,1,1
0.581,2.05,1,3303590001,9540,13,11,65,98,1,1
0,1.67,1,3303591001,12660,11,9,65,99,1,0
1.67,4.95,1,3303591001,5900,12,10,65,99,1,0
0,1.167,1,3303592001,5700,12,10,65,93,7,0
0,2.227,1,3303593001,7070,12,10,65,93,2,5
0,1.62,1,3303594001,11190,11,9,65,98,1,1
1.62,2.275,1,3303594001,2300,12,10,65,98,2,0
2.275,4.44,1,3303594001,1220,14,12,65,98,2,0
0,0.86,1,3303595001,14390,12,10,65,98,1,1
0.86,1.32,1,3303595001,23100,11,9,65,93,2,5
0,1.28,1,3303596001,4920,12,10,65,98,1,1
0,2.28,1,3303597001,4670,11,9,65,99,1,0
2.28,2.67,1,3303597001,3750,11,9,65,99,1,0
0,2.49,1,3303598001,740,12,10,65,99,1,0
0,0.91,1,3303599001,4390,12,10,65,95,3,2
0,1.72,1,3303600001,2970,16,14,65,95,3,2
0,0.74,1,3303601001,9920,11,9,65,95,3,2
0.74,1.4,1,3303601001,12090,11,9,65,95,3,2
1.4,2.9,1,3303601001,12180,11,9,65,95,3,2
0,0.85,1,3303602001,3750,0,,,95,3,2
0.85,1.33,1,3303602001,15700,10,8,65,95,3,2
1.33,1.62,1,3303602001,9380,11,9,65,95,3,2
0,1.8,1,3303603001,13120,12,10,65,98,2,0
1.8,4.08,1,3303603001,9870,12,10,65,98,2,0
0,3.709,1,3303604001,8350,12,10,65,100,0,0
0,0.49,1,3303605001,450,14,12,65,95,3,2
0.49,1.35,1,3303605001,5510,13,11,65,95,3,2
1.35,3.08,1,3303605001,3200,13,11,65,95,3,2
0,1.785,1,3303607001,9100,12,10,65,95,5,0
0,1.25,1,3303608001,6400,13,11,65,95,5,0
0,1.216,1,3303609001,11460,11,9,65,94,1,5
1.216,1.5,1,3303609001,7340,11,9,65,94,1,5
0,0.77,1,3303610001,8140,11,9,65,96,1,3
0.77,2.07,1,3303610001,8000,11,9,65,94,1,5
0,1.61,1,3303611001,6720,12,10,65,94,1,5
0,1.041,1,3303612001,2730,12,10,65,95,3,2
1.041,1.77,1,3303612001,3210,13,11,65,95,3,2
0,1.59,1,3303613001,6620,14,12,65,95,3,2
1.59,2.69,1,3303613001,9840,12,10,65,95,3,2
0,2.03,1,3303614001,5190,11,9,65,95,1,4
0,0.86,1,3303615001,4800,12,10,65,95,1,4
0,0.927,1,3303617001,830,15,13,65,99,1,0
0.927,2.76,1,3303617001,400,13,11,65,99,1,0
0,0.27,1,3303618001,920,12,10,65,99,1,0
0,0.43,1,3303619001,15080,10,8,65,77,11,12
0.43,1.35,1,3303619001,6290,13,11,65,77,11,12
0,0.76,1,3303620001,3120,14,12,65,77,11,12
0,1.93,1,3303621001,4340,12,10,65,77,11,12
1.93,4.12,1,3303621001,1660,13,11,65,77,11,12
0,0.52,1,3303622001,13150,11,9,65,98,2,0
0.52,1.49,1,3303622001,8480,12,10,65,98,2,0
1.49,2.95,1,3303622001,300,12,10,65,98,2,0
0,2.74,1,3303623001,1640,12,10,65,98,2,0
0,0.27,1,3303624001,1540,15,13,65,98,1,1
0.27,0.57,1,3303624001,1630,13,11,65,98,1,1
0,0.73,1,3303625001,1650,10,8,65,100,0,0
