Latitude,Longitude,Hour,DayFrame,WeekDay,WeekEnd,Clear,Cloudy,Rain,Foggy,Snow,RainBefore,Grid_Block,Grid_Col,Grid_Row,Highway,Land_Use_Mode,Road_Count,time,precipIntensity,Probability,Prediction
35.05335886,-85.37170975,4,1,1,0,0,1,0,0,0,0,9,16,26,0,7,17,1555056000,0,4.9471855E-06,0
35.05074357,-85.36448906,8,2,1,0,0,0,1,0,0,1,9,16,26,0,7,17,1555070400,0.091,0.0027775764,0
35.04812786,-85.35726885,12,3,1,0,0,1,0,0,0,0,9,16,26,0,7,17,1555084800,0,9.715557E-06,0
35.04551174,-85.35004912,16,4,1,0,0,1,0,0,0,0,9,16,26,0,7,17,1555099200,0,1.3202429E-05,0
35.0428952,-85.34282985,20,1,1,0,0,1,0,0,0,0,9,16,26,0,7,17,1555113600,0,6.0796738E-06,0
35.04027824,-85.33561106,23,1,1,0,0,1,0,0,0,0,9,16,26,0,7,17,1555124400,0,6.0796738E-06,0
35.03766086,-85.32839275,0,1,1,0,0,1,0,0,0,0,10,17,26,0,7,11,1555041600,0,3.8444996E-06,0
35.03504306,-85.32117491,4,1,1,0,0,1,0,0,0,0,10,17,26,0,7,11,1555056000,0,3.963709E-06,0
35.03242484,-85.31395755,8,2,1,0,0,0,1,0,0,1,10,17,26,0,7,11,1555070400,0.095,0.0009701252,0
35.02980621,-85.30674066,12,3,1,0,0,1,0,0,0,0,10,17,26,0,7,11,1555084800,0,2.5331974E-05,0
35.02718716,-85.29952425,16,4,1,0,0,1,0,0,0,0,10,17,26,0,7,11,1555099200,0,9.828806E-05,0
35.0245677,-85.29230831,20,1,1,0,0,1,0,0,0,0,10,17,26,0,7,11,1555113600,0,4.6789646E-06,0
35.02194781,-85.28509285,23,1,1,0,0,1,0,0,0,0,10,17,26,0,7,11,1555124400,0,4.8577785E-06,0
35.01932751,-85.27787786,0,1,1,0,0,1,0,0,0,0,11,18,26,0,7,10,1555041600,0,3.784895E-06,0
35.01670679,-85.27066335,4,1,1,0,0,1,0,0,0,0,11,18,26,0,7,10,1555056000,0,3.874302E-06,0
35.01408566,-85.26344931,8,2,1,0,0,0,1,0,0,1,11,18,26,0,7,10,1555070400,0.099,0.00038579106,0
35.01146411,-85.25623575,12,3,1,0,0,1,0,0,0,0,11,18,26,0,7,10,1555084800,0,1.4036894E-05,0
35.00884214,-85.24902267,16,4,1,0,0,1,0,0,0,0,11,18,26,0,7,10,1555099200,0,5.760789E-05,0
35.00621976,-85.24181006,20,1,1,0,0,1,0,0,0,0,11,18,26,0,7,10,1555113600,0,4.3213367E-06,0
