Updated On,Latitude,Longitude,Description,DescCode,Grid_Num
2/20/2004 8:19,35.049501,-85.304426, 1-WAY STOP ,1,282
2/20/2004 8:19,35.048346,-85.305057, 3-WAY STOP,5,282
2/20/2004 8:19,35.04744,-85.305611, TRAFFIC SIGNAL,7,282
2/20/2004 8:19,35.046648,-85.306159, 2-WAY STOP,3,246
2/20/2004 8:19,35.045284,-85.306929, TRAFFIC SIGNAL,7,246
2/20/2004 8:19,35.0442,-85.307521, 3-WAY STOP,5,246
8/13/2008 8:33,35.043425,-85.307943, 3-WAY STOP,5,246
8/7/2008 8:22,35.041933,-85.308755, TRAFFIC SIGNAL,7,246
3/27/2012 14:10,35.042948,-85.306705, 3-WAY STOP,5,246
2/14/1997 13:59,35.043691,-85.306172, 3-WAY STOP,5,246
6/3/2003 13:06,35.044768,-85.305574, TRAFFIC SIGNAL,7,246
6/3/2003 13:06,35.046121,-85.304825, 3-WAY STOP,5,246
6/3/2003 13:06,35.046921,-85.304202, TRAFFIC SIGNAL,7,282
6/3/2003 13:06,35.047831,-85.303696, 3-WAY STOP,5,282
8/7/2008 8:22,35.04898,-85.303042, 4-WAY STOP,6,282
6/3/2003 13:06,35.051398,-85.301687, TRAFFIC SIGNAL,7,282
8/7/2008 8:22,35.052002,-85.301317, TRAFFIC SIGNAL,7,283
3/27/2012 14:10,35.052229,-85.301158, TRAFFIC SIGNAL,7,283
9/24/2013 14:37,35.050069,-85.295884, TRAFFIC SIGNAL,7,284
1/28/2000 9:51,35.051278,-85.299422, TRAFFIC SIGNAL,7,283
8/6/2008 10:52,35.052002,-85.301317, TRAFFIC SIGNAL,7,283
8/6/2008 10:53,35.052574,-85.302744, TRAFFIC SIGNAL,7,282
8/6/2008 10:53,35.053523,-85.305482, 4-WAY STOP,6,282
8/6/2008 10:54,35.053572,-85.307565, TRAFFIC SIGNAL,7,282
2/14/1997 13:59,35.053522,-85.309644, TRAFFIC SIGNAL,7,282
8/12/2008 10:44,35.048067,-85.318114, TRAFFIC SIGNAL,7,280
3/28/2012 9:00,35.049524,-85.316009, TRAFFIC SIGNAL,7,245
8/12/2008 10:44,35.049591,-85.312673, 3-WAY STOP,5,245
2/14/1997 13:59,35.049622,-85.311676, TRAFFIC SIGNAL,7,245
2/14/1997 13:59,35.049668,-85.310545, TRAFFIC SIGNAL,7,245
2/14/1997 13:59,35.049688,-85.309543, TRAFFIC SIGNAL,7,282
2/14/1997 13:59,35.049717,-85.308544, TRAFFIC SIGNAL,7,282
8/12/2008 11:00,35.049763,-85.306037, TRAFFIC SIGNAL,7,282
8/12/2008 13:37,35.049337,-85.321516, TRAFFIC SIGNAL,7,280
2/14/1997 13:59,35.048067,-85.318114, TRAFFIC SIGNAL,7,280
8/13/2008 9:48,35.052245,-85.309604, TRAFFIC SIGNAL,7,282
3/27/2012 14:53,35.052266,-85.308581, TRAFFIC SIGNAL,7,282
3/27/2012 14:53,35.052294,-85.307535, TRAFFIC SIGNAL,7,282
3/27/2012 14:53,35.052165,-85.30544, TRAFFIC SIGNAL,7,282
2/14/1997 13:59,35.05218,-85.30466, TRAFFIC SIGNAL,7,282
2/14/1997 13:59,35.051932,-85.30308, TRAFFIC SIGNAL,7,282
2/14/1997 13:59,35.051398,-85.301687, TRAFFIC SIGNAL,7,282
2/14/1997 13:59,35.050683,-85.299787, TRAFFIC SIGNAL,7,247
8/15/2008 8:32,35.050069,-85.295884, TRAFFIC SIGNAL,7,284
3/27/2012 14:56,35.048275,-85.291896, TRAFFIC SIGNAL,7,284
3/27/2012 14:56,35.047763,-85.290555, TRAFFIC SIGNAL,7,284
8/9/2013 16:01,35.046899,-85.288209, TRAFFIC SIGNAL,7,249
4/27/2009 13:24,35.046885,-85.288175, TRAFFIC SIGNAL,7,249
1/28/2000 10:51,35.043837,-85.280056, TRAFFIC SIGNAL,7,250
1/28/2000 10:51,35.043776,-85.279896, TRAFFIC SIGNAL,7,250
2/14/1997 13:59,35.040864,-85.271999, TRAFFIC SIGNAL,7,217
10/12/2011 11:17,35.03985,-85.269215, TRAFFIC SIGNAL,7,217
1/24/2013 8:07,35.039025,-85.267041, TRAFFIC SIGNAL,7,217
3/27/2012 14:59,35.036827,-85.261056, TRAFFIC SIGNAL,7,218
8/12/2008 9:17,35.040866,-85.319839, TRAFFIC SIGNAL,7,244
2/14/1997 13:59,35.037623,-85.311214, TRAFFIC SIGNAL,7,211
8/7/2008 9:16,35.028996,-85.288146, TRAFFIC SIGNAL,7,178
2/14/1997 13:59,35.036488,-85.28426, TRAFFIC SIGNAL,7,215
2/14/1997 13:59,35.038913,-85.28289, TRAFFIC SIGNAL,7,215
8/7/2008 9:29,35.040102,-85.282181, TRAFFIC SIGNAL,7,215
11/15/2001 12:30,35.043776,-85.279896, TRAFFIC SIGNAL,7,250
8/7/2008 9:16,35.04879,-85.277183, TRAFFIC SIGNAL,7,286
2/14/1997 13:59,35.055571,-85.268988, TRAFFIC SIGNAL,7,287
8/6/2008 8:03,35.058523,-85.275732, TRAFFIC SIGNAL,7,321
1/23/2004 13:40,35.055571,-85.268988, TRAFFIC SIGNAL,7,287
2/14/1997 13:59,35.053764,-85.263888, TRAFFIC SIGNAL,7,288
2/14/1997 13:59,35.052602,-85.260755, TRAFFIC SIGNAL,7,288
2/14/1997 13:59,35.051697,-85.25655, TRAFFIC SIGNAL,7,289
11/15/2001 11:11,35.047955,-85.24311, TRAFFIC SIGNAL,7,255
2/14/1997 13:59,35.047071,-85.23728, TRAFFIC SIGNAL,7,255
1/23/2004 13:45,35.042897,-85.222456, TRAFFIC SIGNAL,7,258
2/14/1997 13:59,35.043294,-85.219746, TRAFFIC SIGNAL,7,258
8/6/2008 8:31,35.051098,-85.212756, TRAFFIC SIGNAL,7,295
1/23/2004 13:51,35.054627,-85.194242, TRAFFIC SIGNAL,7,297
4/18/2013 11:19,35.05433,-85.191759, TRAFFIC SIGNAL,7,297
8/13/2008 9:50,34.987572,-85.288523, TRAFFIC SIGNAL,7,18
2/14/1997 13:59,34.991439,-85.286393, TRAFFIC SIGNAL,7,18
2/14/1997 13:59,34.999001,-85.282488, TRAFFIC SIGNAL,7,42
3/30/2006 13:24,35.002326,-85.280837, TRAFFIC SIGNAL,7,64
2/14/1997 13:59,35.015652,-85.273558, TRAFFIC SIGNAL,7,139
3/28/2012 8:53,35.038423,-85.313383, 1-WAY STOP ,1,211
1/28/2000 12:18,35.040612,-85.312172, 2-WAY STOP,3,211
8/12/2008 10:04,35.043874,-85.311536, 1-WAY STOP ,1,245
11/15/2001 10:55,35.045722,-85.311542, TRAFFIC SIGNAL,7,245
2/14/1997 13:59,35.047085,-85.311606, TRAFFIC SIGNAL,7,245
2/14/1997 13:59,35.048309,-85.311634, TRAFFIC SIGNAL,7,245
2/14/1997 13:59,35.049622,-85.311676, TRAFFIC SIGNAL,7,245
2/14/1997 13:59,35.052223,-85.311746, TRAFFIC SIGNAL,7,281
1/28/2000 12:18,35.053473,-85.311811, TRAFFIC SIGNAL,7,281
1/28/2000 12:18,35.054722,-85.311873, TRAFFIC SIGNAL,7,281
1/15/2004 8:16,35.05615,-85.311914, TRAFFIC SIGNAL,7,281
8/6/2008 13:09,35.054722,-85.311873, TRAFFIC SIGNAL,7,281
2/14/1997 13:59,35.054749,-85.310702, TRAFFIC SIGNAL,7,281
2/14/1997 13:59,35.054795,-85.30968, TRAFFIC SIGNAL,7,281
5/8/2014 8:06,35.045769,-85.310417, TRAFFIC SIGNAL,7,245
5/7/2014 15:02,35.047127,-85.310464, TRAFFIC SIGNAL,7,245
5/7/2014 15:02,35.048352,-85.310506, TRAFFIC SIGNAL,7,245
5/7/2014 15:02,35.049668,-85.310545, TRAFFIC SIGNAL,7,245
5/7/2014 15:02,35.05091,-85.31058, TRAFFIC SIGNAL,7,282
5/7/2014 15:02,35.052232,-85.310622, TRAFFIC SIGNAL,7,281
5/7/2014 15:02,35.053495,-85.310661, TRAFFIC SIGNAL,7,281
5/8/2014 8:09,35.054749,-85.310702, TRAFFIC SIGNAL,7,281
8/7/2008 10:46,35.038662,-85.292723, 1-WAY STOP ,1,248
3/25/1998 9:36,35.043402,-85.3054, 4-WAY STOP,6,246
3/28/2012 8:42,35.043691,-85.306172, 3-WAY STOP,5,246
3/25/1998 9:36,35.0442,-85.307521, 3-WAY STOP,5,246
3/25/1998 9:36,35.044824,-85.309385, TRAFFIC SIGNAL,7,246
3/25/1998 9:42,35.044879,-85.310337, TRAFFIC SIGNAL,7,245
8/6/2008 15:03,35.043973,-85.310307, TRAFFIC SIGNAL,7,246
3/25/1998 11:03,35.043949,-85.309325, TRAFFIC SIGNAL,7,246
2/14/2013 12:42,35.043168,-85.307265, 3-WAY STOP,5,246
3/27/2012 15:28,35.042948,-85.306705, 3-WAY STOP,5,246
3/27/2012 15:28,35.042611,-85.30584, 4-WAY STOP,6,246
1/28/2000 13:02,35.03773,-85.293237, TRAFFIC SIGNAL,7,214
5/22/2007 14:18,35.020207,-85.294013, 1-WAY STOP ,1,137
8/6/2008 9:03,35.021236,-85.292304, 1-WAY STOP ,1,137
5/22/2007 14:25,35.022264,-85.291732, TRAFFIC SIGNAL,7,177
2/14/1997 13:59,35.028996,-85.288146, TRAFFIC SIGNAL,7,178
8/7/2008 9:07,35.00073,-85.288749, 2-WAY STOP,3,63
9/22/1998 9:28,35.004664,-85.286752, 4-WAY STOP,6,64
8/7/2008 9:10,35.004796,-85.286654, 4-WAY STOP,6,64
9/21/1998 15:19,35.011387,-85.283217, 4-WAY STOP,6,99
9/21/1998 15:19,35.015867,-85.280827, TRAFFIC SIGNAL,7,139
8/7/2008 9:32,35.017162,-85.280134, TRAFFIC SIGNAL,7,139
8/7/2008 9:33,35.01798,-85.279698, TRAFFIC SIGNAL,7,139
6/22/2011 11:31,35.022816,-85.277068, 1-WAY STOP ,1,179
6/22/2011 11:32,35.023215,-85.27816, 1-WAY STOP ,1,179
2/14/1997 13:59,35.025064,-85.277188, TRAFFIC SIGNAL,7,179
8/12/2008 14:23,34.99821,-85.282759, 1-WAY STOP ,1,42
3/29/2012 10:14,34.999266,-85.285544, 1-WAY STOP ,1,42
3/29/2012 10:14,34.99951,-85.285429, 1-WAY STOP ,1,42
3/29/2012 10:15,35.001397,-85.292182, TRAFFIC SIGNAL,7,63
3/29/2012 10:18,35.008236,-85.317932, TRAFFIC SIGNAL,7,94
8/13/2008 9:54,34.997617,-85.249943, TRAFFIC SIGNAL,7,-1
1/28/2000 14:14,34.996012,-85.253221, TRAFFIC SIGNAL,7,-1
2/14/1997 13:59,34.994316,-85.255683, TRAFFIC SIGNAL,7,-1
8/12/2013 10:20,34.9943,-85.255825, TRAFFIC SIGNAL,7,-1
8/6/2008 13:53,34.986344,-85.272879, 1-WAY STOP ,1,20
8/6/2008 13:54,34.985899,-85.273063, 1-WAY STOP ,1,20
8/13/2008 9:56,35.003449,-85.259842, TRAFFIC SIGNAL,7,-1
2/14/1997 13:59,35.01384,-85.252053, TRAFFIC SIGNAL,7,102
9/4/2008 15:15,35.014686,-85.251618, TRAFFIC SIGNAL,7,102
