Grid_Block,Grid_Col,Grid_Row,Highway,Land_Use_Mode,Road_Count
354,15,15,0,7,15
355,16,15,0,7,4
356,17,15,0,5,1
357,18,15,0,7,17
358,19,15,0,7,14
359,20,15,0,7,31
360,21,15,0,7,15
361,22,15,0,7,3
362,23,15,0,7,11
363,24,15,0,7,5
364,25,15,0,7,3
365,26,15,0,2,3
366,27,15,0,0,2
367,28,15,0,2,5
368,29,15,1,7,14
369,30,15,1,7,9
370,31,15,0,7,10
371,32,15,1,7,10
372,33,15,0,7,3
373,34,15,0,7,6
374,35,15,0,7,4
375,36,15,0,7,6
376,37,15,0,7,11
377,38,15,0,7,10
378,39,15,0,7,7
379,40,15,0,7,15
380,41,15,0,7,15
381,42,15,0,7,4
382,43,15,0,0,2
383,44,15,0,0,2
384,45,15,0,-1,-1
385,1,14,0,0,2
386,2,14,0,0,1
387,3,14,0,0,1
388,4,14,0,0,1
389,5,14,0,7,4
390,6,14,0,7,10
391,7,14,0,0,5
392,8,14,0,7,5
393,9,14,0,7,12
394,10,14,1,0,3
395,11,14,0,7,10
396,12,14,0,7,20
397,13,14,0,7,7
398,14,14,0,7,12
399,15,14,0,7,4
400,16,14,0,-1,-1
401,17,14,0,5,3
402,18,14,0,5,12
403,19,14,0,7,12
404,20,14,0,7,16
405,21,14,0,7,14
406,22,14,0,7,10
407,23,14,0,7,8
408,24,14,0,-1,-1
409,25,14,0,7,8
410,26,14,0,2,4
411,27,14,0,2,4
412,28,14,1,2,5
413,29,14,1,4,4
414,30,14,0,7,10
415,31,14,0,7,13
416,32,14,1,7,10
417,33,14,1,2,6
418,34,14,0,2,3
419,35,14,0,7,6
420,36,14,0,7,5
421,37,14,0,7,12
422,38,14,0,7,9
423,39,14,0,0,14
424,40,14,0,7,14
425,41,14,0,7,11
426,42,14,0,7,6
427,43,14,0,0,2
428,44,14,0,0,1
429,45,14,0,7,2
430,1,13,0,-1,-1
431,2,13,0,-1,-1
432,3,13,0,7,3
433,4,13,0,7,13
434,5,13,0,7,12
435,6,13,0,7,13
436,7,13,0,7,8
437,8,13,0,7,5
438,9,13,0,7,5
439,10,13,1,0,2
440,11,13,1,7,11
441,12,13,0,7,19
442,13,13,0,7,2
443,14,13,0,7,10
444,15,13,0,7,9
445,16,13,0,7,2
446,17,13,0,5,1
447,18,13,0,5,4
448,19,13,0,5,4
449,20,13,0,7,8
